t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,t_fc_us,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
1785429835.881836,idle_pre,0,1000,1000,0.0,0.0,39934979,1000,1000,1000,1000,0,0,0,0
1785429835.9025996,idle_pre,0,1000,1000,0.0,0.0,39952874,1000,1000,1000,1000,0,0,0,0
1785429835.920304,idle_pre,0,1000,1000,0.0,0.0,39972354,1000,1000,1000,1000,0,0,0,0
1785429835.9413748,idle_pre,0,1000,1000,0.0,0.0,39994804,1000,1000,1000,1000,0,0,0,0
1785429835.9593883,idle_pre,0,1000,1000,0.0,0.0,40012776,1000,1000,1000,1000,0,0,0,0
1785429835.9803886,idle_pre,0,1000,1000,0.0,0.0,40032290,1000,1000,1000,1000,0,0,0,0
1785429836.0056856,idle_pre,0,1000,1000,0.0,0.0,40054699,1000,1000,1000,1000,0,0,0,0
1785429836.0206172,idle_pre,0,1000,1000,0.0,0.0,40072674,1000,1000,1000,1000,0,0,0,0
1785429836.0403886,idle_pre,0,1000,1000,0.0,0.0,40093682,1000,1000,1000,1000,0,0,0,0
1785429836.0606031,idle_pre,0,1000,1000,0.0,0.0,40113101,1000,1000,1000,1000,0,0,0,0
1785429836.0806804,idle_pre,0,1000,1000,0.0,0.0,40132572,1000,1000,1000,1000,0,0,0,0
1785429836.1050243,idle_pre,0,1000,1000,0.0,0.0,40155032,1000,1000,1000,1000,0,0,0,0
1785429836.120723,idle_pre,0,1000,1000,0.0,0.0,40173028,1000,1000,1000,1000,0,0,0,0
1785429836.1402473,idle_pre,0,1000,1000,0.0,0.0,40192462,1000,1000,1000,1000,0,0,0,0
1785429836.1612396,idle_pre,0,1000,1000,0.0,0.0,40214930,1000,1000,1000,1000,0,0,0,0
1785429836.1802323,idle_pre,0,1000,1000,0.0,0.0,40232939,1000,1000,1000,1000,0,0,0,0
1785429836.2036688,idle_pre,0,1000,1000,0.0,0.0,40253869,1000,1000,1000,1000,0,0,0,0
1785429836.2212365,idle_pre,0,1000,1000,0.0,0.0,40273379,1000,1000,1000,1000,0,0,0,0
1785429836.2406385,idle_pre,0,1000,1000,0.0,0.0,40292824,1000,1000,1000,1000,0,0,0,0
1785429836.2602856,idle_pre,0,1000,1000,0.0,0.0,40313755,1000,1000,1000,1000,0,0,0,0
1785429836.281241,idle_pre,0,1000,1000,0.0,0.0,40333277,1000,1000,1000,1000,0,0,0,0
1785429836.302588,idle_pre,0,1000,1000,0.0,0.0,40352691,1000,1000,1000,1000,0,0,0,0
1785429836.3215163,idle_pre,0,1000,1000,0.0,0.0,40375150,1000,1000,1000,1000,0,0,0,0
1785429836.3405957,idle_pre,0,1000,1000,0.0,0.0,40393168,1000,1000,1000,1000,0,0,0,0
1785429836.3606708,idle_pre,0,1000,1000,0.0,0.0,40412590,1000,1000,1000,1000,0,0,0,0
1785429836.3812623,idle_pre,0,1000,1000,0.0,0.0,40435059,1000,1000,1000,1000,0,0,0,0
1785429836.402819,idle_pre,0,1000,1000,0.0,0.0,40453065,1000,1000,1000,1000,0,0,0,0
1785429836.4202414,idle_pre,0,1000,1000,0.0,0.0,40472490,1000,1000,1000,1000,0,0,0,0
1785429836.4414518,idle_pre,0,1000,1000,0.0,0.0,40494980,1000,1000,1000,1000,0,0,0,0
1785429836.4606,idle_pre,0,1000,1000,0.0,0.0,40512976,1000,1000,1000,1000,0,0,0,0
1785429836.4802506,idle_pre,0,1000,1000,0.0,0.0,40532383,1000,1000,1000,1000,0,0,0,0
1785429836.5052059,idle_pre,0,1000,1000,0.0,0.0,40553344,1000,1000,1000,1000,0,0,0,0
1785429836.5206053,idle_pre,0,1000,1000,0.0,0.0,40572864,1000,1000,1000,1000,0,0,0,0
1785429836.5402532,idle_pre,0,1000,1000,0.0,0.0,40593773,1000,1000,1000,1000,0,0,0,0
1785429836.560608,idle_pre,0,1000,1000,0.0,0.0,40613243,1000,1000,1000,1000,0,0,0,0
1785429836.580262,idle_pre,0,1000,1000,0.0,0.0,40632759,1000,1000,1000,1000,0,0,0,0
1785429836.6056998,idle_pre,0,1000,1000,0.0,0.0,40655251,1000,1000,1000,1000,0,0,0,0
1785429836.6209679,idle_pre,0,1000,1000,0.0,0.0,40673140,1000,1000,1000,1000,0,0,0,0
1785429836.6406262,idle_pre,0,1000,1000,0.0,0.0,40692658,1000,1000,1000,1000,0,0,0,0
1785429836.6612566,idle_pre,0,1000,1000,0.0,0.0,40715114,1000,1000,1000,1000,0,0,0,0
1785429836.680688,idle_pre,0,1000,1000,0.0,0.0,40733035,1000,1000,1000,1000,0,0,0,0
1785429836.7040253,idle_pre,0,1000,1000,0.0,0.0,40752550,1000,1000,1000,1000,0,0,0,0
1785429836.7212527,idle_pre,0,1000,1000,0.0,0.0,40775013,1000,1000,1000,1000,0,0,0,0
1785429836.7406502,idle_pre,0,1000,1000,0.0,0.0,40792933,1000,1000,1000,1000,0,0,0,0
1785429836.7602549,idle_pre,0,1000,1000,0.0,0.0,40812451,1000,1000,1000,1000,0,0,0,0
1785429836.7812657,idle_pre,0,1000,1000,0.0,0.0,40834927,1000,1000,1000,1000,0,0,0,0
1785429836.805496,idle_pre,0,1000,1000,0.0,0.0,40852828,1000,1000,1000,1000,0,0,0,0
1785429836.8202517,idle_pre,0,1000,1000,0.0,0.0,40873792,1000,1000,1000,1000,0,0,0,0
1785429836.841372,idle_pre,0,1000,1000,0.0,0.0,40893263,1000,1000,1000,1000,0,0,0,0
1785429836.860636,idle_pre,0,1000,1000,0.0,0.0,40912730,1000,1000,1000,1000,0,0,0,0
