t_mono,dev_t,seg_id,t_fc_us,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
342844.119426,52631,0,52631,1000,1000,1000,1000,0,0,0,0
342844.172097,105262,0,105262,1000,1000,1000,1000,0,0,0,0
342844.224833,157893,0,157893,1000,1000,1000,1000,0,0,0,0
342844.277405,210524,0,210524,1000,1000,1000,1000,0,0,0,0
342844.330264,263155,0,263155,1000,1000,1000,1000,0,0,0,0
342844.382663,315786,0,315786,1000,1000,1000,1000,0,0,0,0
342844.435193,368417,0,368417,1000,1000,1000,1000,0,0,0,0
342844.487894,421048,0,421048,1000,1000,1000,1000,0,0,0,0
342844.540683,473679,0,473679,1000,1000,1000,1000,0,0,0,0
342844.593375,526310,0,526310,1000,1000,1000,1000,0,0,0,0
342844.645795,578941,0,578941,1000,1000,1000,1000,0,0,0,0
342844.698442,631572,0,631572,1000,1000,1000,1000,0,0,0,0
342844.751056,684203,0,684203,1000,1000,1000,1000,0,0,0,0
342844.80359,736834,0,736834,1000,1000,1000,1000,0,0,0,0
342844.856412,789465,0,789465,1000,1000,1000,1000,0,0,0,0
342844.909084,842096,0,842096,1000,1000,1000,1000,0,0,0,0
342844.961788,894727,0,894727,1000,1000,1000,1000,0,0,0,0
342845.014372,947358,0,947358,1000,1000,1000,1000,0,0,0,0
342845.066995,999989,0,999989,1000,1000,1000,1000,0,0,0,0
342845.119411,1052620,0,1052620,1000,1000,1000,1000,0,0,0,0
342845.171899,1105251,0,1105251,1000,1000,1000,1000,0,0,0,0
342845.225041,1157882,0,1157882,1000,1000,1000,1000,0,0,0,0
342845.277492,1210513,0,1210513,1000,1000,1000,1000,0,0,0,0
342845.32989,1263144,0,1263144,1000,1000,1000,1000,0,0,0,0
342845.382853,1315775,0,1315775,1000,1000,1000,1000,0,0,0,0
342845.435106,1368406,0,1368406,1000,1000,1000,1000,0,0,0,0
342845.487705,1421037,0,1421037,1000,1000,1000,1000,0,0,0,0
342845.540428,1473668,0,1473668,1000,1000,1000,1000,0,0,0,0
342845.593103,1526299,0,1526299,1000,1000,1000,1000,0,0,0,0
342845.645633,1578930,0,1578930,1000,1000,1000,1000,0,0,0,0
342845.698181,1631561,0,1631561,1000,1000,1000,1000,0,0,0,0
342845.750944,1684192,0,1684192,1000,1000,1000,1000,0,0,0,0
342845.803538,1736823,0,1736823,1000,1000,1000,1000,0,0,0,0
342845.856198,1789454,0,1789454,1000,1000,1000,1000,0,0,0,0
342845.909033,1842085,0,1842085,1000,1000,1000,1000,0,0,0,0
342845.961726,1894716,0,1894716,1000,1000,1000,1000,0,0,0,0
342846.014662,1947347,0,1947347,1000,1000,1000,1000,0,0,0,0
342846.067177,1999978,0,1999978,1000,1000,1000,1000,0,0,0,0
342846.119795,2052609,0,2052609,1000,1000,1000,1000,0,0,0,0
342846.172298,2105240,0,2105240,1000,1000,1000,1000,0,0,0,0
342846.224882,2157871,0,2157871,1000,1000,1000,1000,0,0,0,0
342846.277619,2210502,0,2210502,1000,1000,1000,1000,0,0,0,0
342846.330226,2263133,0,2263133,1000,1000,1000,1000,0,0,0,0
342846.382636,2315764,0,2315764,1000,1000,1000,1000,0,0,0,0
342846.43531,2368395,0,2368395,1000,1000,1000,1000,0,0,0,0
342846.487903,2421026,0,2421026,1000,1000,1000,1000,0,0,0,0
342846.54079,2473657,0,2473657,1000,1000,1000,1000,0,0,0,0
342846.593249,2526288,0,2526288,1000,1000,1000,1000,0,0,0,0
342846.646027,2578919,0,2578919,1000,1000,1000,1000,0,0,0,0
342846.698424,2631550,0,2631550,1000,1000,1000,1000,0,0,0,0
342846.751485,2684181,0,2684181,1000,1000,1000,1000,0,0,0,0
342846.803875,2736812,0,2736812,1000,1000,1000,1000,0,0,0,0
342846.856302,2789443,0,2789443,1000,1000,1000,1000,0,0,0,0
342846.909254,2842074,0,2842074,1000,1000,1000,1000,0,0,0,0
342846.961597,2894705,0,2894705,1000,1000,1000,1000,0,0,0,0
342847.014427,2947336,0,2947336,1000,1000,1000,1000,0,0,0,0
342847.067045,2999967,0,2999967,1000,1000,1000,1000,0,0,0,0
342847.119557,3052598,0,3052598,1000,1000,1000,1000,0,0,0,0
342847.1723,3105229,0,3105229,1000,1000,1000,1000,0,0,0,0
342847.225197,3157860,0,3157860,1000,1000,1000,1000,0,0,0,0
342847.277538,3210491,0,3210491,1000,1000,1000,1000,0,0,0,0
342847.330389,3263122,0,3263122,1000,1000,1000,1000,0,0,0,0
342847.382835,3315753,0,3315753,1000,1000,1000,1000,0,0,0,0
342847.435165,3368384,0,3368384,1000,1000,1000,1000,0,0,0,0
342847.488169,3421015,0,3421015,1000,1000,1000,1000,0,0,0,0
342847.540449,3473646,0,3473646,1000,1000,1000,1000,0,0,0,0
342847.593205,3526277,0,3526277,1000,1000,1000,1000,0,0,0,0
342847.645986,3578908,0,3578908,1000,1000,1000,1000,0,0,0,0
342847.69935,3631539,0,3631539,1000,1000,1000,1000,0,0,0,0
342847.751032,3684170,0,3684170,1000,1000,1000,1000,0,0,0,0
342847.803845,3736801,0,3736801,1000,1000,1000,1000,0,0,0,0
342847.856206,3789432,0,3789432,1000,1000,1000,1000,0,0,0,0
342847.909524,3842063,0,3842063,1000,1000,1000,1000,0,0,0,0
342847.962186,3894694,0,3894694,1000,1000,1000,1000,0,0,0,0
342848.014436,3947325,0,3947325,1000,1000,1000,1000,0,0,0,0
342848.066844,3999956,0,3999956,1000,1000,1000,1000,0,0,0,0
342848.11976,4052587,0,4052587,1000,1000,1000,1000,0,0,0,0
342848.172136,4105218,0,4105218,1000,1000,1000,1000,0,0,0,0
342848.224541,4157849,0,4157849,1000,1000,1000,1000,0,0,0,0
342848.277494,4210480,0,4210480,1000,1000,1000,1000,0,0,0,0
342848.329992,4263111,0,4263111,1000,1000,1000,1000,0,0,0,0
342848.382602,4315742,0,4315742,1000,1000,1000,1000,0,0,0,0
342848.435493,4368373,0,4368373,1000,1000,1000,1000,0,0,0,0
342848.488071,4421004,0,4421004,1000,1000,1000,1000,0,0,0,0
342848.540635,4473635,0,4473635,1000,1000,1000,1000,0,0,0,0
342848.593248,4526266,0,4526266,1000,1000,1000,1000,0,0,0,0
342848.645905,4578897,0,4578897,1000,1000,1000,1000,0,0,0,0
342848.698381,4631528,0,4631528,1000,1000,1000,1000,0,0,0,0
342848.750833,4684159,0,4684159,1000,1000,1000,1000,0,0,0,0
342848.803701,4736790,0,4736790,1000,1000,1000,1000,0,0,0,0
342848.856393,4789421,0,4789421,1000,1000,1000,1000,0,0,0,0
342848.909203,4842052,0,4842052,1000,1000,1000,1000,0,0,0,0
342848.961819,4894683,0,4894683,1000,1000,1000,1000,0,0,0,0
342849.014234,4947314,0,4947314,1000,1000,1000,1000,0,0,0,0
342849.066935,4999945,0,4999945,1000,1000,1000,1000,0,0,0,0
342849.119405,5052576,0,5052576,1000,1000,1000,1000,0,0,0,0
342849.172494,5105207,0,5105207,1000,1000,1000,1000,0,0,0,0
342849.224552,5157838,0,5157838,1000,1000,1000,1000,0,0,0,0
342849.277445,5210469,0,5210469,1000,1000,1000,1000,0,0,0,0
342849.330003,5263100,0,5263100,1000,1000,1000,1000,0,0,0,0
342849.382525,5315731,0,5315731,1000,1000,1000,1000,0,0,0,0
342849.435426,5368362,0,5368362,1000,1000,1000,1000,0,0,0,0
342849.487956,5420993,0,5420993,1000,1000,1000,1000,0,0,0,0
342849.540754,5473624,0,5473624,1000,1000,1000,1000,0,0,0,0
342849.593089,5526255,0,5526255,1000,1000,1000,1000,0,0,0,0
342849.646033,5578886,0,5578886,1000,1000,1000,1000,0,0,0,0
342849.698249,5631517,0,5631517,1000,1000,1000,1000,0,0,0,0
342849.751154,5684148,0,5684148,1000,1000,1000,1000,0,0,0,0
342849.803937,5736779,0,5736779,1000,1000,1000,1000,0,0,0,0
342849.856591,5789410,0,5789410,1000,1000,1000,1000,0,0,0,0
342849.908754,5842041,0,5842041,1000,1000,1000,1000,0,0,0,0
342849.962103,5894672,0,5894672,1000,1000,1000,1000,0,0,0,0
