t_mono,dev_t,seg_id,t_stm_ms,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx,Fy,Fz,Tx,Ty,Tz,force_count,torque_count
342844.139035,100020,0,100020,0.00215,-0.009973,-9.293969,-0.000471,7e-05,0.0,0.00215,-0.009973,-9.293969,-0.000471,7e-05,0.0,1,1
342844.159141,100040,0,100040,-0.007764,-0.004004,-9.307307,0.000592,-0.000201,0.0,-0.007764,-0.004004,-9.307307,0.000592,-0.000201,0.0,2,2
342844.179281,100060,0,100060,-0.018373,0.009558,-9.324139,-0.000721,-0.000215,0.0,-0.018373,0.009558,-9.324139,-0.000721,-0.000215,0.0,3,3
342844.199245,100080,0,100080,0.014657,-0.010813,-9.327696,-0.000163,2.9e-05,0.0,0.014657,-0.010813,-9.327696,-0.000163,2.9e-05,0.0,4,4
342844.218991,100100,0,100100,0.006627,0.026731,-9.300774,-0.000488,-0.000713,0.0,0.006627,0.026731,-9.300774,-0.000488,-0.000713,0.0,5,5
342844.239233,100120,0,100120,0.021652,-0.001924,-9.300453,-1.8e-05,-6.9e-05,0.0,0.021652,-0.001924,-9.300453,-1.8e-05,-6.9e-05,0.0,6,6
342844.258991,100140,0,100140,0.008076,-0.015889,-9.289932,0.00042,3e-06,0.0,0.008076,-0.015889,-9.289932,0.00042,3e-06,0.0,7,7
342844.27894,100160,0,100160,-0.011042,0.021603,-9.294355,0.000169,0.000435,0.0,-0.011042,0.021603,-9.294355,0.000169,0.000435,0.0,8,8
342844.299303,100180,0,100180,0.031339,0.00429,-9.299122,-0.000371,0.000277,0.0,0.031339,0.00429,-9.299122,-0.000371,0.000277,0.0,9,9
342844.319031,100200,0,100200,-0.027854,-0.001391,-9.303981,0.000353,0.000288,0.0,-0.027854,-0.001391,-9.303981,0.000353,0.000288,0.0,10,10
342844.338861,100220,0,100220,0.005896,-0.01375,-9.28663,0.000477,-0.00011,0.0,0.005896,-0.01375,-9.28663,0.000477,-0.00011,0.0,11,11
