seg_id,kind,a_us,b_us,sweep,planned_dwell_s,min_dwell_s,max_dwell_s,t_mono_start,t_mono_end,actual_dwell_s,n_loadcell,dwell_reason,thrust_mean_n,thrust_sem_n
0,tare,1000,1000,0,10.0,10.0,10.0,342844.124142,342854.125301,10.001159,500,planned,9.299702,0.001347
1,warmup,1000,1000,0,3.0,3.0,3.0,342854.571205,342857.57125,3.000044,172,planned,0.00246,0.002226
2,idle_pre,1000,1000,0,10.0,10.0,10.0,342857.571696,342867.572479,10.000783,500,planned,0.000397,0.001146
3,chirp,1400,1400,0,0.5,0.5,0.5,342867.573612,342868.074949,0.501337,25,planned,2.777424,
4,chirp,1000,1000,0,0.5,0.5,0.5,342868.075284,342868.576437,0.501153,25,planned,0.638454,
5,chirp,1400,1400,0,0.5,0.5,0.5,342868.576773,342869.076883,0.50011,25,planned,3.032991,
6,chirp,1000,1000,0,0.5,0.5,0.5,342869.077119,342869.577348,0.50023,25,planned,0.839833,
7,chirp,1400,1400,0,0.5,0.5,0.5,342869.577626,342870.078102,0.500476,25,planned,2.602288,
8,chirp,1000,1000,0,0.5,0.5,0.5,342870.078382,342870.580387,0.502005,26,planned,0.810011,
9,step,1300,1900,1,4.0,4.0,4.0,342870.580824,342874.583212,4.002388,200,planned,10.386685,0.105057
10,step,1300,1500,1,4.0,4.0,4.0,342874.589025,342878.589428,4.000403,200,planned,3.903499,0.101253
11,step,1500,1100,1,4.0,4.0,4.0,342878.595011,342882.596773,4.001762,200,planned,2.939521,0.070458
12,step,1500,1300,1,4.0,4.0,4.0,342882.601433,342886.603054,4.001621,201,planned,3.968753,0.099942
13,step,1600,1700,1,4.0,4.0,4.0,342886.610729,342890.611686,4.000957,200,planned,9.999728,0.082477
14,step,1300,1100,1,4.0,4.0,4.0,342890.617571,342894.618082,4.000511,200,planned,1.163035,0.023671
15,step,1500,1800,1,4.0,4.0,4.0,342894.622179,342898.623752,4.001573,201,planned,10.292797,0.144488
16,step,1600,1300,1,4.0,4.0,4.0,342898.629875,342902.630134,4.000259,200,planned,5.283551,0.13141
17,reference,1500,1500,1,4.0,4.0,4.0,342902.635035,342906.635385,4.000351,200,planned,5.717443,0.076652
18,step,1400,1000,1,4.0,4.0,4.0,342906.635779,342910.63657,4.000791,200,planned,3.002389,0.063026
19,step,1400,1100,1,4.0,4.0,4.0,342910.644394,342914.644668,4.000273,201,planned,1.86704,0.039142
20,step,1300,1600,1,4.0,4.0,4.0,342914.651943,342918.652865,4.000923,200,planned,5.333625,0.114942
21,step,1300,2000,1,4.0,4.0,4.0,342918.659348,342922.660549,4.0012,201,planned,12.934311,0.089709
22,step,1500,2000,1,4.0,4.0,4.0,342922.664448,342926.666961,4.002513,200,planned,14.192775,0.084204
23,step,1500,1700,1,4.0,4.0,4.0,342926.674223,342930.67645,4.002227,200,planned,8.691671,0.11642
24,step,1600,1200,1,4.0,4.0,4.0,342930.68294,342934.683615,4.000676,201,planned,4.750513,0.121633
25,step,1500,1200,1,4.0,4.0,4.0,342934.690605,342938.690853,4.000248,200,planned,3.287673,0.057509
26,reference,1500,1500,1,4.0,4.0,4.0,342938.697081,342942.697862,4.000781,200,planned,5.865485,0.112669
27,step,1500,1900,1,4.0,4.0,4.0,342942.698335,342946.69877,4.000436,200,planned,12.412501,0.077094
28,step,1400,1900,1,4.0,4.0,4.0,342946.705269,342950.705621,4.000352,201,planned,11.35677,0.089641
29,step,1300,1300,1,4.0,4.0,4.0,342950.710393,342954.713249,4.002856,200,planned,2.02366,0.04994
30,step,1600,1500,1,4.0,4.0,4.0,342954.719596,342958.721594,4.001998,201,planned,7.122848,0.107145
31,step,1500,1000,1,4.0,4.0,4.0,342958.73015,342962.730869,4.000719,200,planned,4.558073,0.090438
32,step,1400,1200,1,4.0,4.0,4.0,342962.737559,342966.739691,4.002132,201,planned,2.329437,0.047567
33,step,1400,2000,1,4.0,4.0,4.0,342966.745987,342970.748553,4.002566,200,planned,13.714108,0.090552
34,step,1300,1400,1,4.0,4.0,4.0,342970.753243,342974.754012,4.000769,200,planned,2.887529,0.068003
35,reference,1500,1500,1,4.0,4.0,4.0,342974.761001,342978.761196,4.000195,201,planned,5.960613,0.105508
36,step,1500,1400,1,4.0,4.0,4.0,342978.761547,342982.763272,4.001725,200,planned,4.795319,0.103048
37,step,1400,1800,1,4.0,4.0,4.0,342982.769394,342986.770698,4.001304,200,planned,9.269252,0.105053
38,step,1500,1500,1,4.0,4.0,4.0,342986.776972,342990.779407,4.002434,201,planned,5.887321,0.105658
39,step,1600,1400,1,4.0,4.0,4.0,342990.786351,342994.787345,4.000995,200,planned,6.06301,0.111688
40,step,1600,1000,1,4.0,4.0,4.0,342994.791106,342998.791214,4.000108,200,planned,6.607781,0.114867
41,step,1300,1200,1,4.0,4.0,4.0,342998.797338,343002.799839,4.002501,201,planned,1.521028,0.02836
42,step,1300,1700,1,4.0,4.0,4.0,343002.805659,343006.807542,4.001884,200,planned,6.691966,0.092619
43,step,1600,1100,1,4.0,4.0,4.0,343006.814988,343010.816826,4.001838,200,planned,4.242458,0.079069
44,reference,1500,1500,1,4.0,4.0,4.0,343010.823919,343014.824578,4.000659,201,planned,5.797682,0.102118
45,step,1400,1400,1,4.0,4.0,4.0,343014.825115,343018.826269,4.001153,200,planned,3.656961,0.059964
46,step,1400,1700,1,4.0,4.0,4.0,343018.833361,343022.834796,4.001435,200,planned,7.583751,0.152788
47,step,1400,1300,1,4.0,4.0,4.0,343022.841639,343026.841894,4.000254,201,planned,2.953895,0.058577
48,step,1500,1600,1,4.0,4.0,4.0,343026.84945,343030.851633,4.002183,200,planned,6.984076,0.121423
49,step,1600,1900,1,4.0,4.0,4.0,343030.857545,343034.858458,4.000913,200,planned,13.488018,0.096217
50,step,1400,1600,1,4.0,4.0,4.0,343034.864857,343038.866454,4.001597,201,planned,6.07706,0.123478
51,step,1300,1800,1,4.0,4.0,4.0,343038.873084,343042.873923,4.000838,200,planned,8.489426,0.079182
