pulse_us,theta_deg,theta_up,theta_dn
1370,-8.453922015934792,-8.4932051949982,-8.414638836871383
1380,-8.131229342864977,-8.315664897648027,-7.946793788081928
1390,-7.766672393407544,-8.048774004371696,-7.484570782443392
1400,-7.185045979875939,-7.514238360722432,-6.855853599029447
1410,-6.860083517238887,-7.20963170220722,-6.510535332270553
1420,-6.135869572848194,-6.506131165492453,-5.765607980203935
1430,-5.4637350523317725,-5.844446897740347,-5.083023206923198
1440,-4.721146780857984,-5.140654437331397,-4.30163912438457
1450,-4.174975036826826,-4.574695101479833,-3.7752549721738182
1460,-3.611141004508832,-4.005891683729228,-3.216390325288436
1470,-2.737833155052977,-3.110849772681155,-2.364816537424799
1480,-2.248564269892663,-2.58640223791049,-1.9107263018748357
1490,-1.5606630210879664,-1.8585175715940412,-1.2628084705818914
1500,-1.1825705372604096,-1.4920041550601357,-0.8731369194606833
1510,-0.7851487307256942,-1.117349395286556,-0.4529480661648324
1520,0.04871247077624688,-0.1890118156506685,0.28643675720316225
1530,0.577259009199709,0.18417541476963578,0.9703426036297822
1540,1.2598345290875554,0.8705871483443688,1.649081909830742
1550,1.7031254780516174,1.2977521386942905,2.108498817408944
1560,2.2503901601837466,1.8051600639266956,2.6956202564407974
1570,3.072247389445245,2.640451341086718,3.504043437803772
1580,3.5879998661189876,3.1516456929902175,4.024354039247758
1590,4.151505588704675,3.7615743693746975,4.541436808034652
1600,4.569744369694353,4.083707096235789,5.055781643152917
1610,5.190909162778287,4.7076228539805225,5.674195471576052
1620,5.703335131366858,5.310188792869113,6.096481469864603
1630,6.131738938419875,5.6313024635512985,6.632175413288451
1640,6.664332624500497,6.233614607009224,7.095050641991769
1650,7.242458132444824,6.879053980291269,7.605862284598379
1660,7.708693181496365,7.486095105332199,7.931291257660531
1670,7.883155065843578,7.717571436243221,8.048738695443935
1680,8.12838021639271,8.017003759468635,8.239756673316787
1690,8.328939566316977,8.302310528110272,8.355568604523683
