rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,16446,zero,-1,0,1520,1520,,,,,,,0
S,1519953,zero,-1,0,1520,1520,-328,-1136,-17224,33,22,-27,0
S,1524899,zero,-1,0,1520,1520,-376,-944,-17040,40,23,-26,0
S,1529898,zero,-1,0,1520,1520,-360,-1024,-17112,38,19,-28,0
S,1534896,zero,-1,0,1520,1520,-376,-928,-17128,43,25,-30,0
S,1539898,zero,-1,0,1520,1520,-464,-976,-17176,45,20,-26,0
S,1544897,zero,-1,0,1520,1520,-400,-1064,-17080,40,20,-28,0
S,1549898,zero,-1,0,1520,1520,-440,-1024,-17104,37,26,-35,0
S,1554897,zero,-1,0,1520,1520,-392,-1008,-16984,36,26,-27,0
S,1559898,zero,-1,0,1520,1520,-392,-1008,-17128,38,25,-24,0
S,1564897,zero,-1,0,1520,1520,-208,-1024,-17232,37,20,-23,0
S,1569898,zero,-1,0,1520,1520,-352,-872,-17176,36,22,-28,0
S,1574897,zero,-1,0,1520,1520,-392,-968,-17072,38,24,-23,0
S,1579898,zero,-1,0,1520,1520,-328,-960,-17072,39,23,-28,0
S,1584897,zero,-1,0,1520,1520,-496,-1024,-17104,34,18,-30,0
S,1589897,zero,-1,0,1520,1520,-360,-936,-17232,32,20,-32,0
S,1594896,zero,-1,0,1520,1520,-416,-1032,-17024,40,23,-27,0
S,1599898,zero,-1,0,1520,1520,-336,-792,-17064,42,23,-22,0
S,1604897,zero,-1,0,1520,1520,-304,-1024,-17136,40,20,-28,0
S,1609897,zero,-1,0,1520,1520,-376,-888,-17040,43,22,-28,0
S,1614896,zero,-1,0,1520,1520,-344,-992,-17192,40,23,-35,0
S,1619898,zero,-1,0,1520,1520,-352,-896,-16992,40,26,-31,0
S,1624897,zero,-1,0,1520,1520,-280,-984,-17000,35,25,-32,0
S,1629898,zero,-1,0,1520,1520,-256,-960,-17064,37,27,-31,0
S,1634896,zero,-1,0,1520,1520,-304,-1096,-16992,34,28,-31,0
S,1639898,zero,-1,0,1520,1520,-344,-936,-17128,35,27,-27,0
S,1644897,zero,-1,0,1520,1520,-408,-1024,-17168,37,26,-28,0
S,1649897,zero,-1,0,1520,1520,-368,-952,-17080,38,20,-27,0
S,1654896,zero,-1,0,1520,1520,-408,-1016,-17072,37,19,-28,0
S,1659898,zero,-1,0,1520,1520,-376,-976,-17072,37,21,-24,0
S,1664896,zero,-1,0,1520,1520,-320,-1080,-16872,40,23,-26,0
S,1669898,zero,-1,0,1520,1520,-408,-928,-16984,33,23,-34,0
S,1674897,zero,-1,0,1520,1520,-408,-936,-17104,36,19,-27,0
S,1679898,zero,-1,0,1520,1520,-312,-1048,-17040,41,20,-32,0
S,1684896,zero,-1,0,1520,1520,-456,-1000,-16984,37,25,-31,0
S,1689898,zero,-1,0,1520,1520,-400,-952,-17128,39,21,-31,0
S,1694896,zero,-1,0,1520,1520,-304,-1096,-17080,38,25,-28,0
S,1699897,zero,-1,0,1520,1520,-312,-1008,-17224,41,22,-29,0
S,1704897,zero,-1,0,1520,1520,-424,-992,-17144,43,25,-27,0
S,1709898,zero,-1,0,1520,1520,-328,-936,-17104,36,31,-31,0
S,1714897,zero,-1,0,1520,1520,-368,-1008,-17080,37,25,-31,0
S,1719898,zero,-1,0,1520,1520,-432,-992,-17184,38,20,-24,0
S,1724896,zero,-1,0,1520,1520,-384,-1000,-17032,47,21,-28,0
S,1729898,zero,-1,0,1520,1520,-424,-984,-17048,40,21,-25,0
S,1734897,zero,-1,0,1520,1520,-232,-984,-16936,36,18,-28,0
S,1739898,zero,-1,0,1520,1520,-432,-1016,-17160,33,24,-26,0
S,1744896,zero,-1,0,1520,1520,-248,-968,-17224,31,21,-30,0
S,1749898,zero,-1,0,1520,1520,-488,-912,-17208,37,23,-32,0
S,1754896,zero,-1,0,1520,1520,-320,-920,-17128,38,19,-25,0
S,1759898,zero,-1,0,1520,1520,-232,-1056,-17224,32,22,-33,0
S,1764897,zero,-1,0,1520,1520,-424,-1080,-17176,38,23,-27,0
S,1769898,zero,-1,0,1520,1520,-504,-960,-16992,45,29,-25,0
S,1774897,zero,-1,0,1520,1520,-328,-1008,-17072,36,28,-29,0
S,1779898,zero,-1,0,1520,1520,-312,-912,-17016,39,26,-28,0
S,1784897,zero,-1,0,1520,1520,-328,-968,-17032,38,31,-31,0
S,1789898,zero,-1,0,1520,1520,-472,-1040,-17024,37,25,-31,0
S,1794896,zero,-1,0,1520,1520,-344,-936,-17192,32,22,-24,0
S,1799898,zero,-1,0,1520,1520,-408,-920,-17024,34,20,-31,0
S,1804897,zero,-1,0,1520,1520,-400,-888,-17176,38,28,-31,0
S,1809898,zero,-1,0,1520,1520,-400,-928,-17136,39,19,-26,0
S,1814896,zero,-1,0,1520,1520,-360,-1040,-16984,43,26,-29,0
S,1819898,zero,-1,0,1520,1520,-408,-1008,-17176,37,21,-27,0
S,1824896,zero,-1,0,1520,1520,-392,-1032,-17112,44,22,-32,0
S,1829898,zero,-1,0,1520,1520,-504,-1080,-17032,41,25,-30,0
S,1834897,zero,-1,0,1520,1520,-392,-864,-17016,39,28,-26,0
S,1839898,zero,-1,0,1520,1520,-328,-1040,-17120,41,22,-32,0
S,1844897,zero,-1,0,1520,1520,-368,-936,-17200,36,22,-31,0
S,1849898,zero,-1,0,1520,1520,-424,-1112,-17080,29,20,-24,0
S,1854897,zero,-1,0,1520,1520,-448,-1032,-17080,33,26,-29,0
S,1859898,zero,-1,0,1520,1520,-480,-1048,-17104,39,20,-28,0
S,1864897,zero,-1,0,1520,1520,-480,-936,-17200,40,27,-31,0
S,1869898,zero,-1,0,1520,1520,-384,-920,-17040,43,31,-32,0
S,1874897,zero,-1,0,1520,1520,-360,-960,-17048,41,27,-34,0
S,1879898,zero,-1,0,1520,1520,-400,-984,-17184,38,22,-30,0
S,1884897,zero,-1,0,1520,1520,-416,-1112,-16968,42,19,-23,0
S,1889897,zero,-1,0,1520,1520,-264,-968,-17104,38,25,-30,0
S,1894897,zero,-1,0,1520,1520,-376,-1024,-17184,34,21,-26,0
S,1899898,zero,-1,0,1520,1520,-264,-952,-17096,40,22,-30,0
S,1904896,zero,-1,0,1520,1520,-416,-1000,-17128,35,23,-30,0
S,1909898,zero,-1,0,1520,1520,-336,-1104,-17120,35,23,-31,0
S,1914897,zero,-1,0,1520,1520,-368,-1008,-17152,40,24,-27,0
S,1919898,zero,-1,0,1520,1520,-344,-1080,-17000,41,24,-29,0
S,1924896,zero,-1,0,1520,1520,-256,-1040,-17040,42,19,-31,0
S,1929898,zero,-1,0,1520,1520,-384,-976,-17160,39,21,-27,0
S,1934897,zero,-1,0,1520,1520,-432,-968,-17096,40,19,-27,0
S,1939898,zero,-1,0,1520,1520,-336,-1024,-17088,37,19,-28,0
S,1944897,zero,-1,0,1520,1520,-368,-920,-17128,30,26,-29,0
S,1949898,zero,-1,0,1520,1520,-416,-976,-17080,32,23,-25,0
S,1954897,zero,-1,0,1520,1520,-416,-1008,-17072,30,20,-30,0
S,1959898,zero,-1,0,1520,1520,-232,-968,-17104,35,25,-26,0
S,1964896,zero,-1,0,1520,1520,-416,-1016,-17208,48,24,-24,0
S,1969897,zero,-1,0,1520,1520,-400,-960,-17136,47,26,-25,0
S,1974897,zero,-1,0,1520,1520,-392,-984,-17120,45,25,-28,0
S,1979898,zero,-1,0,1520,1520,-344,-920,-17112,41,26,-27,0
S,1984897,zero,-1,0,1520,1520,-392,-936,-17096,38,25,-24,0
S,1989898,zero,-1,0,1520,1520,-424,-1080,-17144,41,17,-32,0
S,1994896,zero,-1,0,1520,1520,-456,-1048,-17096,37,20,-31,0
S,1999898,zero,-1,0,1520,1520,-392,-968,-17072,38,23,-31,0
S,2004896,zero,-1,0,1520,1520,-464,-984,-17160,40,22,-29,0
S,2009898,zero,-1,0,1520,1520,-480,-1040,-17112,39,25,-27,0
S,2014896,zero,-1,0,1520,1520,-400,-1008,-17152,40,25,-28,0
S,2019898,zero,-1,0,1520,1520,-384,-888,-17168,38,20,-27,0
S,2024896,zero,-1,0,1520,1520,-264,-1072,-17208,39,22,-25,0
S,2029898,zero,-1,0,1520,1520,-328,-904,-17096,37,26,-28,0
S,2034896,zero,-1,0,1520,1520,-336,-1104,-17136,37,22,-31,0
S,2039898,zero,-1,0,1520,1520,-296,-976,-17128,34,20,-34,0
S,2044897,zero,-1,0,1520,1520,-296,-1080,-17072,32,28,-30,0
S,2049898,zero,-1,0,1520,1520,-400,-848,-17088,34,24,-31,0
S,2054897,zero,-1,0,1520,1520,-312,-992,-17080,37,24,-27,0
S,2059898,zero,-1,0,1520,1520,-328,-1000,-17008,42,26,-31,0
S,2064897,zero,-1,0,1520,1520,-352,-944,-17080,39,23,-25,0
S,2069898,zero,-1,0,1520,1520,-312,-1040,-17168,36,22,-31,0
S,2074896,zero,-1,0,1520,1520,-296,-1008,-17120,36,23,-31,0
S,2079898,zero,-1,0,1520,1520,-416,-1032,-17064,37,27,-32,0
S,2084897,zero,-1,0,1520,1520,-296,-952,-17056,43,21,-29,0
S,2089898,zero,-1,0,1520,1520,-336,-816,-17088,39,23,-31,0
