# selected servo B
#META fw=tvc_char 2.1 test=A axis=1 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1310 win_hi=2040 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 sweep=up,dn,up2,dn2
#META imu_alive=1 imu_pass=0 imu_rate_hz=1908 g_mag=1.0451
#META gyro_bias_dps=2.3410,1.4072,-1.7803 gyro_noise_dps=0.1853,0.1807,0.1871 acc_noise_g=0.00391,0.00414,0.00399
#META limits_source=user axis_lo=1310 axis_hi=2040 axis_center=1520 axis_half=210
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META a_start=1310 a_end=2040 a_step=10 dwell_ms=500 log_hz=200 limits_from=measured
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,16435,zero,-1,1,1520,1520,,,,,,,0
S,1519487,zero,-1,1,1520,1520,-456,-976,-17120,40,18,-25,0
S,1524430,zero,-1,1,1520,1520,-400,-920,-17096,37,24,-31,0
S,1529429,zero,-1,1,1520,1520,-544,-1016,-17040,41,19,-27,0
S,1534428,zero,-1,1,1520,1520,-584,-992,-17120,37,24,-34,0
S,1539429,zero,-1,1,1520,1520,-520,-1008,-17080,41,24,-33,0
S,1544428,zero,-1,1,1520,1520,-456,-1008,-17152,43,19,-27,0
S,1549429,zero,-1,1,1520,1520,-416,-912,-17080,37,22,-24,0
S,1554428,zero,-1,1,1520,1520,-368,-1000,-17120,40,23,-27,0
S,1559429,zero,-1,1,1520,1520,-456,-864,-17176,36,29,-27,0
S,1564428,zero,-1,1,1520,1520,-512,-968,-17176,36,28,-29,0
S,1569429,zero,-1,1,1520,1520,-544,-968,-17096,39,18,-29,0
S,1574428,zero,-1,1,1520,1520,-360,-1000,-17136,43,18,-29,0
S,1579429,zero,-1,1,1520,1520,-408,-1040,-17176,43,23,-27,0
S,1584428,zero,-1,1,1520,1520,-376,-1024,-17032,39,26,-30,0
S,1589429,zero,-1,1,1520,1520,-488,-952,-17064,38,24,-30,0
S,1594428,zero,-1,1,1520,1520,-464,-968,-17080,38,21,-24,0
S,1599429,zero,-1,1,1520,1520,-480,-1096,-17016,40,23,-32,0
S,1604428,zero,-1,1,1520,1520,-488,-968,-17144,36,25,-23,0
S,1609429,zero,-1,1,1520,1520,-328,-1000,-17152,40,19,-26,0
S,1614428,zero,-1,1,1520,1520,-400,-1008,-17152,33,20,-31,0
S,1619429,zero,-1,1,1520,1520,-368,-984,-17160,37,19,-34,0
S,1624428,zero,-1,1,1520,1520,-552,-920,-17112,37,21,-25,0
S,1629429,zero,-1,1,1520,1520,-432,-928,-17136,33,19,-28,0
S,1634428,zero,-1,1,1520,1520,-520,-944,-17184,35,23,-31,0
S,1639429,zero,-1,1,1520,1520,-488,-1032,-17040,34,24,-28,0
S,1644428,zero,-1,1,1520,1520,-360,-1032,-17008,45,27,-28,0
S,1649429,zero,-1,1,1520,1520,-456,-960,-17008,38,21,-32,0
S,1654428,zero,-1,1,1520,1520,-520,-1080,-16976,40,20,-33,0
S,1659429,zero,-1,1,1520,1520,-368,-984,-17136,36,24,-28,0
S,1664428,zero,-1,1,1520,1520,-496,-928,-17008,38,23,-28,0
S,1669429,zero,-1,1,1520,1520,-480,-960,-17176,38,24,-31,0
S,1674428,zero,-1,1,1520,1520,-464,-1000,-17096,46,22,-27,0
S,1679429,zero,-1,1,1520,1520,-392,-1000,-17032,37,24,-30,0
S,1684428,zero,-1,1,1520,1520,-376,-912,-17112,39,18,-28,0
S,1689429,zero,-1,1,1520,1520,-488,-952,-16992,36,22,-30,0
S,1694428,zero,-1,1,1520,1520,-432,-1000,-17104,38,22,-28,0
S,1699429,zero,-1,1,1520,1520,-464,-992,-16992,38,25,-30,0
S,1704428,zero,-1,1,1520,1520,-480,-1032,-17016,40,29,-30,0
S,1709429,zero,-1,1,1520,1520,-472,-1024,-17144,38,26,-27,0
S,1714428,zero,-1,1,1520,1520,-376,-888,-17128,44,26,-28,0
S,1719429,zero,-1,1,1520,1520,-456,-976,-17048,42,28,-33,0
S,1724428,zero,-1,1,1520,1520,-488,-920,-17064,43,22,-23,0
S,1729429,zero,-1,1,1520,1520,-504,-1000,-16984,39,26,-29,0
S,1734428,zero,-1,1,1520,1520,-408,-944,-17056,40,30,-30,0
S,1739429,zero,-1,1,1520,1520,-488,-1008,-17104,39,32,-32,0
S,1744428,zero,-1,1,1520,1520,-400,-1144,-17224,36,21,-27,0
S,1749429,zero,-1,1,1520,1520,-536,-1024,-16952,40,22,-27,0
S,1754428,zero,-1,1,1520,1520,-456,-1040,-17160,40,24,-32,0
S,1759429,zero,-1,1,1520,1520,-448,-1056,-17072,41,22,-25,0
S,1764428,zero,-1,1,1520,1520,-472,-1080,-16976,37,25,-28,0
S,1769429,zero,-1,1,1520,1520,-448,-1000,-17136,46,20,-24,0
S,1774428,zero,-1,1,1520,1520,-480,-984,-17064,44,20,-29,0
S,1779429,zero,-1,1,1520,1520,-464,-928,-17104,41,22,-24,0
S,1784428,zero,-1,1,1520,1520,-360,-936,-17144,42,23,-34,0
S,1789429,zero,-1,1,1520,1520,-360,-1088,-17136,36,25,-32,0
S,1794428,zero,-1,1,1520,1520,-448,-952,-17136,39,24,-33,0
S,1799429,zero,-1,1,1520,1520,-512,-976,-17208,41,23,-27,0
S,1804428,zero,-1,1,1520,1520,-400,-928,-16936,39,20,-26,0
S,1809429,zero,-1,1,1520,1520,-576,-1032,-17104,40,28,-29,0
S,1814428,zero,-1,1,1520,1520,-416,-896,-16872,37,27,-27,0
S,1819429,zero,-1,1,1520,1520,-408,-864,-17136,38,24,-29,0
S,1824428,zero,-1,1,1520,1520,-464,-920,-17152,35,26,-26,0
S,1829429,zero,-1,1,1520,1520,-280,-1024,-16920,35,23,-26,0
S,1834428,zero,-1,1,1520,1520,-568,-1024,-17128,41,21,-29,0
S,1839429,zero,-1,1,1520,1520,-384,-944,-17192,36,20,-29,0
S,1844428,zero,-1,1,1520,1520,-360,-1048,-17040,42,19,-28,0
S,1849429,zero,-1,1,1520,1520,-536,-1024,-17000,38,20,-30,0
S,1854428,zero,-1,1,1520,1520,-424,-1056,-17040,38,24,-25,0
S,1859429,zero,-1,1,1520,1520,-464,-1008,-17072,43,24,-31,0
S,1864428,zero,-1,1,1520,1520,-496,-952,-17192,42,28,-28,0
S,1869429,zero,-1,1,1520,1520,-328,-856,-17032,42,22,-30,0
S,1874428,zero,-1,1,1520,1520,-472,-784,-17144,39,25,-33,0
S,1879429,zero,-1,1,1520,1520,-448,-960,-17024,34,26,-24,0
S,1884428,zero,-1,1,1520,1520,-392,-1080,-17000,32,27,-28,0
S,1889429,zero,-1,1,1520,1520,-448,-944,-17112,35,25,-25,0
S,1894428,zero,-1,1,1520,1520,-464,-936,-17016,39,24,-31,0
S,1899429,zero,-1,1,1520,1520,-488,-1048,-17064,39,27,-28,0
S,1904428,zero,-1,1,1520,1520,-472,-912,-17096,31,27,-28,0
S,1909429,zero,-1,1,1520,1520,-496,-1016,-17024,43,25,-32,0
S,1914428,zero,-1,1,1520,1520,-496,-1056,-17000,38,29,-27,0
S,1919429,zero,-1,1,1520,1520,-440,-992,-17104,42,23,-29,0
S,1924428,zero,-1,1,1520,1520,-504,-968,-17032,40,19,-32,0
S,1929429,zero,-1,1,1520,1520,-408,-928,-17056,35,24,-27,0
S,1934428,zero,-1,1,1520,1520,-416,-984,-17128,33,25,-27,0
S,1939429,zero,-1,1,1520,1520,-504,-1048,-17112,36,26,-32,0
S,1944428,zero,-1,1,1520,1520,-432,-928,-17224,40,26,-29,0
S,1949429,zero,-1,1,1520,1520,-416,-1032,-17192,36,24,-29,0
S,1954428,zero,-1,1,1520,1520,-480,-864,-17152,39,21,-27,0
S,1959429,zero,-1,1,1520,1520,-440,-1064,-16992,39,20,-26,0
S,1964428,zero,-1,1,1520,1520,-392,-896,-17088,41,24,-24,0
S,1969429,zero,-1,1,1520,1520,-432,-1032,-17064,44,24,-27,0
S,1974428,zero,-1,1,1520,1520,-392,-832,-17128,37,24,-38,0
S,1979429,zero,-1,1,1520,1520,-504,-976,-17080,34,20,-30,0
S,1984428,zero,-1,1,1520,1520,-504,-1120,-17104,34,17,-29,0
S,1989429,zero,-1,1,1520,1520,-344,-904,-17008,35,18,-27,0
S,1994428,zero,-1,1,1520,1520,-480,-1128,-16920,35,26,-35,0
S,1999429,zero,-1,1,1520,1520,-496,-1032,-16896,38,22,-22,0
S,2004428,zero,-1,1,1520,1520,-376,-920,-17304,37,22,-24,0
S,2009429,zero,-1,1,1520,1520,-592,-1096,-17120,39,24,-29,0
S,2014428,zero,-1,1,1520,1520,-368,-792,-17016,40,26,-29,0
S,2019429,zero,-1,1,1520,1520,-704,-1008,-17048,40,25,-30,0
S,2024428,zero,-1,1,1520,1520,-248,-888,-17056,39,26,-26,0
S,2029429,zero,-1,1,1520,1520,-520,-1016,-17160,38,25,-30,0
S,2034428,zero,-1,1,1520,1520,-360,-936,-17080,39,18,-31,0
S,2039429,zero,-1,1,1520,1520,-456,-928,-17056,34,26,-28,0
S,2044428,zero,-1,1,1520,1520,-344,-1064,-17104,39,22,-30,0
S,2049429,zero,-1,1,1520,1520,-384,-928,-17112,44,21,-28,0
S,2054428,zero,-1,1,1520,1520,-352,-1048,-17048,38,20,-32,0
S,2059429,zero,-1,1,1520,1520,-464,-960,-17104,37,24,-28,0
S,2064428,zero,-1,1,1520,1520,-416,-888,-17112,39,31,-25,0
S,2069429,zero,-1,1,1520,1520,-328,-864,-17224,41,25,-30,0
S,2074428,zero,-1,1,1520,1520,-512,-944,-17096,35,22,-33,0
S,2079429,zero,-1,1,1520,1520,-392,-976,-16896,41,19,-23,0
S,2084428,zero,-1,1,1520,1520,-416,-920,-17208,37,21,-28,0
S,2089429,zero,-1,1,1520,1520,-368,-1064,-17136,32,22,-25,0
S,2094428,zero,-1,1,1520,1520,-528,-1000,-16904,40,20,-29,0
S,2099429,zero,-1,1,1520,1520,-480,-912,-16976,36,23,-27,0
S,2104428,zero,-1,1,1520,1520,-536,-1032,-17120,43,24,-30,0
S,2109429,zero,-1,1,1520,1520,-392,-936,-16976,33,23,-30,0
S,2114428,zero,-1,1,1520,1520,-448,-1072,-17128,32,21,-33,0
S,2119429,zero,-1,1,1520,1520,-432,-1040,-17032,41,24,-29,0
S,2124428,zero,-1,1,1520,1520,-280,-968,-17112,36,21,-28,0
S,2129429,zero,-1,1,1520,1520,-376,-872,-17104,35,21,-27,0
S,2134428,zero,-1,1,1520,1520,-360,-888,-17040,38,18,-32,0
S,2139429,zero,-1,1,1520,1520,-560,-976,-17120,38,22,-25,0
S,2144428,zero,-1,1,1520,1520,-472,-984,-17048,41,17,-26,0
S,2149429,zero,-1,1,1520,1520,-376,-872,-17064,39,26,-25,0
S,2154428,zero,-1,1,1520,1520,-504,-1064,-17136,38,22,-26,0
S,2159429,zero,-1,1,1520,1520,-440,-936,-17096,39,31,-27,0
S,2164428,zero,-1,1,1520,1520,-360,-928,-17072,34,22,-29,0
S,2169429,zero,-1,1,1520,1520,-416,-944,-17120,35,25,-33,0
S,2174428,zero,-1,1,1520,1520,-360,-1000,-17168,39,21,-28,0
S,2179429,zero,-1,1,1520,1520,-336,-1016,-17080,43,23,-35,0
S,2184428,zero,-1,1,1520,1520,-448,-1128,-17152,39,22,-36,0
S,2189429,zero,-1,1,1520,1520,-328,-944,-17072,34,20,-31,0
S,2194428,zero,-1,1,1520,1520,-472,-952,-16968,30,26,-22,0
S,2199429,zero,-1,1,1520,1520,-360,-1112,-16928,39,25,-32,0
S,2204428,zero,-1,1,1520,1520,-368,-896,-16888,43,19,-28,0
S,2209429,zero,-1,1,1520,1520,-408,-1008,-17104,38,24,-28,0
S,2214428,zero,-1,1,1520,1520,-456,-992,-17040,40,24,-31,0
S,2219429,zero,-1,1,1520,1520,-456,-984,-17088,40,19,-28,0
S,2224428,zero,-1,1,1520,1520,-488,-976,-17088,32,25,-29,0
S,2229429,zero,-1,1,1520,1520,-504,-936,-17176,35,22,-25,0
S,2234428,zero,-1,1,1520,1520,-528,-936,-17032,40,22,-33,0
S,2239429,zero,-1,1,1520,1520,-440,-984,-17144,37,21,-31,0
S,2244428,zero,-1,1,1520,1520,-464,-1008,-17152,37,23,-31,0
S,2249429,zero,-1,1,1520,1520,-544,-1032,-17152,38,25,-33,0
S,2254428,zero,-1,1,1520,1520,-384,-928,-17048,43,27,-23,0
S,2259429,zero,-1,1,1520,1520,-504,-944,-17048,40,22,-29,0
S,2264428,zero,-1,1,1520,1520,-496,-912,-17032,36,22,-31,0
S,2269429,zero,-1,1,1520,1520,-472,-968,-17024,37,21,-27,0
S,2274428,zero,-1,1,1520,1520,-352,-1152,-17184,44,23,-28,0
S,2279429,zero,-1,1,1520,1520,-528,-968,-17104,36,23,-30,0
S,2284428,zero,-1,1,1520,1520,-384,-840,-17096,41,22,-28,0
S,2289429,zero,-1,1,1520,1520,-424,-992,-17072,36,22,-30,0
S,2294428,zero,-1,1,1520,1520,-432,-1008,-17064,34,25,-27,0
S,2299429,zero,-1,1,1520,1520,-384,-944,-17072,39,27,-33,0
S,2304428,zero,-1,1,1520,1520,-432,-1024,-17040,43,26,-26,0
S,2309429,zero,-1,1,1520,1520,-400,-888,-17072,43,22,-28,0
S,2314428,zero,-1,1,1520,1520,-448,-920,-17088,41,21,-28,0
S,2319429,zero,-1,1,1520,1520,-488,-1016,-17064,38,22,-28,0
S,2324428,zero,-1,1,1520,1520,-512,-976,-16936,37,26,-31,0
S,2329429,zero,-1,1,1520,1520,-392,-944,-17032,31,21,-28,0
S,2334428,zero,-1,1,1520,1520,-472,-920,-16976,33,19,-31,0
S,2339429,zero,-1,1,1520,1520,-568,-856,-17000,37,24,-27,0
S,2344428,zero,-1,1,1520,1520,-488,-960,-17200,40,25,-29,0
S,2349429,zero,-1,1,1520,1520,-488,-944,-17128,36,24,-27,0
S,2354428,zero,-1,1,1520,1520,-424,-1040,-17224,34,20,-25,0
S,2359429,zero,-1,1,1520,1520,-392,-984,-17208,36,23,-26,0
S,2364428,zero,-1,1,1520,1520,-432,-920,-17120,44,20,-34,0
S,2369429,zero,-1,1,1520,1520,-584,-872,-17088,43,26,-25,0
S,2374428,zero,-1,1,1520,1520,-360,-904,-17152,41,27,-28,0
S,2379429,zero,-1,1,1520,1520,-424,-992,-17104,38,23,-23,0
S,2384428,zero,-1,1,1520,1520,-600,-936,-17176,39,21,-31,0
S,2389429,zero,-1,1,1520,1520,-360,-1040,-17064,35,25,-31,0
S,2394428,zero,-1,1,1520,1520,-368,-960,-17112,39,24,-32,0
S,2399429,zero,-1,1,1520,1520,-488,-952,-17136,41,26,-36,0
S,2404428,zero,-1,1,1520,1520,-424,-960,-17024,34,23,-23,0
S,2409429,zero,-1,1,1520,1520,-432,-1024,-17048,35,25,-26,0
S,2414428,zero,-1,1,1520,1520,-496,-1048,-17128,37,22,-28,0
S,2419429,zero,-1,1,1520,1520,-448,-1160,-16880,38,16,-30,0
S,2424428,zero,-1,1,1520,1520,-472,-1064,-17232,40,22,-28,0
S,2429429,zero,-1,1,1520,1520,-544,-1048,-17160,41,25,-27,0
S,2434428,zero,-1,1,1520,1520,-440,-968,-17040,41,27,-29,0
S,2439429,zero,-1,1,1520,1520,-408,-1000,-17064,38,25,-29,0
S,2444428,zero,-1,1,1520,1520,-416,-912,-17120,35,25,-28,0
S,2449429,zero,-1,1,1520,1520,-576,-856,-16976,38,19,-24,0
S,2454428,zero,-1,1,1520,1520,-384,-976,-17088,36,21,-34,0
S,2459429,zero,-1,1,1520,1520,-384,-1000,-17104,37,20,-25,0
S,2464428,zero,-1,1,1520,1520,-456,-984,-17096,37,22,-29,0
S,2469429,zero,-1,1,1520,1520,-432,-1056,-17160,42,18,-24,0
S,2474428,zero,-1,1,1520,1520,-336,-984,-17128,39,17,-29,0
S,2479429,zero,-1,1,1520,1520,-368,-904,-17128,37,18,-25,0
S,2484428,zero,-1,1,1520,1520,-360,-848,-17120,40,17,-30,0
S,2489429,zero,-1,1,1520,1520,-416,-848,-17200,41,24,-28,0
S,2494428,zero,-1,1,1520,1520,-472,-1040,-17120,41,27,-31,0
S,2499429,zero,-1,1,1520,1520,-352,-1048,-17024,41,31,-25,0
S,2504428,zero,-1,1,1520,1520,-528,-1048,-17160,41,23,-32,0
S,2509429,zero,-1,1,1520,1520,-512,-928,-17016,44,21,-28,0
S,2514428,zero,-1,1,1520,1520,-360,-976,-17096,45,22,-26,0
S,2519429,zero,-1,1,1520,1520,-328,-800,-17136,33,28,-25,0
E,2519533,up,-1,1,1520,1310,,,,,,,0
E,4018897,up,0,1,1520,1310,,,,,,,0
S,4019524,up,0,1,1520,1310,-528,1408,-16984,37,25,-31,0
S,4024512,up,0,1,1520,1310,-456,1464,-17040,46,19,-36,0
S,4029511,up,0,1,1520,1310,-544,1448,-17072,41,24,-31,0
S,4034510,up,0,1,1520,1310,-456,1416,-16992,42,19,-25,0
S,4039511,up,0,1,1520,1310,-448,1440,-17000,35,29,-31,0
S,4044510,up,0,1,1520,1310,-376,1416,-16968,39,28,-23,0
S,4049511,up,0,1,1520,1310,-416,1280,-17024,37,27,-30,0
S,4054510,up,0,1,1520,1310,-328,1432,-17016,37,23,-32,0
S,4059510,up,0,1,1520,1310,-496,1400,-16976,35,19,-27,0
