rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,16484,arm,0,1,1520,1520,,,,,,,0
E,200007,cmd,0,1,1520,1530,,,,,,,0
S,2,pre,0,1,1520,1530,-360,-928,-17200,34,24,-35,0
S,1001,pre,0,1,1520,1530,-312,-808,-17168,39,23,-29,0
S,2001,pre,0,1,1520,1530,-416,-888,-17032,40,25,-31,0
S,3001,pre,0,1,1520,1530,-288,-928,-17112,40,23,-29,0
S,4001,pre,0,1,1520,1530,-448,-936,-16984,38,20,-29,0
S,5001,pre,0,1,1520,1530,-400,-880,-17056,41,22,-26,0
S,6001,pre,0,1,1520,1530,-344,-896,-17136,41,22,-25,0
S,7001,pre,0,1,1520,1530,-424,-904,-17096,31,21,-28,0
S,8001,pre,0,1,1520,1530,-416,-896,-17128,30,20,-33,0
S,9001,pre,0,1,1520,1530,-424,-840,-17112,35,20,-30,0
S,10001,pre,0,1,1520,1530,-400,-920,-17040,37,24,-32,0
S,11001,pre,0,1,1520,1530,-400,-832,-17112,39,25,-30,0
S,12001,pre,0,1,1520,1530,-360,-912,-17144,33,19,-28,0
S,13001,pre,0,1,1520,1530,-360,-928,-17176,36,19,-33,0
S,14001,pre,0,1,1520,1530,-360,-1000,-16984,40,20,-32,0
S,15001,pre,0,1,1520,1530,-320,-984,-17072,39,24,-30,0
S,16001,pre,0,1,1520,1530,-320,-856,-16936,36,20,-29,0
S,17001,pre,0,1,1520,1530,-296,-896,-17160,34,20,-30,0
S,18001,pre,0,1,1520,1530,-432,-896,-17216,31,19,-25,0
S,19001,pre,0,1,1520,1530,-352,-856,-17208,35,22,-27,0
S,20001,pre,0,1,1520,1530,-408,-1112,-17128,32,25,-26,0
S,21001,pre,0,1,1520,1530,-280,-936,-17040,35,24,-32,0
S,22001,pre,0,1,1520,1530,-392,-832,-17008,39,24,-30,0
S,23001,pre,0,1,1520,1530,-312,-848,-17144,41,25,-30,0
S,24001,pre,0,1,1520,1530,-432,-896,-17056,36,23,-28,0
S,25001,pre,0,1,1520,1530,-416,-904,-17112,32,31,-24,0
S,26001,pre,0,1,1520,1530,-192,-808,-17088,37,24,-30,0
S,27001,pre,0,1,1520,1530,-296,-896,-16984,33,22,-32,0
S,28001,pre,0,1,1520,1530,-304,-896,-17208,36,22,-30,0
S,29001,pre,0,1,1520,1530,-328,-944,-17144,39,23,-27,0
S,30001,pre,0,1,1520,1530,-456,-936,-17088,44,21,-28,0
S,31001,pre,0,1,1520,1530,-264,-832,-17136,39,20,-27,0
S,32001,pre,0,1,1520,1530,-376,-1040,-17032,39,23,-27,0
S,33001,pre,0,1,1520,1530,-336,-872,-17088,39,19,-25,0
S,34001,pre,0,1,1520,1530,-320,-840,-17144,37,23,-32,0
S,35001,pre,0,1,1520,1530,-312,-832,-17112,39,26,-26,0
S,36001,pre,0,1,1520,1530,-376,-904,-17096,41,28,-30,0
S,37001,pre,0,1,1520,1530,-296,-864,-17136,36,22,-25,0
S,38001,pre,0,1,1520,1530,-384,-904,-17136,36,27,-27,0
S,39001,pre,0,1,1520,1530,-336,-952,-17112,42,25,-26,0
S,40001,pre,0,1,1520,1530,-416,-960,-17056,38,26,-28,0
S,41001,pre,0,1,1520,1530,-384,-1000,-17072,35,20,-30,0
S,42001,pre,0,1,1520,1530,-392,-928,-17088,38,15,-27,0
S,43001,pre,0,1,1520,1530,-328,-832,-17112,37,20,-28,0
S,44001,pre,0,1,1520,1530,-264,-880,-17088,40,23,-29,0
S,45001,pre,0,1,1520,1530,-384,-912,-17040,39,21,-22,0
S,46001,pre,0,1,1520,1530,-472,-864,-16968,37,22,-22,0
S,47001,pre,0,1,1520,1530,-304,-976,-16976,37,23,-26,0
S,48001,pre,0,1,1520,1530,-296,-896,-16960,40,23,-27,0
S,49001,pre,0,1,1520,1530,-360,-984,-16984,44,22,-28,0
S,50001,pre,0,1,1520,1530,-400,-960,-17128,35,21,-26,0
S,51001,pre,0,1,1520,1530,-344,-832,-17104,39,22,-33,0
S,52001,pre,0,1,1520,1530,-344,-904,-16992,36,22,-33,0
S,53001,pre,0,1,1520,1530,-296,-920,-17128,33,24,-26,0
S,54001,pre,0,1,1520,1530,-280,-864,-17216,41,18,-29,0
S,55001,pre,0,1,1520,1530,-328,-856,-17088,43,23,-29,0
S,56001,pre,0,1,1520,1530,-432,-952,-17104,41,25,-31,0
S,57001,pre,0,1,1520,1530,-456,-920,-17040,36,25,-31,0
S,58001,pre,0,1,1520,1530,-480,-864,-17120,36,26,-25,0
S,59001,pre,0,1,1520,1530,-312,-968,-17080,36,27,-24,0
S,60001,pre,0,1,1520,1530,-272,-1008,-17176,37,26,-29,0
S,61001,pre,0,1,1520,1530,-336,-920,-17016,38,24,-30,0
S,62001,pre,0,1,1520,1530,-248,-992,-17088,42,27,-23,0
S,63001,pre,0,1,1520,1530,-256,-952,-17104,41,26,-28,0
S,64001,pre,0,1,1520,1530,-376,-824,-17096,41,18,-28,0
S,65001,pre,0,1,1520,1530,-368,-880,-17144,39,24,-30,0
S,66001,pre,0,1,1520,1530,-232,-896,-17104,37,26,-27,0
S,67001,pre,0,1,1520,1530,-432,-728,-17064,38,24,-26,0
S,68001,pre,0,1,1520,1530,-336,-968,-17144,46,24,-30,0
S,69001,pre,0,1,1520,1530,-376,-1048,-17216,35,23,-30,0
S,70001,pre,0,1,1520,1530,-304,-1000,-17040,40,22,-29,0
S,71001,pre,0,1,1520,1530,-480,-832,-17064,42,21,-25,0
S,72001,pre,0,1,1520,1530,-368,-864,-17216,42,20,-31,0
S,73001,pre,0,1,1520,1530,-360,-984,-17088,40,24,-27,0
S,74001,pre,0,1,1520,1530,-344,-928,-16984,34,29,-27,0
S,75001,pre,0,1,1520,1530,-224,-832,-17056,38,30,-29,0
S,76001,pre,0,1,1520,1530,-320,-920,-17016,42,26,-28,0
S,77001,pre,0,1,1520,1530,-296,-896,-17144,37,19,-27,0
S,78001,pre,0,1,1520,1530,-304,-968,-17096,37,24,-35,0
S,79001,pre,0,1,1520,1530,-296,-800,-17032,41,24,-25,0
S,80001,pre,0,1,1520,1530,-264,-880,-17120,43,24,-26,0
S,81001,pre,0,1,1520,1530,-312,-864,-17160,37,22,-27,0
S,82001,pre,0,1,1520,1530,-480,-1000,-17024,40,21,-30,0
S,83001,pre,0,1,1520,1530,-456,-944,-17088,40,22,-32,0
S,84001,pre,0,1,1520,1530,-240,-800,-17080,34,23,-28,0
S,85001,pre,0,1,1520,1530,-312,-880,-17024,39,21,-29,0
S,86001,pre,0,1,1520,1530,-424,-904,-17112,36,25,-29,0
S,87001,pre,0,1,1520,1530,-336,-976,-17160,42,25,-29,0
S,88001,pre,0,1,1520,1530,-400,-816,-17144,37,20,-31,0
S,89001,pre,0,1,1520,1530,-432,-824,-17064,34,24,-32,0
S,90001,pre,0,1,1520,1530,-320,-800,-17152,35,22,-32,0
S,91001,pre,0,1,1520,1530,-408,-816,-17096,33,23,-29,0
S,92001,pre,0,1,1520,1530,-400,-936,-17168,38,26,-32,0
S,93001,pre,0,1,1520,1530,-376,-952,-17184,39,19,-28,0
S,94001,pre,0,1,1520,1530,-368,-936,-17120,35,19,-26,0
S,95001,pre,0,1,1520,1530,-336,-864,-17120,46,17,-31,0
S,96001,pre,0,1,1520,1530,-336,-904,-17104,37,24,-31,0
S,97001,pre,0,1,1520,1530,-296,-1008,-17032,35,25,-32,0
S,98001,pre,0,1,1520,1530,-376,-864,-17096,36,23,-32,0
S,99001,pre,0,1,1520,1530,-328,-1032,-17120,40,25,-26,0
S,100001,pre,0,1,1520,1530,-384,-904,-17064,44,25,-32,0
S,101001,pre,0,1,1520,1530,-280,-928,-17024,38,23,-30,0
S,102001,pre,0,1,1520,1530,-408,-912,-17056,36,21,-30,0
S,103001,pre,0,1,1520,1530,-336,-920,-17056,37,20,-32,0
S,104001,pre,0,1,1520,1530,-360,-864,-17096,34,19,-30,0
S,105001,pre,0,1,1520,1530,-272,-880,-17136,36,18,-29,0
S,106001,pre,0,1,1520,1530,-352,-896,-17048,33,19,-27,0
S,107001,pre,0,1,1520,1530,-400,-856,-17088,35,21,-29,0
S,108001,pre,0,1,1520,1530,-336,-840,-16976,40,27,-30,0
S,109001,pre,0,1,1520,1530,-304,-928,-17040,35,26,-31,0
S,110001,pre,0,1,1520,1530,-200,-888,-17128,39,17,-29,0
S,111001,pre,0,1,1520,1530,-392,-880,-17000,35,19,-30,0
S,112001,pre,0,1,1520,1530,-304,-960,-16968,37,23,-26,0
S,113001,pre,0,1,1520,1530,-288,-1008,-17040,34,22,-34,0
S,114001,pre,0,1,1520,1530,-392,-928,-17072,33,18,-33,0
S,115001,pre,0,1,1520,1530,-480,-864,-17120,44,21,-31,0
S,116001,pre,0,1,1520,1530,-408,-920,-17032,40,19,-22,0
S,117001,pre,0,1,1520,1530,-472,-928,-16952,38,20,-23,0
S,118001,pre,0,1,1520,1530,-216,-1056,-17112,34,19,-28,0
S,119001,pre,0,1,1520,1530,-488,-888,-17184,39,25,-34,0
S,120001,pre,0,1,1520,1530,-336,-880,-17064,34,22,-32,0
S,121001,pre,0,1,1520,1530,-320,-912,-16992,36,27,-28,0
S,122001,pre,0,1,1520,1530,-376,-896,-17096,39,29,-28,0
S,123001,pre,0,1,1520,1530,-344,-920,-17120,40,20,-25,0
S,124001,pre,0,1,1520,1530,-344,-888,-17112,39,23,-36,0
S,125001,pre,0,1,1520,1530,-480,-960,-17232,38,22,-26,0
S,126001,pre,0,1,1520,1530,-272,-904,-17128,41,20,-24,0
S,127001,pre,0,1,1520,1530,-384,-824,-17088,41,21,-28,0
S,128001,pre,0,1,1520,1530,-456,-816,-17128,42,25,-28,0
S,129001,pre,0,1,1520,1530,-296,-872,-17040,39,21,-23,0
S,130001,pre,0,1,1520,1530,-456,-784,-17224,39,25,-20,0
S,131001,pre,0,1,1520,1530,-232,-808,-17120,36,22,-25,0
S,132001,pre,0,1,1520,1530,-368,-1064,-17072,30,19,-23,0
S,133001,pre,0,1,1520,1530,-328,-888,-17088,38,21,-31,0
S,134001,pre,0,1,1520,1530,-432,-880,-17200,34,23,-28,0
S,135001,pre,0,1,1520,1530,-384,-984,-17144,41,22,-31,0
S,136001,pre,0,1,1520,1530,-360,-832,-17120,38,25,-31,0
S,137001,pre,0,1,1520,1530,-288,-856,-17040,43,23,-29,0
S,138001,pre,0,1,1520,1530,-424,-784,-17008,30,29,-28,0
S,139001,pre,0,1,1520,1530,-392,-816,-17072,35,24,-35,0
S,140001,pre,0,1,1520,1530,-264,-856,-17080,39,26,-26,0
S,141001,pre,0,1,1520,1530,-256,-848,-17040,38,26,-23,0
S,142001,pre,0,1,1520,1530,-368,-944,-17008,40,22,-26,0
S,143001,pre,0,1,1520,1530,-272,-1008,-17152,40,23,-25,0
S,144001,pre,0,1,1520,1530,-408,-1064,-17080,38,28,-27,0
S,145001,pre,0,1,1520,1530,-360,-896,-17112,35,25,-25,0
S,146001,pre,0,1,1520,1530,-392,-976,-17104,36,23,-29,0
S,147001,pre,0,1,1520,1530,-368,-864,-17048,34,24,-28,0
S,148001,pre,0,1,1520,1530,-312,-928,-17048,39,23,-29,0
S,149001,pre,0,1,1520,1530,-368,-848,-17048,39,22,-28,0
S,150001,pre,0,1,1520,1530,-384,-880,-17104,35,25,-33,0
S,151001,pre,0,1,1520,1530,-368,-744,-17088,39,24,-31,0
S,152001,pre,0,1,1520,1530,-296,-1008,-17160,33,21,-32,0
S,153001,pre,0,1,1520,1530,-328,-912,-17176,38,26,-33,0
S,154001,pre,0,1,1520,1530,-328,-880,-17088,42,19,-30,0
S,155001,pre,0,1,1520,1530,-280,-1032,-17176,40,21,-28,0
S,156001,pre,0,1,1520,1530,-320,-880,-17184,42,19,-26,0
S,157001,pre,0,1,1520,1530,-352,-888,-17224,41,28,-27,0
S,158001,pre,0,1,1520,1530,-360,-872,-17088,43,27,-31,0
S,159001,pre,0,1,1520,1530,-392,-944,-17032,38,20,-36,0
S,160001,pre,0,1,1520,1530,-352,-952,-17112,41,26,-27,0
S,161001,pre,0,1,1520,1530,-312,-936,-17048,35,24,-28,0
S,162001,pre,0,1,1520,1530,-392,-928,-17048,40,18,-25,0
S,163001,pre,0,1,1520,1530,-360,-1008,-17072,37,30,-29,0
S,164001,pre,0,1,1520,1530,-384,-1008,-17088,36,28,-28,0
S,165001,pre,0,1,1520,1530,-360,-944,-17024,40,21,-28,0
S,166001,pre,0,1,1520,1530,-424,-896,-17128,38,26,-29,0
S,167001,pre,0,1,1520,1530,-296,-896,-17088,38,22,-26,0
S,168001,pre,0,1,1520,1530,-280,-912,-17048,44,26,-29,0
S,169001,pre,0,1,1520,1530,-400,-952,-17208,35,31,-29,0
S,170001,pre,0,1,1520,1530,-488,-904,-17112,32,27,-32,0
S,171001,pre,0,1,1520,1530,-256,-736,-17160,35,26,-34,0
S,172001,pre,0,1,1520,1530,-328,-792,-17184,36,23,-29,0
S,173001,pre,0,1,1520,1530,-352,-896,-16952,36,26,-21,0
S,174001,pre,0,1,1520,1530,-296,-1024,-17040,38,23,-27,0
S,175001,pre,0,1,1520,1530,-376,-896,-17056,37,23,-32,0
S,176001,pre,0,1,1520,1530,-280,-952,-17128,36,24,-28,0
S,177001,pre,0,1,1520,1530,-376,-920,-17104,35,24,-28,0
S,178001,pre,0,1,1520,1530,-264,-976,-17088,34,18,-25,0
S,179001,pre,0,1,1520,1530,-304,-904,-17048,38,18,-27,0
S,180001,pre,0,1,1520,1530,-456,-968,-17144,39,22,-31,0
S,181001,pre,0,1,1520,1530,-304,-920,-17208,39,24,-29,0
S,182001,pre,0,1,1520,1530,-192,-1064,-17072,34,25,-35,0
S,183001,pre,0,1,1520,1530,-408,-784,-17152,37,19,-29,0
S,184001,pre,0,1,1520,1530,-280,-872,-17160,40,22,-24,0
S,185001,pre,0,1,1520,1530,-488,-984,-17064,39,21,-26,0
S,186001,pre,0,1,1520,1530,-392,-952,-17128,40,22,-33,0
S,187001,pre,0,1,1520,1530,-344,-864,-17088,38,22,-27,0
S,188001,pre,0,1,1520,1530,-304,-896,-17120,39,21,-32,0
S,189001,pre,0,1,1520,1530,-400,-936,-17064,38,25,-31,0
S,190001,pre,0,1,1520,1530,-480,-920,-17192,37,20,-36,0
S,191001,pre,0,1,1520,1530,-320,-920,-17032,37,22,-25,0
S,192001,pre,0,1,1520,1530,-368,-936,-17088,36,22,-30,0
S,193001,pre,0,1,1520,1530,-336,-928,-17072,38,24,-29,0
S,194001,pre,0,1,1520,1530,-480,-968,-17032,43,19,-32,0
S,195001,pre,0,1,1520,1530,-352,-944,-17080,37,25,-31,0
S,196001,pre,0,1,1520,1530,-272,-936,-17072,39,22,-33,0
S,197001,pre,0,1,1520,1530,-304,-912,-17144,36,18,-30,0
S,198001,pre,0,1,1520,1530,-320,-840,-17072,37,18,-27,0
S,199001,pre,0,1,1520,1530,-416,-920,-17024,36,21,-32,0
S,200044,post,0,1,1520,1530,-392,-1112,-17136,39,23,-28,0
S,201000,post,0,1,1520,1530,-456,-952,-17144,41,21,-27,0
S,202000,post,0,1,1520,1530,-352,-952,-17136,43,27,-29,0
S,203000,post,0,1,1520,1530,-344,-864,-17160,40,24,-23,0
S,204000,post,0,1,1520,1530,-296,-912,-17176,41,26,-29,0
S,205000,post,0,1,1520,1530,-496,-984,-17000,38,23,-29,0
S,206000,post,0,1,1520,1530,-416,-864,-17064,37,19,-29,0
S,207000,post,0,1,1520,1530,-184,-1080,-17104,39,20,-31,0
S,208000,post,0,1,1520,1530,-384,-1104,-16984,34,25,-31,0
S,209000,post,0,1,1520,1530,-392,-816,-17064,38,28,-30,0
S,210000,post,0,1,1520,1530,-232,-528,-17096,37,16,-22,0
S,211000,post,0,1,1520,1530,-352,-1168,-17040,37,19,-24,0
S,212000,post,0,1,1520,1530,-328,-1064,-17040,43,20,-31,0
S,213001,post,0,1,1520,1530,-328,-960,-16976,35,23,-30,0
S,214000,post,0,1,1520,1530,-128,-872,-16920,30,18,-31,0
S,215000,post,0,1,1520,1530,-880,1768,-17112,41,22,-10,0
S,216000,post,0,1,1520,1530,288,-3688,-17624,30,23,-15,0
S,217000,post,0,1,1520,1530,-56,-3240,-17392,40,31,-34,0
S,218000,post,0,1,1520,1530,-1264,-1712,-16992,55,29,-49,0
S,219000,post,0,1,1520,1530,-592,872,-17096,52,26,-26,0
S,220000,post,0,1,1520,1530,-344,1712,-16608,45,16,-24,0
S,221000,post,0,1,1520,1530,-176,-1240,-16792,57,19,-29,0
S,222000,post,0,1,1520,1530,568,-1432,-17064,55,25,-20,0
S,223000,post,0,1,1520,1530,312,-2312,-17384,52,24,-26,0
S,224000,post,0,1,1520,1530,-72,-1064,-17504,58,26,-36,0
S,225000,post,0,1,1520,1530,48,-520,-17672,63,31,-32,0
S,226000,post,0,1,1520,1530,-1008,-560,-17496,66,29,-27,0
S,227000,post,0,1,1520,1530,-1128,-1392,-17560,56,25,-29,0
S,228000,post,0,1,1520,1530,-568,32,-17048,64,25,-30,0
S,229000,post,0,1,1520,1530,-664,-480,-16728,63,25,-34,0
S,230000,post,0,1,1520,1530,-208,-1920,-16392,66,25,-30,0
S,231000,post,0,1,1520,1530,-416,-976,-16544,75,24,-29,0
S,232000,post,0,1,1520,1530,-16,-224,-16560,67,24,-25,0
S,233000,post,0,1,1520,1530,-400,720,-16720,64,29,-35,0
S,234000,post,0,1,1520,1530,320,-2496,-18144,57,32,-17,0
S,235000,post,0,1,1520,1530,432,-4896,-18256,70,35,-21,0
S,236000,post,0,1,1520,1530,-1208,-3832,-17392,95,31,-28,0
S,237000,post,0,1,1520,1530,-864,1176,-17096,92,32,-29,0
S,238000,post,0,1,1520,1530,-480,1640,-16472,78,32,-30,0
S,239000,post,0,1,1520,1530,-960,536,-16240,75,28,-34,0
S,240000,post,0,1,1520,1530,-72,984,-16856,71,19,-16,0
S,241000,post,0,1,1520,1530,240,-4552,-17232,77,20,-13,0
S,242000,post,0,1,1520,1530,-904,-1624,-17224,110,29,-14,0
S,243001,post,0,1,1520,1530,-128,880,-17296,99,33,-21,0
S,244000,post,0,1,1520,1530,-472,-576,-17240,93,24,-33,0
S,245000,post,0,1,1520,1530,-1672,-672,-17232,94,25,-38,0
S,246000,post,0,1,1520,1530,-528,736,-17152,102,12,-32,0
S,247000,post,0,1,1520,1530,80,-2392,-17280,106,18,-16,0
S,248000,post,0,1,1520,1530,304,304,-17000,106,20,-14,0
S,249000,post,0,1,1520,1530,592,-1240,-16936,101,33,-1,0
S,250001,post,0,1,1520,1530,-432,-2392,-16848,112,31,12,0
S,251000,post,0,1,1520,1530,-1760,-720,-17104,115,28,0,0
S,252000,post,0,1,1520,1530,-536,144,-17128,114,24,-21,0
S,253000,post,0,1,1520,1530,-544,-1976,-17080,116,25,-32,0
S,254000,post,0,1,1520,1530,-672,-736,-17208,121,22,-27,0
S,255000,post,0,1,1520,1530,560,-2304,-17192,120,23,-33,0
S,256000,post,0,1,1520,1530,320,-1008,-17120,125,26,-27,0
S,257001,post,0,1,1520,1530,-40,-688,-17088,122,33,-29,0
S,258000,post,0,1,1520,1530,128,-960,-16960,131,34,-34,0
S,259000,post,0,1,1520,1530,-1112,-648,-17040,120,29,-41,0
