rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,16489,zero,-1,0,1520,1520,,,,,,,0
S,1519754,zero,-1,0,1520,1520,-368,-992,-17096,41,23,-27,0
S,1524703,zero,-1,0,1520,1520,-336,-1096,-17144,37,22,-28,0
S,1529701,zero,-1,0,1520,1520,-312,-1024,-16960,31,23,-30,0
S,1534700,zero,-1,0,1520,1520,-344,-1048,-17136,44,21,-33,0
S,1539701,zero,-1,0,1520,1520,-360,-960,-17016,39,22,-24,0
S,1544700,zero,-1,0,1520,1520,-392,-920,-17008,40,19,-29,0
S,1549702,zero,-1,0,1520,1520,-504,-1024,-17072,40,22,-31,0
S,1554700,zero,-1,0,1520,1520,-280,-816,-17056,36,19,-34,0
S,1559701,zero,-1,0,1520,1520,-488,-936,-17152,37,26,-23,0
S,1564700,zero,-1,0,1520,1520,-336,-960,-17080,37,27,-27,0
S,1569701,zero,-1,0,1520,1520,-384,-1080,-17112,40,26,-27,0
S,1574700,zero,-1,0,1520,1520,-328,-872,-17120,39,24,-27,0
S,1579701,zero,-1,0,1520,1520,-440,-976,-17048,41,22,-31,0
S,1584700,zero,-1,0,1520,1520,-296,-1072,-17096,39,25,-32,0
S,1589701,zero,-1,0,1520,1520,-248,-928,-16976,43,24,-35,0
S,1594700,zero,-1,0,1520,1520,-400,-856,-16968,37,26,-26,0
S,1599701,zero,-1,0,1520,1520,-456,-944,-16952,39,25,-25,0
S,1604700,zero,-1,0,1520,1520,-432,-976,-17136,43,24,-31,0
S,1609701,zero,-1,0,1520,1520,-336,-1048,-17120,36,25,-29,0
S,1614700,zero,-1,0,1520,1520,-400,-808,-17104,35,22,-32,0
S,1619702,zero,-1,0,1520,1520,-424,-1056,-17136,45,20,-27,0
S,1624700,zero,-1,0,1520,1520,-528,-992,-17160,38,22,-30,0
S,1629701,zero,-1,0,1520,1520,-344,-976,-17072,37,26,-30,0
S,1634700,zero,-1,0,1520,1520,-384,-952,-17176,36,22,-28,0
S,1639701,zero,-1,0,1520,1520,-384,-992,-17120,39,20,-28,0
S,1644700,zero,-1,0,1520,1520,-472,-920,-17080,39,30,-28,0
S,1649701,zero,-1,0,1520,1520,-416,-968,-17144,33,21,-25,0
S,1654700,zero,-1,0,1520,1520,-312,-920,-17144,39,23,-28,0
S,1659701,zero,-1,0,1520,1520,-432,-1032,-17016,34,20,-29,0
S,1664700,zero,-1,0,1520,1520,-512,-944,-17024,38,23,-28,0
S,1669701,zero,-1,0,1520,1520,-496,-984,-17048,46,16,-29,0
S,1674700,zero,-1,0,1520,1520,-344,-808,-17176,33,19,-32,0
S,1679701,zero,-1,0,1520,1520,-416,-960,-17032,39,26,-26,0
S,1684700,zero,-1,0,1520,1520,-408,-976,-17128,37,26,-33,0
S,1689701,zero,-1,0,1520,1520,-272,-1000,-17056,35,20,-29,0
S,1694700,zero,-1,0,1520,1520,-424,-968,-17072,41,27,-24,0
S,1699701,zero,-1,0,1520,1520,-424,-864,-17008,33,20,-35,0
S,1704700,zero,-1,0,1520,1520,-376,-968,-17128,36,19,-25,0
S,1709701,zero,-1,0,1520,1520,-368,-920,-16960,36,21,-29,0
S,1714700,zero,-1,0,1520,1520,-352,-984,-17104,34,27,-29,0
S,1719702,zero,-1,0,1520,1520,-456,-1016,-17080,38,18,-29,0
S,1724700,zero,-1,0,1520,1520,-400,-976,-17264,34,22,-29,0
S,1729701,zero,-1,0,1520,1520,-392,-960,-17168,32,26,-25,0
S,1734700,zero,-1,0,1520,1520,-328,-1016,-17080,34,16,-27,0
S,1739701,zero,-1,0,1520,1520,-280,-1048,-17192,40,16,-32,0
S,1744700,zero,-1,0,1520,1520,-352,-952,-17120,36,20,-30,0
S,1749701,zero,-1,0,1520,1520,-400,-952,-17056,31,28,-24,0
S,1754700,zero,-1,0,1520,1520,-440,-960,-17008,40,26,-28,0
S,1759702,zero,-1,0,1520,1520,-352,-984,-17168,37,23,-31,0
S,1764700,zero,-1,0,1520,1520,-352,-944,-17160,40,25,-35,0
S,1769701,zero,-1,0,1520,1520,-376,-968,-17080,37,16,-27,0
S,1774700,zero,-1,0,1520,1520,-360,-1016,-17080,31,26,-32,0
S,1779701,zero,-1,0,1520,1520,-264,-864,-16960,36,29,-30,0
S,1784700,zero,-1,0,1520,1520,-368,-992,-17064,40,22,-34,0
S,1789702,zero,-1,0,1520,1520,-440,-1048,-17104,42,19,-28,0
S,1794700,zero,-1,0,1520,1520,-336,-968,-17072,43,24,-25,0
S,1799701,zero,-1,0,1520,1520,-352,-1040,-16984,39,22,-27,0
S,1804700,zero,-1,0,1520,1520,-320,-1032,-17264,35,24,-28,0
S,1809701,zero,-1,0,1520,1520,-344,-920,-17000,45,24,-33,0
S,1814700,zero,-1,0,1520,1520,-384,-984,-17160,35,22,-33,0
S,1819701,zero,-1,0,1520,1520,-432,-1056,-17128,38,12,-28,0
S,1824700,zero,-1,0,1520,1520,-368,-976,-17056,34,23,-29,0
S,1829701,zero,-1,0,1520,1520,-416,-960,-17032,37,21,-27,0
S,1834700,zero,-1,0,1520,1520,-416,-992,-17120,41,20,-29,0
S,1839702,zero,-1,0,1520,1520,-504,-1016,-17120,33,22,-28,0
S,1844700,zero,-1,0,1520,1520,-536,-1024,-16976,38,25,-38,0
S,1849701,zero,-1,0,1520,1520,-320,-936,-17056,41,26,-33,0
S,1854700,zero,-1,0,1520,1520,-432,-1040,-17056,42,25,-27,0
S,1859701,zero,-1,0,1520,1520,-328,-976,-17192,40,24,-30,0
S,1864700,zero,-1,0,1520,1520,-368,-984,-17120,44,19,-27,0
S,1869701,zero,-1,0,1520,1520,-440,-984,-17048,39,18,-27,0
S,1874700,zero,-1,0,1520,1520,-424,-1096,-17144,40,21,-28,0
S,1879701,zero,-1,0,1520,1520,-464,-888,-17008,35,25,-32,0
S,1884700,zero,-1,0,1520,1520,-472,-928,-17104,34,24,-29,0
S,1889701,zero,-1,0,1520,1520,-352,-856,-17032,37,21,-37,0
S,1894700,zero,-1,0,1520,1520,-304,-1040,-17048,39,25,-33,0
S,1899701,zero,-1,0,1520,1520,-320,-936,-17096,38,23,-26,0
S,1904700,zero,-1,0,1520,1520,-360,-992,-17096,40,22,-32,0
S,1909702,zero,-1,0,1520,1520,-336,-960,-17104,40,25,-30,0
