# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,16485,arm,0,0,1520,1520,,,,,,,0
E,200006,cmd,0,0,1527,1520,,,,,,,0
#META step seq=0 from_us=1520 to_us=1527 amp_us=7 t_cmd_us=200006 n_pre=200
S,7,pre,0,0,1527,1520,-312,-920,-17056,39,18,-27,0
S,1001,pre,0,0,1527,1520,-200,-840,-17000,42,28,-28,0
S,2001,pre,0,0,1527,1520,-376,-1056,-17184,41,22,-30,0
S,3001,pre,0,0,1527,1520,-408,-904,-17160,38,20,-29,0
S,4001,pre,0,0,1527,1520,-352,-896,-17136,37,24,-27,0
S,5001,pre,0,0,1527,1520,-360,-936,-17088,35,24,-24,0
S,6001,pre,0,0,1527,1520,-408,-824,-17080,33,22,-23,0
S,7001,pre,0,0,1527,1520,-400,-904,-17008,37,20,-28,0
S,8001,pre,0,0,1527,1520,-280,-816,-16984,31,23,-31,0
S,9001,pre,0,0,1527,1520,-376,-960,-17048,37,24,-30,0
S,10001,pre,0,0,1527,1520,-496,-832,-17136,42,26,-25,0
S,11001,pre,0,0,1527,1520,-344,-888,-17144,37,19,-29,0
S,12001,pre,0,0,1527,1520,-488,-848,-17080,43,25,-29,0
S,13001,pre,0,0,1527,1520,-456,-912,-17184,35,25,-34,0
S,14001,pre,0,0,1527,1520,-232,-952,-17016,39,22,-34,0
S,15001,pre,0,0,1527,1520,-368,-840,-17024,41,20,-25,0
S,16001,pre,0,0,1527,1520,-456,-976,-17104,37,20,-19,0
S,17001,pre,0,0,1527,1520,-328,-1040,-17048,39,17,-30,0
S,18001,pre,0,0,1527,1520,-264,-952,-17200,38,22,-33,0
S,19001,pre,0,0,1527,1520,-408,-928,-17056,40,19,-30,0
S,20001,pre,0,0,1527,1520,-336,-912,-17096,44,25,-31,0
S,21001,pre,0,0,1527,1520,-368,-960,-16984,42,23,-32,0
S,22001,pre,0,0,1527,1520,-456,-1008,-17024,40,23,-32,0
S,23001,pre,0,0,1527,1520,-328,-872,-17152,36,21,-33,0
S,24001,pre,0,0,1527,1520,-312,-984,-17080,35,21,-34,0
S,25001,pre,0,0,1527,1520,-352,-960,-17048,35,24,-29,0
S,26001,pre,0,0,1527,1520,-264,-912,-17104,38,22,-27,0
S,27001,pre,0,0,1527,1520,-336,-1064,-17080,40,22,-29,0
S,28001,pre,0,0,1527,1520,-344,-1056,-17200,43,24,-26,0
S,29001,pre,0,0,1527,1520,-376,-920,-17184,38,27,-30,0
S,30001,pre,0,0,1527,1520,-272,-928,-17072,39,21,-28,0
S,31001,pre,0,0,1527,1520,-344,-944,-17112,39,24,-30,0
S,32001,pre,0,0,1527,1520,-416,-848,-17048,41,22,-30,0
S,33001,pre,0,0,1527,1520,-392,-888,-17088,38,26,-28,0
S,34001,pre,0,0,1527,1520,-360,-840,-17072,40,21,-28,0
S,35001,pre,0,0,1527,1520,-328,-968,-17048,37,25,-31,0
S,36001,pre,0,0,1527,1520,-416,-960,-17000,37,27,-32,0
S,37001,pre,0,0,1527,1520,-408,-976,-17200,36,24,-34,0
S,38001,pre,0,0,1527,1520,-440,-856,-17080,37,30,-26,0
S,39001,pre,0,0,1527,1520,-416,-912,-17000,31,27,-32,0
S,40001,pre,0,0,1527,1520,-304,-888,-17072,38,29,-26,0
S,41001,pre,0,0,1527,1520,-304,-1016,-17176,39,26,-32,0
S,42001,pre,0,0,1527,1520,-440,-984,-17072,39,21,-28,0
S,43001,pre,0,0,1527,1520,-344,-904,-17128,39,23,-32,0
S,44001,pre,0,0,1527,1520,-344,-928,-17112,37,22,-28,0
S,45001,pre,0,0,1527,1520,-376,-1016,-17040,43,24,-29,0
S,46001,pre,0,0,1527,1520,-376,-904,-17152,40,20,-27,0
S,47001,pre,0,0,1527,1520,-304,-968,-17112,43,23,-30,0
S,48001,pre,0,0,1527,1520,-384,-936,-17040,40,22,-27,0
S,49001,pre,0,0,1527,1520,-360,-1072,-17072,38,22,-28,0
S,50001,pre,0,0,1527,1520,-376,-904,-17152,44,24,-29,0
S,51001,pre,0,0,1527,1520,-360,-856,-17064,42,26,-32,0
S,52001,pre,0,0,1527,1520,-408,-888,-16904,39,25,-34,0
S,53001,pre,0,0,1527,1520,-352,-976,-17120,36,26,-34,0
