seq,kind,amp_us,A_final_deg,A_fit_deg,td_ms,td_se_ms,tau_ms,wn_rad_s,zeta,overshoot_pct,td_threshold_ms,slew_dps,slew_per_deg,resid_pct_of_amp,settled,drift_slope_dps_s,pre_noise_sd_dps
0,2nd,0,0.1829487017857804,0.18503584348453442,38.83737022096734,0.251694147312261,,61.574784844930065,0.22727789678167992,61.090883044416756,20.993000000000013,6.233744168453392,34.07372726674307,4.24880331321387,YES,-0.004103798398994906,0.18638079308543565
1,2nd,0,-0.25158474130916636,-0.2568049695231557,40.456510729309755,0.4074163437453645,,67.26874501756302,0.5214391887328921,27.380442531604388,21.993000000000013,8.445157994027063,33.567846563671424,3.6432099395751467,YES,0.007842254389378342,0.18899081886923944
2,2nd,0,0.6573642532284103,0.6594454507878729,25.89260631068749,0.19154302306828744,,66.35622318528014,0.39237061864387646,24.61219418035073,15.994000000000009,22.75628075102361,34.61746001438966,2.190434076184497,YES,-0.0032597921350941213,0.19595780444858552
3,2nd,0,-0.6128349210275807,-0.6126519394088723,22.739141823281702,0.1330162871687019,,70.85165452628058,0.7180399852737701,5.4031187052801455,14.993000000000006,18.43885442668715,30.087799820169366,0.8411843778038912,YES,0.005865930099299928,0.18907391435004126
4,2nd,0,2.3789221224000134,2.374056523595791,24.672778530565793,0.17023344791292672,,51.18072646363518,0.5601913483564787,14.895524669565175,14.993000000000006,56.72385884152756,23.844352998113614,1.204132112041839,YES,0.012813934018717906,0.1707044391618837
5,2nd,0,-2.197901877225353,-2.1927463610951703,27.158539755417898,0.14975413137136226,,48.38079049821046,0.6615020740812972,8.39448164632567,13.993000000000006,48.63821434112033,22.129383866090308,0.8578291586837229,YES,-0.008649481798819601,0.1900670036430162
6,2nd,0,3.967924884374327,3.9511055235006034,25.46349615540557,0.10780465437880085,,54.488517674084804,0.30312894890232117,35.11144127840604,13.993000000000006,129.46419407574285,32.62768269267706,1.3708356305592149,YES,0.023740236799677458,0.19818664062526023
7,2nd,0,-4.628229408846525,-4.594937302112834,28.30007913648338,0.2838969655784785,,59.922455610834696,0.36417706332272604,21.593069350682466,8.993,125.24011085685946,27.060048194126264,3.254800171022732,YES,-0.015387009269776018,0.19987171940905105
8,2nd,0,8.02734236018235,7.970658950709499,29.24338590761038,0.2142875275236868,,63.1957326784268,0.27860674580026823,25.589571556078617,11.993000000000004,265.8562085262744,33.11883268427524,3.1191777304008856,YES,0.02116910372378179,0.19574751523422296
9,2nd,0,-8.017044993222264,-7.914993076713332,31.117197208700244,0.3050404358667423,,71.21536173214896,0.2918824458603432,21.02505268545441,7.993,254.12146071091752,31.697646816970067,4.526876222798111,YES,-0.0074916712767796306,0.18780495006105144
