rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,509662,pre,-1,1,inner,1520,1520,-320,-528,-17048,31,24,-32,0,0,1
S,510819,pre,-1,1,inner,1520,1520,-272,-520,-16912,29,24,-30,0,1,158
S,511746,pre,-1,1,inner,1520,1520,-400,-528,-16928,31,21,-21,0,2,85
S,512665,pre,-1,1,inner,1520,1520,-360,-440,-17008,35,22,-27,0,3,4
S,513669,pre,-1,1,inner,1520,1520,-328,-424,-17088,32,20,-23,0,4,8
S,514669,pre,-1,1,inner,1520,1520,-392,-472,-17040,29,17,-27,0,5,8
S,515669,pre,-1,1,inner,1520,1520,-336,-488,-17120,32,22,-28,0,6,8
S,516669,pre,-1,1,inner,1520,1520,-312,-672,-17096,30,18,-29,0,7,8
S,517669,pre,-1,1,inner,1520,1520,-208,-536,-17040,32,19,-28,0,8,8
S,518669,pre,-1,1,inner,1520,1520,-352,-552,-17032,36,17,-28,0,9,8
S,519669,pre,-1,1,inner,1520,1520,-256,-488,-17088,33,23,-28,0,10,8
S,520669,pre,-1,1,inner,1520,1520,-360,-576,-17104,33,21,-27,0,11,8
S,521669,pre,-1,1,inner,1520,1520,-352,-576,-17040,36,18,-27,0,12,8
S,522669,pre,-1,1,inner,1520,1520,-200,-648,-17144,29,26,-27,0,13,8
S,523669,pre,-1,1,inner,1520,1520,-352,-640,-17088,32,23,-29,0,14,8
S,524669,pre,-1,1,inner,1520,1520,-352,-544,-17064,33,19,-25,0,15,8
S,525669,pre,-1,1,inner,1520,1520,-312,-592,-17112,34,19,-26,0,16,8
S,526669,pre,-1,1,inner,1520,1520,-208,-600,-17136,32,19,-27,0,17,8
S,527669,pre,-1,1,inner,1520,1520,-232,-536,-17096,32,17,-25,0,18,8
S,528669,pre,-1,1,inner,1520,1520,-208,-504,-17024,33,19,-24,0,19,8
S,529669,pre,-1,1,inner,1520,1520,-288,-552,-17168,29,22,-29,0,20,8
S,530669,pre,-1,1,inner,1520,1520,-352,-624,-17072,32,19,-28,0,21,8
S,531669,pre,-1,1,inner,1520,1520,-328,-576,-16992,39,18,-28,0,22,8
S,532669,pre,-1,1,inner,1520,1520,-240,-512,-17152,36,20,-32,0,23,8
S,533669,pre,-1,1,inner,1520,1520,-296,-576,-17000,37,21,-33,0,24,8
S,534669,pre,-1,1,inner,1520,1520,-240,-640,-17112,34,24,-28,0,25,8
S,535669,pre,-1,1,inner,1520,1520,-232,-680,-17048,33,23,-24,0,26,8
S,536669,pre,-1,1,inner,1520,1520,-304,-656,-17104,33,18,-23,0,27,8
S,537669,pre,-1,1,inner,1520,1520,-376,-536,-17120,38,15,-28,0,28,8
S,538669,pre,-1,1,inner,1520,1520,-296,-616,-17112,29,17,-26,0,29,8
S,539669,pre,-1,1,inner,1520,1520,-232,-512,-17000,28,19,-22,0,30,8
S,540669,pre,-1,1,inner,1520,1520,-304,-560,-17056,32,17,-26,0,31,8
S,541669,pre,-1,1,inner,1520,1520,-408,-648,-17080,37,16,-29,0,32,8
S,542669,pre,-1,1,inner,1520,1520,-216,-584,-17056,32,19,-27,0,33,8
S,543669,pre,-1,1,inner,1520,1520,-384,-552,-17048,31,16,-32,0,34,8
S,544669,pre,-1,1,inner,1520,1520,-448,-576,-17032,37,15,-29,0,35,8
S,545669,pre,-1,1,inner,1520,1520,-416,-616,-17048,33,20,-31,0,36,8
S,546669,pre,-1,1,inner,1520,1520,-232,-656,-17152,31,20,-28,0,37,8
S,547669,pre,-1,1,inner,1520,1520,-352,-496,-17080,38,17,-25,0,38,8
S,548669,pre,-1,1,inner,1520,1520,-336,-672,-17072,36,20,-23,0,39,8
S,549669,pre,-1,1,inner,1520,1520,-368,-552,-17088,35,19,-31,0,40,8
S,550669,pre,-1,1,inner,1520,1520,-280,-488,-17000,35,20,-27,0,41,8
S,551669,pre,-1,1,inner,1520,1520,-392,-552,-17008,42,17,-26,0,42,8
S,552669,pre,-1,1,inner,1520,1520,-408,-672,-17024,35,15,-29,0,43,8
S,553669,pre,-1,1,inner,1520,1520,-360,-640,-17072,36,18,-24,0,44,8
S,554669,pre,-1,1,inner,1520,1520,-200,-528,-17096,37,19,-24,0,45,8
S,555669,pre,-1,1,inner,1520,1520,-416,-592,-17104,35,23,-29,0,46,8
S,556669,pre,-1,1,inner,1520,1520,-264,-528,-17168,34,20,-28,0,47,8
S,557669,pre,-1,1,inner,1520,1520,-224,-600,-17096,38,15,-26,0,48,8
S,558669,pre,-1,1,inner,1520,1520,-256,-512,-17096,26,17,-25,0,49,8
S,559669,pre,-1,1,inner,1520,1520,-304,-680,-17040,31,17,-28,0,50,8
S,560669,pre,-1,1,inner,1520,1520,-280,-584,-17048,36,17,-30,0,51,8
S,561669,pre,-1,1,inner,1520,1520,-432,-536,-17088,33,18,-32,0,52,8
S,562669,pre,-1,1,inner,1520,1520,-320,-560,-17112,30,20,-32,0,53,8
S,563669,pre,-1,1,inner,1520,1520,-264,-584,-17128,30,20,-28,0,54,8
S,564669,pre,-1,1,inner,1520,1520,-288,-656,-16960,38,14,-22,0,55,8
S,565669,pre,-1,1,inner,1520,1520,-240,-568,-17008,36,20,-23,0,56,8
S,566669,pre,-1,1,inner,1520,1520,-192,-680,-17048,28,18,-33,0,57,8
S,567669,pre,-1,1,inner,1520,1520,-256,-496,-17064,33,17,-28,0,58,8
S,568669,pre,-1,1,inner,1520,1520,-400,-584,-17088,29,20,-21,0,59,8
S,569669,pre,-1,1,inner,1520,1520,-328,-624,-17072,31,18,-24,0,60,8
S,570669,pre,-1,1,inner,1520,1520,-152,-672,-17072,29,18,-29,0,61,8
S,571669,pre,-1,1,inner,1520,1520,-392,-656,-17104,36,19,-23,0,62,8
S,572669,pre,-1,1,inner,1520,1520,-368,-648,-17144,34,21,-28,0,63,8
S,573669,pre,-1,1,inner,1520,1520,-384,-520,-16976,33,18,-32,0,64,8
S,574669,pre,-1,1,inner,1520,1520,-328,-560,-17000,29,19,-25,0,65,8
S,575669,pre,-1,1,inner,1520,1520,-160,-624,-17064,33,23,-23,0,66,8
S,576669,pre,-1,1,inner,1520,1520,-232,-504,-17000,38,19,-25,0,67,8
S,577669,pre,-1,1,inner,1520,1520,-240,-488,-16968,34,25,-30,0,68,8
S,578669,pre,-1,1,inner,1520,1520,-224,-688,-16968,37,23,-30,0,69,8
S,579669,pre,-1,1,inner,1520,1520,-320,-608,-17056,34,18,-28,0,70,8
S,580669,pre,-1,1,inner,1520,1520,-288,-608,-16944,39,20,-26,0,71,8
