rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,509675,pre,-1,0,outer,1520,1520,-272,-576,-17112,33,23,-28,0,0,1
S,510816,pre,-1,0,outer,1520,1520,-224,-632,-16984,31,19,-27,0,1,142
S,511751,pre,-1,0,outer,1520,1520,-384,-504,-17056,30,24,-26,0,2,77
S,512681,pre,-1,0,outer,1520,1520,-336,-536,-16976,36,26,-23,0,3,7
S,513682,pre,-1,0,outer,1520,1520,-352,-592,-17056,36,22,-24,0,4,8
S,514682,pre,-1,0,outer,1520,1520,-384,-688,-17000,33,20,-24,0,5,8
S,515682,pre,-1,0,outer,1520,1520,-240,-600,-17128,33,20,-25,0,6,8
S,516682,pre,-1,0,outer,1520,1520,-320,-584,-17040,40,17,-25,0,7,8
S,517682,pre,-1,0,outer,1520,1520,-240,-640,-17000,34,15,-19,0,8,8
S,518682,pre,-1,0,outer,1520,1520,-368,-544,-17088,30,19,-26,0,9,8
S,519682,pre,-1,0,outer,1520,1520,-264,-616,-17136,36,20,-23,0,10,8
S,520682,pre,-1,0,outer,1520,1520,-336,-464,-17160,32,19,-24,0,11,8
S,521682,pre,-1,0,outer,1520,1520,-320,-592,-17152,36,16,-27,0,12,8
S,522682,pre,-1,0,outer,1520,1520,-288,-640,-17048,37,18,-29,0,13,8
S,523682,pre,-1,0,outer,1520,1520,-184,-544,-17136,44,11,-29,0,14,8
S,524682,pre,-1,0,outer,1520,1520,-304,-640,-17056,31,18,-25,0,15,8
S,525682,pre,-1,0,outer,1520,1520,-384,-640,-16976,34,23,-26,0,16,8
S,526682,pre,-1,0,outer,1520,1520,-160,-544,-17104,32,19,-26,0,17,8
S,527682,pre,-1,0,outer,1520,1520,-376,-488,-17192,33,15,-23,0,18,8
S,528682,pre,-1,0,outer,1520,1520,-256,-584,-17128,34,22,-33,0,19,8
S,529682,pre,-1,0,outer,1520,1520,-336,-688,-17040,36,21,-30,0,20,8
S,530682,pre,-1,0,outer,1520,1520,-328,-472,-17064,32,24,-26,0,21,8
S,531682,pre,-1,0,outer,1520,1520,-208,-464,-17112,32,19,-29,0,22,8
S,532682,pre,-1,0,outer,1520,1520,-296,-600,-17024,26,21,-22,0,23,8
