rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
E,9644,zero,-1,1,inner,1520,1520,,,,,,,0,0,0
S,509811,zero,-1,1,inner,1520,1520,-448,-1416,-16976,33,14,-26,2,1,5
S,510932,zero,-1,1,inner,1520,1520,-336,-1512,-17016,31,19,-29,0,2,126
S,511851,zero,-1,1,inner,1520,1520,-472,-1408,-17040,32,18,-23,0,3,45
S,512813,zero,-1,1,inner,1520,1520,-384,-1344,-17104,30,20,-24,0,4,7
S,513814,zero,-1,1,inner,1520,1520,-432,-1320,-17064,34,20,-22,0,5,8
S,514814,zero,-1,1,inner,1520,1520,-376,-1376,-16976,32,22,-25,0,6,8
S,515814,zero,-1,1,inner,1520,1520,-432,-1536,-17096,28,21,-28,0,7,8
S,516814,zero,-1,1,inner,1520,1520,-552,-1432,-16968,32,23,-30,0,8,8
S,517814,zero,-1,1,inner,1520,1520,-536,-1480,-17008,35,18,-22,0,9,8
S,518814,zero,-1,1,inner,1520,1520,-384,-1392,-16960,34,22,-25,0,10,8
S,519813,zero,-1,1,inner,1520,1520,-400,-1328,-17008,29,26,-28,0,11,7
S,520814,zero,-1,1,inner,1520,1520,-504,-1352,-16992,34,19,-24,0,12,8
S,521814,zero,-1,1,inner,1520,1520,-400,-1368,-16976,30,20,-21,0,13,8
S,522814,zero,-1,1,inner,1520,1520,-304,-1472,-17048,29,16,-26,0,14,8
S,523814,zero,-1,1,inner,1520,1520,-464,-1480,-17104,28,21,-25,0,15,8
S,524814,zero,-1,1,inner,1520,1520,-488,-1488,-17128,26,19,-21,0,16,8
S,525814,zero,-1,1,inner,1520,1520,-408,-1376,-17160,37,23,-31,0,17,8
S,526814,zero,-1,1,inner,1520,1520,-464,-1408,-17040,34,19,-25,0,18,8
S,527814,zero,-1,1,inner,1520,1520,-504,-1520,-17096,30,21,-33,0,19,8
S,528814,zero,-1,1,inner,1520,1520,-512,-1432,-17016,29,21,-27,0,20,8
S,529814,zero,-1,1,inner,1520,1520,-496,-1544,-16984,34,25,-27,0,21,8
S,530814,zero,-1,1,inner,1520,1520,-408,-1416,-17024,28,20,-26,0,22,8
S,531813,zero,-1,1,inner,1520,1520,-504,-1344,-17000,29,18,-23,0,23,7
S,532814,zero,-1,1,inner,1520,1520,-432,-1424,-17072,32,24,-22,0,24,8
S,533813,zero,-1,1,inner,1520,1520,-568,-1392,-17048,30,27,-20,0,25,7
S,534814,zero,-1,1,inner,1520,1520,-312,-1528,-17048,32,23,-21,0,26,8
S,535813,zero,-1,1,inner,1520,1520,-448,-1392,-17072,32,25,-21,0,27,7
S,536814,zero,-1,1,inner,1520,1520,-480,-1480,-17080,32,27,-22,0,28,8
S,537814,zero,-1,1,inner,1520,1520,-456,-1472,-17016,28,18,-20,0,29,8
S,538814,zero,-1,1,inner,1520,1520,-432,-1592,-17120,34,20,-23,0,30,8
S,539814,zero,-1,1,inner,1520,1520,-464,-1520,-16984,32,20,-27,0,31,8
S,540814,zero,-1,1,inner,1520,1520,-424,-1392,-17032,34,17,-24,0,32,8
S,541814,zero,-1,1,inner,1520,1520,-464,-1488,-17080,32,16,-25,0,33,8
S,542814,zero,-1,1,inner,1520,1520,-552,-1504,-17104,35,21,-26,0,34,8
S,543814,zero,-1,1,inner,1520,1520,-408,-1400,-16968,35,20,-26,0,35,8
S,544814,zero,-1,1,inner,1520,1520,-456,-1360,-17032,39,15,-25,0,36,8
S,545814,zero,-1,1,inner,1520,1520,-400,-1472,-16960,34,18,-27,0,37,8
S,546814,zero,-1,1,inner,1520,1520,-312,-1344,-17016,29,21,-26,0,38,8
S,547814,zero,-1,1,inner,1520,1520,-664,-1408,-16960,31,22,-29,0,39,8
S,548813,zero,-1,1,inner,1520,1520,-384,-1432,-17080,35,20,-28,0,40,7
S,549814,zero,-1,1,inner,1520,1520,-576,-1400,-17032,37,18,-29,0,41,8
S,550814,zero,-1,1,inner,1520,1520,-400,-1416,-16984,34,22,-28,0,42,8
S,551814,zero,-1,1,inner,1520,1520,-424,-1456,-16992,36,23,-30,0,43,8
S,552814,zero,-1,1,inner,1520,1520,-480,-1392,-17040,40,21,-32,0,44,8
S,553814,zero,-1,1,inner,1520,1520,-304,-1456,-16944,37,20,-22,0,45,8
S,554814,zero,-1,1,inner,1520,1520,-424,-1512,-17016,34,22,-25,0,46,8
S,555814,zero,-1,1,inner,1520,1520,-424,-1448,-17032,41,17,-28,0,47,8
S,556814,zero,-1,1,inner,1520,1520,-408,-1544,-17024,38,18,-25,0,48,8
S,557814,zero,-1,1,inner,1520,1520,-472,-1416,-17072,35,22,-25,0,49,8
S,558814,zero,-1,1,inner,1520,1520,-544,-1456,-17080,36,13,-19,0,50,8
S,559814,zero,-1,1,inner,1520,1520,-520,-1528,-17128,36,16,-22,0,51,8
S,560814,zero,-1,1,inner,1520,1520,-456,-1512,-17072,32,15,-29,0,52,8
S,561814,zero,-1,1,inner,1520,1520,-400,-1456,-17000,32,23,-25,0,53,8
S,562814,zero,-1,1,inner,1520,1520,-528,-1408,-17120,28,20,-26,0,54,8
S,563814,zero,-1,1,inner,1520,1520,-408,-1456,-17040,31,16,-28,0,55,8
S,564814,zero,-1,1,inner,1520,1520,-520,-1456,-17144,36,16,-26,0,56,8
S,565814,zero,-1,1,inner,1520,1520,-504,-1440,-17024,32,24,-27,0,57,8
S,566814,zero,-1,1,inner,1520,1520,-424,-1504,-17040,29,23,-22,0,58,8
S,567814,zero,-1,1,inner,1520,1520,-472,-1328,-16960,30,26,-28,0,59,8
S,568814,zero,-1,1,inner,1520,1520,-384,-1504,-17000,33,19,-25,0,60,8
S,569814,zero,-1,1,inner,1520,1520,-496,-1416,-17192,34,18,-27,0,61,8
S,570813,zero,-1,1,inner,1520,1520,-400,-1528,-17080,32,23,-23,0,62,7
S,571814,zero,-1,1,inner,1520,1520,-416,-1360,-17104,31,19,-24,0,63,8
S,572814,zero,-1,1,inner,1520,1520,-536,-1384,-17000,37,16,-31,0,64,8
S,573814,zero,-1,1,inner,1520,1520,-576,-1480,-17064,32,15,-26,0,65,8
S,574814,zero,-1,1,inner,1520,1520,-528,-1504,-17000,31,20,-22,0,66,8
S,575814,zero,-1,1,inner,1520,1520,-416,-1384,-16952,36,20,-29,0,67,8
S,576814,zero,-1,1,inner,1520,1520,-384,-1392,-16960,34,19,-25,0,68,8
S,577814,zero,-1,1,inner,1520,1520,-424,-1552,-16896,31,19,-27,0,69,8
S,578814,zero,-1,1,inner,1520,1520,-504,-1312,-16936,33,16,-32,0,70,8
S,579814,zero,-1,1,inner,1520,1520,-448,-1352,-17168,32,20,-27,0,71,8
S,580814,zero,-1,1,inner,1520,1520,-384,-1344,-17096,29,14,-26,0,72,8
S,581814,zero,-1,1,inner,1520,1520,-432,-1496,-17104,33,14,-30,0,73,8
S,582814,zero,-1,1,inner,1520,1520,-440,-1416,-17096,34,23,-27,0,74,8
S,583814,zero,-1,1,inner,1520,1520,-376,-1392,-17168,33,20,-23,0,75,8
