rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
E,9727,zero,-1,0,outer,1520,1520,,,,,,,0,0,0
S,509633,zero,-1,0,outer,1520,1520,-688,-1464,-17048,32,20,-27,2,1,5
S,510774,zero,-1,0,outer,1520,1520,-752,-1528,-17056,28,19,-20,0,2,146
S,511692,zero,-1,0,outer,1520,1520,-736,-1440,-16968,33,22,-23,0,3,64
S,512629,zero,-1,0,outer,1520,1520,-568,-1352,-16992,31,19,-29,0,4,1
S,513631,zero,-1,0,outer,1520,1520,-752,-1304,-16936,33,14,-32,0,5,3
S,514632,zero,-1,0,outer,1520,1520,-688,-1408,-16880,36,21,-24,0,6,4
S,515632,zero,-1,0,outer,1520,1520,-584,-1432,-16960,30,18,-23,0,7,4
S,516632,zero,-1,0,outer,1520,1520,-672,-1440,-16984,33,14,-25,0,8,4
S,517632,zero,-1,0,outer,1520,1520,-752,-1352,-17048,36,14,-31,0,9,4
S,518632,zero,-1,0,outer,1520,1520,-696,-1384,-17024,34,13,-25,0,10,4
S,519632,zero,-1,0,outer,1520,1520,-832,-1320,-16912,35,16,-26,0,11,4
S,520632,zero,-1,0,outer,1520,1520,-736,-1488,-17016,34,20,-26,0,12,4
S,521631,zero,-1,0,outer,1520,1520,-760,-1344,-16920,35,18,-24,0,13,3
S,522631,zero,-1,0,outer,1520,1520,-712,-1424,-17008,42,17,-24,0,14,3
S,523632,zero,-1,0,outer,1520,1520,-656,-1408,-16936,36,14,-23,0,15,4
S,524632,zero,-1,0,outer,1520,1520,-712,-1368,-17016,33,20,-31,0,16,4
S,525632,zero,-1,0,outer,1520,1520,-720,-1328,-16920,32,20,-27,0,17,4
S,526632,zero,-1,0,outer,1520,1520,-704,-1528,-16904,33,19,-28,0,18,4
S,527632,zero,-1,0,outer,1520,1520,-720,-1480,-17032,28,14,-29,0,19,4
S,528632,zero,-1,0,outer,1520,1520,-584,-1528,-17000,27,19,-24,0,20,4
S,529632,zero,-1,0,outer,1520,1520,-712,-1328,-16992,30,19,-29,0,21,4
S,530631,zero,-1,0,outer,1520,1520,-816,-1424,-17056,36,19,-24,0,22,3
S,531632,zero,-1,0,outer,1520,1520,-792,-1384,-17000,30,25,-24,0,23,4
S,532632,zero,-1,0,outer,1520,1520,-616,-1448,-16848,37,25,-30,0,24,4
S,533632,zero,-1,0,outer,1520,1520,-624,-1448,-17056,35,21,-28,0,25,4
S,534632,zero,-1,0,outer,1520,1520,-824,-1416,-17016,34,18,-24,0,26,4
S,535632,zero,-1,0,outer,1520,1520,-728,-1408,-16880,34,22,-29,0,27,4
S,536632,zero,-1,0,outer,1520,1520,-704,-1416,-16976,31,19,-31,0,28,4
S,537632,zero,-1,0,outer,1520,1520,-728,-1480,-17104,34,19,-26,0,29,4
S,538632,zero,-1,0,outer,1520,1520,-736,-1400,-17112,42,21,-27,0,30,4
S,539632,zero,-1,0,outer,1520,1520,-688,-1344,-17088,32,24,-25,0,31,4
S,540632,zero,-1,0,outer,1520,1520,-744,-1264,-16960,36,24,-23,0,32,4
S,541631,zero,-1,0,outer,1520,1520,-832,-1424,-17192,35,23,-25,0,33,3
S,542632,zero,-1,0,outer,1520,1520,-720,-1464,-17080,36,23,-27,0,34,4
