rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,7917,health,0,-1,none,1520,1520,-256,-776,-16968,35,17,-27,0,0,5
S,9021,health,0,-1,none,1520,1520,-232,-512,-17072,32,20,-32,0,1,109
S,9939,health,0,-1,none,1520,1520,-312,-568,-17184,33,18,-21,0,2,27
S,10922,health,0,-1,none,1520,1520,-136,-640,-17056,32,20,-20,0,3,10
S,11915,health,0,-1,none,1520,1520,-208,-648,-17056,33,23,-26,0,4,3
S,12920,health,0,-1,none,1520,1520,-200,-600,-17080,33,20,-27,0,5,8
S,13913,health,0,-1,none,1520,1520,-296,-584,-17120,29,17,-29,0,6,1
S,14919,health,0,-1,none,1520,1520,-336,-616,-17144,30,15,-29,0,7,7
S,15923,health,0,-1,none,1520,1520,-136,-616,-17016,35,17,-23,0,8,11
S,16916,health,0,-1,none,1520,1520,-256,-688,-17072,37,19,-25,0,9,4
S,17920,health,0,-1,none,1520,1520,-272,-640,-17024,39,16,-26,0,10,8
S,18913,health,0,-1,none,1520,1520,-208,-640,-17048,33,18,-24,0,11,1
S,19919,health,0,-1,none,1520,1520,-280,-608,-17128,30,22,-24,0,12,7
S,20923,health,0,-1,none,1520,1520,-272,-616,-17056,35,18,-24,0,13,11
S,21916,health,0,-1,none,1520,1520,-200,-424,-17136,37,23,-27,0,14,4
S,22920,health,0,-1,none,1520,1520,-264,-496,-16976,32,19,-28,0,15,8
S,23913,health,0,-1,none,1520,1520,-200,-600,-16992,35,19,-30,0,16,1
S,24919,health,0,-1,none,1520,1520,-184,-632,-17144,36,19,-31,0,17,7
S,25912,health,0,-1,none,1520,1520,-256,-632,-17032,34,18,-28,0,18,0
S,26918,health,0,-1,none,1520,1520,-240,-560,-17056,35,16,-26,0,19,6
S,27922,health,0,-1,none,1520,1520,-232,-552,-17096,33,20,-25,0,20,10
S,28915,health,0,-1,none,1520,1520,-320,-560,-17032,27,21,-26,0,21,3
S,29920,health,0,-1,none,1520,1520,-224,-464,-17152,23,22,-28,0,22,8
S,30913,health,0,-1,none,1520,1520,-392,-712,-17040,29,18,-25,0,23,1
S,31919,health,0,-1,none,1520,1520,-232,-568,-17160,35,20,-27,0,24,7
S,32923,health,0,-1,none,1520,1520,-240,-664,-17008,34,21,-29,0,25,11
S,33916,health,0,-1,none,1520,1520,-384,-584,-17008,35,23,-25,0,26,4
S,34920,health,0,-1,none,1520,1520,-360,-624,-17104,34,20,-22,0,27,8
S,35913,health,0,-1,none,1520,1520,-232,-560,-17024,36,18,-23,0,28,1
