rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,7966,health,0,-1,none,1520,1520,-192,-584,-17032,31,22,-23,0,0,6
S,9106,health,0,-1,none,1520,1520,-200,-720,-17048,35,20,-26,0,1,146
S,10022,health,0,-1,none,1520,1520,-288,-536,-17112,36,23,-27,0,2,62
S,10970,health,0,-1,none,1520,1520,-216,-528,-17096,31,17,-25,0,3,10
S,11970,health,0,-1,none,1520,1520,-136,-696,-17016,28,21,-24,0,4,10
S,12969,health,0,-1,none,1520,1520,-320,-728,-17032,30,26,-26,0,5,9
S,13968,health,0,-1,none,1520,1520,-224,-664,-17136,30,22,-28,0,6,8
S,14967,health,0,-1,none,1520,1520,-192,-600,-17000,37,19,-24,0,7,7
S,15966,health,0,-1,none,1520,1520,-264,-512,-17048,34,19,-30,0,8,6
S,16965,health,0,-1,none,1520,1520,-288,-600,-17048,38,12,-28,0,9,5
S,17964,health,0,-1,none,1520,1520,-320,-648,-17064,35,18,-29,0,10,4
S,18963,health,0,-1,none,1520,1520,-304,-704,-17112,34,20,-20,0,11,3
S,19962,health,0,-1,none,1520,1520,-272,-632,-17128,29,17,-28,0,12,2
S,20961,health,0,-1,none,1520,1520,-304,-608,-17168,34,19,-28,0,13,1
S,21971,health,0,-1,none,1520,1520,-256,-512,-17192,39,16,-17,0,14,11
S,22970,health,0,-1,none,1520,1520,-256,-520,-17048,30,16,-23,0,15,10
S,23969,health,0,-1,none,1520,1520,-240,-544,-17056,31,20,-26,0,16,9
S,24968,health,0,-1,none,1520,1520,-208,-520,-17144,30,21,-22,0,17,8
S,25967,health,0,-1,none,1520,1520,-224,-656,-17144,33,20,-21,0,18,7
S,26966,health,0,-1,none,1520,1520,-248,-528,-16952,30,19,-23,0,19,6
S,27965,health,0,-1,none,1520,1520,-296,-576,-17064,35,14,-26,0,20,5
S,28964,health,0,-1,none,1520,1520,-280,-616,-17040,35,16,-28,0,21,4
S,29963,health,0,-1,none,1520,1520,-312,-664,-17224,31,20,-30,0,22,3
S,30962,health,0,-1,none,1520,1520,-400,-640,-17152,39,24,-28,0,23,2
S,31961,health,0,-1,none,1520,1520,-328,-472,-17152,34,22,-25,0,24,1
S,32971,health,0,-1,none,1520,1520,-256,-552,-17016,31,18,-24,0,25,11
S,33970,health,0,-1,none,1520,1520,-240,-600,-17096,34,21,-25,0,26,10
S,34969,health,0,-1,none,1520,1520,-312,-560,-16976,28,16,-24,0,27,9
S,35968,health,0,-1,none,1520,1520,-232,-640,-16992,32,17,-21,0,28,8
