# selected servo A
#META fw=tvc_char 2.1 test=K axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 deadband
#META imu_alive=1 imu_pass=0 imu_rate_hz=1908 g_mag=1.0451
#META gyro_bias_dps=2.3410,1.4072,-1.7803 gyro_noise_dps=0.1853,0.1807,0.1871 acc_noise_g=0.00391,0.00414,0.00399
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META k_span=40 dwell_ms=250 log_hz=100
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
#META deadband_center=1520 idx=0
E,16446,hold,0,0,1480,1520,,,,,,,0
E,1216374,kup,0,0,1480,1520,,,,,,,0
S,1217036,kup,0,0,1480,1520,296,-1016,-17032,39,22,-33,0
S,1226990,kup,0,0,1480,1520,240,-872,-16976,46,24,-32,0
S,1236989,kup,0,0,1480,1520,240,-1096,-17024,38,25,-30,0
S,1246989,kup,0,0,1480,1520,280,-984,-17096,37,22,-29,0
S,1256989,kup,0,0,1480,1520,168,-1008,-17064,35,23,-33,0
S,1266989,kup,0,0,1480,1520,168,-984,-16960,39,24,-34,0
S,1276989,kup,0,0,1480,1520,296,-1032,-17032,40,26,-28,0
S,1286989,kup,0,0,1480,1520,336,-1008,-17056,36,24,-30,0
S,1296989,kup,0,0,1480,1520,304,-1016,-17152,41,23,-31,0
S,1306989,kup,0,0,1480,1520,336,-1048,-17048,38,25,-32,0
S,1316989,kup,0,0,1480,1520,208,-1040,-17168,40,22,-31,0
S,1326989,kup,0,0,1480,1520,256,-944,-17216,43,22,-28,0
S,1336989,kup,0,0,1480,1520,312,-952,-17072,37,22,-31,0
S,1346989,kup,0,0,1480,1520,256,-1024,-17160,33,20,-28,0
S,1356989,kup,0,0,1480,1520,248,-1024,-17088,36,21,-37,0
S,1366990,kup,0,0,1480,1520,272,-904,-17176,32,23,-29,0
S,1376989,kup,0,0,1480,1520,328,-960,-17056,32,15,-27,0
S,1386989,kup,0,0,1480,1520,272,-1032,-17192,39,26,-27,0
S,1396989,kup,0,0,1480,1520,248,-952,-17136,34,19,-24,0
S,1406989,kup,0,0,1480,1520,296,-944,-16928,36,26,-24,0
S,1416989,kup,0,0,1480,1520,280,-992,-17040,38,24,-27,0
S,1426989,kup,0,0,1480,1520,336,-872,-17096,38,23,-25,0
S,1436989,kup,0,0,1480,1520,296,-928,-17048,34,22,-24,0
S,1446989,kup,0,0,1480,1520,304,-1040,-17024,43,20,-27,0
S,1456989,kup,0,0,1480,1520,304,-1016,-17136,34,21,-33,0
S,1466990,kup,0,0,1480,1520,336,-1056,-17288,42,27,-31,0
E,1467090,kup,1,0,1481,1520,,,,,,,0
S,1467719,kup,1,0,1481,1520,336,-1056,-17288,42,27,-31,0
S,1477709,kup,1,0,1481,1520,200,-1080,-17032,34,21,-32,0
S,1487708,kup,1,0,1481,1520,1264,-936,-17160,29,-11,-21,0
S,1497708,kup,1,0,1481,1520,-224,-640,-17032,25,-13,-16,0
S,1507708,kup,1,0,1481,1520,136,-880,-17024,41,-9,-24,0
S,1517708,kup,1,0,1481,1520,80,-752,-17040,51,-1,-31,0
S,1527708,kup,1,0,1481,1520,320,-816,-17224,46,8,-28,0
S,1537708,kup,1,0,1481,1520,208,-1088,-17144,35,30,-27,0
S,1547708,kup,1,0,1481,1520,488,-928,-16624,29,36,-30,0
S,1557708,kup,1,0,1481,1520,272,-984,-17000,30,31,-26,0
S,1567708,kup,1,0,1481,1520,256,-888,-17080,42,24,-24,0
S,1577708,kup,1,0,1481,1520,280,-1032,-17200,44,18,-30,0
S,1587708,kup,1,0,1481,1520,344,-936,-17016,35,25,-31,0
S,1597708,kup,1,0,1481,1520,-8,-872,-17088,32,24,-30,0
S,1607708,kup,1,0,1481,1520,248,-984,-17224,33,21,-33,0
S,1617708,kup,1,0,1481,1520,184,-1096,-17328,40,10,-31,0
S,1627708,kup,1,0,1481,1520,296,-960,-17240,48,16,-27,0
S,1637708,kup,1,0,1481,1520,312,-832,-16856,40,24,-28,0
S,1647708,kup,1,0,1481,1520,440,-928,-16928,31,27,-31,0
S,1657708,kup,1,0,1481,1520,312,-1016,-16976,31,39,-29,0
S,1667708,kup,1,0,1481,1520,136,-792,-17304,38,27,-28,0
S,1677708,kup,1,0,1481,1520,264,-960,-17088,49,14,-29,0
