rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,16430,hold,0,1,1520,1480,,,,,,,0
E,1216612,kup,0,1,1520,1480,,,,,,,0
S,1217279,kup,0,1,1520,1480,-400,-512,-17232,40,25,-26,0
S,1227228,kup,0,1,1520,1480,-360,-512,-17192,43,25,-30,0
S,1237225,kup,0,1,1520,1480,-408,-512,-17056,44,22,-26,0
S,1247226,kup,0,1,1520,1480,-360,-512,-17080,42,25,-28,0
S,1257226,kup,0,1,1520,1480,-392,-568,-17088,39,25,-27,0
S,1267225,kup,0,1,1520,1480,-512,-568,-17040,41,23,-33,0
S,1277225,kup,0,1,1520,1480,-424,-416,-17096,33,18,-29,0
S,1287225,kup,0,1,1520,1480,-400,-472,-17144,36,24,-26,0
S,1297225,kup,0,1,1520,1480,-464,-512,-17232,39,25,-24,0
S,1307226,kup,0,1,1520,1480,-448,-416,-17064,41,25,-35,0
S,1317225,kup,0,1,1520,1480,-312,-488,-17144,39,25,-33,0
S,1327226,kup,0,1,1520,1480,-448,-528,-16992,40,25,-32,0
S,1337226,kup,0,1,1520,1480,-440,-448,-17160,40,22,-31,0
S,1347225,kup,0,1,1520,1480,-376,-624,-17072,43,20,-25,0
S,1357226,kup,0,1,1520,1480,-520,-536,-17088,38,21,-34,0
S,1367226,kup,0,1,1520,1480,-312,-504,-17160,39,25,-31,0
S,1377225,kup,0,1,1520,1480,-352,-512,-17016,34,22,-35,0
S,1387225,kup,0,1,1520,1480,-360,-416,-17200,37,22,-24,0
S,1397225,kup,0,1,1520,1480,-336,-512,-17040,39,21,-33,0
S,1407225,kup,0,1,1520,1480,-312,-496,-17200,38,23,-37,0
S,1417226,kup,0,1,1520,1480,-296,-488,-17088,34,25,-35,0
S,1427225,kup,0,1,1520,1480,-432,-464,-17040,31,25,-28,0
S,1437225,kup,0,1,1520,1480,-480,-480,-17128,38,18,-32,0
S,1447226,kup,0,1,1520,1480,-416,-536,-17056,41,24,-25,0
S,1457225,kup,0,1,1520,1480,-456,-536,-16968,42,19,-30,0
S,1467225,kup,0,1,1520,1480,-400,-520,-17008,34,25,-29,0
E,1467326,kup,1,1,1520,1481,,,,,,,0
S,1467958,kup,1,1,1520,1481,-256,-448,-17136,36,20,-26,0
S,1477946,kup,1,1,1520,1481,-432,-608,-17272,42,25,-29,0
S,1487945,kup,1,1,1520,1481,-376,-504,-17200,38,25,-30,0
S,1497945,kup,1,1,1520,1481,-360,-448,-17112,38,24,-26,0
S,1507945,kup,1,1,1520,1481,-368,-504,-16952,40,28,-28,0
S,1517945,kup,1,1,1520,1481,-328,-504,-17160,37,25,-30,0
S,1527945,kup,1,1,1520,1481,-504,-472,-17112,32,23,-30,0
S,1537945,kup,1,1,1520,1481,-312,-520,-17176,43,20,-29,0
S,1547945,kup,1,1,1520,1481,-416,-504,-17032,38,24,-34,0
S,1557945,kup,1,1,1520,1481,-232,-528,-17176,34,19,-31,0
S,1567945,kup,1,1,1520,1481,-376,-472,-17104,36,20,-28,0
S,1577945,kup,1,1,1520,1481,-376,-472,-17192,40,22,-32,0
S,1587945,kup,1,1,1520,1481,-280,-560,-17112,39,24,-28,0
S,1597945,kup,1,1,1520,1481,-368,-552,-17216,41,24,-24,0
S,1607945,kup,1,1,1520,1481,-280,-616,-17144,38,20,-30,0
S,1617945,kup,1,1,1520,1481,-392,-480,-17136,34,25,-24,0
S,1627945,kup,1,1,1520,1481,-376,-512,-17168,41,27,-31,0
S,1637945,kup,1,1,1520,1481,-416,-440,-17080,40,24,-21,0
S,1647945,kup,1,1,1520,1481,-400,-472,-17168,39,21,-28,0
S,1657945,kup,1,1,1520,1481,-392,-520,-17248,42,20,-30,0
S,1667945,kup,1,1,1520,1481,-416,-472,-17072,35,16,-28,0
S,1677945,kup,1,1,1520,1481,-344,-672,-17160,37,29,-27,0
S,1687945,kup,1,1,1520,1481,-456,-608,-17088,37,24,-31,0
S,1697945,kup,1,1,1520,1481,-344,-616,-17176,39,21,-30,0
S,1707945,kup,1,1,1520,1481,-352,-464,-17080,39,24,-29,0
S,1717945,kup,1,1,1520,1481,-440,-536,-17024,39,22,-29,0
E,1718046,kup,2,1,1520,1482,,,,,,,0
S,1718675,kup,2,1,1520,1482,-440,-536,-17024,39,22,-29,0
S,1728664,kup,2,1,1520,1482,-400,-512,-17048,43,24,-29,0
S,1738663,kup,2,1,1520,1482,-256,-560,-17144,41,22,-27,0
S,1748662,kup,2,1,1520,1482,-400,-736,-17208,39,26,-33,0
S,1758663,kup,2,1,1520,1482,-440,-552,-17224,36,22,-27,0
S,1768662,kup,2,1,1520,1482,-376,-464,-17168,39,26,-29,0
S,1778662,kup,2,1,1520,1482,-400,-464,-17064,33,24,-33,0
S,1788663,kup,2,1,1520,1482,-312,-472,-17272,37,21,-28,0
S,1798662,kup,2,1,1520,1482,-440,-464,-17128,39,23,-27,0
S,1808662,kup,2,1,1520,1482,-384,-504,-17176,36,20,-28,0
S,1818663,kup,2,1,1520,1482,-360,-496,-17040,36,23,-32,0
S,1828663,kup,2,1,1520,1482,-488,-520,-17184,41,23,-35,0
