pulse_us,theta_deg,theta_up_deg,theta_down_deg
1350,-6.363955380115476,-6.397780772304706,-6.330129987926246
1360,-5.799664603436965,-6.091045214689101,-5.508283992184829
1370,-5.6900687127539635,-5.841038219177836,-5.539099206330091
1380,-5.3175418496389275,-5.508721077139029,-5.126362622138826
1390,-5.051095700468807,-5.259351673595347,-4.842839727342266
1400,-4.792216657480958,-4.991494277666229,-4.592939037295688
1410,-4.505597858054989,-4.677211516306194,-4.3339841998037825
1420,-4.028958016570481,-4.152202458167054,-3.9057135749739085
1430,-3.8432458589755356,-4.033735455798988,-3.652756262152083
1440,-3.20126414419879,-3.3856306239356924,-3.0168976644618875
1450,-2.8311074104741665,-3.046498638556165,-2.615716182392168
1460,-2.379519889213853,-2.4887069786557805,-2.270332799771926
1470,-2.146904214977483,-2.322928999798167,-1.970879430156799
1480,-1.7882752513925633,-2.0196779329998247,-1.5568725697853019
1490,-1.1842511831658176,-1.3443069746946574,-1.0241953916369777
1500,-0.7210550172708738,-0.9222298997816323,-0.5198801347601155
1510,-0.49128266715935676,-0.6617498466484644,-0.32081548767024914
1520,0.11323202686032223,0.0737985461995532,0.15266550752109126
1530,0.31884898807086415,0.2382576729058104,0.39944030323591795
1540,0.7561392772888382,0.6625528122739934,0.8497257423036831
1550,1.0361144920611531,0.921089564743683,1.1511394193786235
1560,1.4746933785362744,1.3656358358158474,1.5837509212567014
1570,1.9199288205541971,1.826339962470086,2.0135176786383084
1580,2.2327523538322676,2.1086739757595403,2.356830731904995
1590,2.6659092798241906,2.592297179267641,2.7395213803807406
1600,2.967730175645355,2.847695533859892,3.087764817430818
1610,3.2371434278693605,3.1346950060396725,3.3395918496990484
1620,3.7005575805165227,3.6044492321030788,3.7966659289299662
1630,3.954718975157723,3.8341430444241755,4.075294905891271
1640,4.390572348306977,4.252060738929467,4.529083957684487
1650,4.9521963109494855,5.033835388211969,4.870557233687002
1660,5.251953263728424,5.21361772152594,5.290288805930909
1670,5.404177494585925,5.270671107529523,5.537683881642327
1680,5.799587166113381,5.755582929680296,5.8435914025464655
1690,6.086537711922936,5.96021181075394,6.2128636130919315
1700,6.400505286083933,6.237162492799927,6.56384807936794
1710,6.928773104271211,6.801445829340526,7.0561003792018955
1720,7.2350538838691465,7.160979305941664,7.309128461796629
1730,7.448208349524531,7.307183268303289,7.589233430745773
1740,7.807001268626573,7.638885768505508,7.975116768747638
1750,8.13365987027617,7.943100357670281,8.32421938288206
1760,8.455502243477,8.267342916656862,8.643661570297136
1770,8.756987003924122,8.499418066928076,9.014555940920168
1780,8.91015742597901,8.715215285275292,9.105099566682728
1790,9.22947503932874,9.015382123283464,9.443567955374014
1800,9.577027041054828,9.358628499646379,9.795425582463277
1810,10.0017959559664,9.890083626850544,10.11350828508226
1820,10.186839860077633,9.948762300480128,10.424917419675138
1830,10.610748086164111,10.368622978042062,10.852873194286161
1840,10.907113740067771,10.64988359806895,11.164343882066593
1850,11.14139752741849,10.913018452381158,11.369776602455826
1860,11.510912724416919,11.301404300160272,11.720421148673568
1870,11.754815301199624,11.535316871139884,11.974313731259365
1880,12.07711619133329,11.831254274415532,12.32297810825105
1890,12.408174939344814,12.200886614442588,12.615463264247042
1900,12.56558919167606,12.339933864318109,12.79124451903401
1910,12.93456104804179,12.662339987995086,13.206782108088493
1920,13.209636321552452,12.93058356373839,13.488689079366516
1930,13.701927070042807,13.467630250820484,13.936223889265131
1940,13.854321938752355,13.551603971863624,14.157039905641085
1950,14.046777208909187,13.7582868924146,14.335267525403777
1960,14.254375002848661,14.00627251704375,14.502477488653575
1970,14.46967383817583,14.179024822857887,14.760322853493772
1980,14.770476842275206,14.462646571187902,15.078307113362511
1990,14.962144319494783,14.69208682534978,15.232201813639787
2000,15.104917096301712,14.838281810909459,15.371552381693967
2010,15.294638876638679,15.07491956719447,15.514358186082887
2020,15.457896491961547,15.314984366950526,15.600808616972568
2030,15.606791916028213,15.528514412773792,15.685069419282634
2040,15.709804439316613,15.704600566204114,15.715008312429113
