pulse_us,theta_deg,theta_up_deg,theta_down_deg
1350,-6.031223545577559,-6.17781116226108,-5.884635928894038
1360,-5.7773222919017915,-5.883247346840332,-5.67139723696325
1370,-5.426190013343856,-5.578726078042606,-5.273653948645106
1380,-5.094340208286226,-5.279382275517245,-4.909298141055208
1390,-4.914335253871079,-5.1001525357124144,-4.728517972029744
1400,-4.599449669607133,-4.764195338042963,-4.434704001171303
1410,-4.346513727324152,-4.498884950478338,-4.194142504169966
1420,-3.955975379272124,-4.1341932059964215,-3.7777575525478264
1430,-3.650466705161055,-3.8076163481172296,-3.4933170622048806
1440,-3.0419705825407117,-3.2116486801606365,-2.872292484920787
1450,-2.6684363393678847,-2.845179640687533,-2.4916930380482363
1460,-2.3764124699539932,-2.5470824459982797,-2.2057424939097063
1470,-2.0153904323152467,-2.169028194561064,-1.8617526700694296
1480,-1.678588702648996,-1.901347038545057,-1.455830366752935
1490,-1.0710130646995117,-1.2361843688661334,-0.9058417605328899
1500,-0.6780049221691737,-0.8208998989497406,-0.535109945388607
1510,-0.2842158567568,-0.5290813580380476,-0.039350355475552476
1520,0.09833860543584709,-0.015024483561892708,0.21170169443358688
1530,0.379621104049803,0.23581248147874506,0.523429726620861
1540,0.8107562334713532,0.6716565614641388,0.9498559054785675
1550,1.0770963706706806,0.8838155477238598,1.2703771936175015
1560,1.482629964910891,1.3602239244830954,1.6050360053386865
1570,1.9677500019892662,1.8588315485142017,2.076668455464331
1580,2.256217501161487,2.0772938295477967,2.435141172775177
1590,2.7003964487338448,2.542398145105299,2.8583947523623907
1600,3.0203611060828788,2.868315063133236,3.172407149032522
1610,3.229140582204664,3.1176974947702862,3.3405836696390416
1620,3.7309903125061616,3.6250392344665268,3.836941390545797
1630,4.017886076872662,3.8988927272562766,4.136879426489046
1640,4.477711603686665,4.402272929839032,4.553150277534298
1650,4.788613205250739,4.706410788003746,4.870815622497732
1660,5.166498708324308,5.074522059189743,5.258475357458874
1670,5.402987742891529,5.265505691808082,5.540469793974976
1680,5.731088113465283,5.623314606722882,5.838861620207685
1690,6.112405367112967,5.970346096149264,6.254464638076668
1700,6.476115870434319,6.347728676855279,6.604503064013359
1710,6.9636608868885315,6.807871516464071,7.119450257312991
1720,7.18048322581787,7.0309461609711645,7.330020290664574
1730,7.45078257507339,7.275392111596721,7.626173038550059
1740,7.812757150208782,7.612544268553373,8.01297003186419
1750,8.170077778568153,7.89546039707731,8.444695160058998
1760,8.521734258680901,8.333545973728077,8.709922543633724
1770,8.695893248678534,8.481472919023135,8.91031357833393
1780,9.02243734961345,8.945445867549168,9.09942883167773
1790,9.255198171070603,9.069341387057761,9.441054955083445
1800,9.623067151476999,9.359806235171288,9.886328067782708
1810,9.986797364866815,9.78701062795499,10.18658410177864
1820,10.304017214255767,10.148447736085092,10.459586692426441
1830,10.665774672173363,10.428367923499662,10.903181420847062
1840,10.948175812418175,10.694259910864044,11.202091713972303
1850,11.168925607891367,10.931580901790948,11.406270313991788
1860,11.51034704910232,11.288332345862543,11.732361752342097
1870,11.766342632599926,11.516196390358605,12.016488874841249
1880,12.147597999040869,11.989887831298692,12.305308166783044
1890,12.304312042445002,12.064388617193247,12.544235467696755
1900,12.555273098915544,12.306382116611164,12.804164081219923
1910,12.95920207590772,12.673160296891506,13.245243854923935
1920,13.282051499362213,13.077734335303266,13.48636866342116
1930,13.613975018018007,13.289029278644186,13.938920757391827
1940,13.847233411018854,13.53725050487719,14.157216317160518
1950,14.075681281584412,13.77573854781964,14.375624015349185
1960,14.27333269580709,14.002196220226455,14.544469171387725
1970,14.474991915070355,14.179633186303512,14.770350643837197
1980,14.793771093495575,14.426209711515463,15.161332475475689
1990,14.963990815327616,14.65313863828245,15.274842992372783
2000,15.12927117767766,14.81269551445899,15.44584684089633
2010,15.310426660621168,15.066287463035252,15.554565858207086
2020,15.465828282340908,15.305452516925696,15.626204047756119
2030,15.680673269304325,15.673282714364163,15.688063824244487
2040,15.667136033589129,15.669236478895407,15.665035588282851
