rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,7935,health,0,-1,none,1520,1520,-224,-520,-17152,32,24,-28,0,0,5
S,9060,health,0,-1,none,1520,1520,-344,-568,-17112,30,24,-29,0,1,130
S,9975,health,0,-1,none,1520,1520,-216,-536,-17088,31,19,-30,0,2,45
S,10941,health,0,-1,none,1520,1520,-312,-600,-17200,35,16,-23,0,3,11
S,11939,health,0,-1,none,1520,1520,-368,-568,-17088,30,19,-19,0,4,9
S,12937,health,0,-1,none,1520,1520,-384,-680,-17048,32,15,-27,0,5,7
S,13934,health,0,-1,none,1520,1520,-328,-624,-16968,34,17,-26,0,6,4
S,14932,health,0,-1,none,1520,1520,-312,-584,-17016,35,13,-25,0,7,2
S,15940,health,0,-1,none,1520,1520,-368,-648,-17136,32,19,-22,0,8,10
S,16938,health,0,-1,none,1520,1520,-352,-704,-17080,33,18,-27,0,9,8
S,17936,health,0,-1,none,1520,1520,-264,-672,-17088,33,19,-28,0,10,6
S,18933,health,0,-1,none,1520,1520,-288,-528,-17144,31,20,-32,0,11,3
S,19931,health,0,-1,none,1520,1520,-328,-648,-17136,31,18,-29,0,12,1
S,20940,health,0,-1,none,1520,1520,-304,-672,-17104,26,12,-29,0,13,10
S,21938,health,0,-1,none,1520,1520,-352,-688,-17160,32,18,-28,0,14,8
S,22936,health,0,-1,none,1520,1520,-288,-560,-17072,33,20,-29,0,15,6
S,23933,health,0,-1,none,1520,1520,-352,-616,-17112,32,16,-24,0,16,3
S,24930,health,0,-1,none,1520,1520,-240,-632,-17224,35,18,-22,0,17,0
S,25939,health,0,-1,none,1520,1520,-320,-592,-17120,34,21,-25,0,18,9
S,26936,health,0,-1,none,1520,1520,-320,-600,-17160,36,14,-27,0,19,6
S,27933,health,0,-1,none,1520,1520,-336,-592,-17064,32,16,-25,0,20,3
S,28941,health,0,-1,none,1520,1520,-376,-624,-17152,33,20,-25,0,21,11
S,29939,health,0,-1,none,1520,1520,-344,-584,-17120,30,22,-26,0,22,9
S,30936,health,0,-1,none,1520,1520,-400,-664,-17216,28,17,-30,0,23,6
S,31933,health,0,-1,none,1520,1520,-296,-712,-17096,34,19,-23,0,24,3
S,32930,health,0,-1,none,1520,1520,-384,-624,-17048,36,19,-25,0,25,0
S,33939,health,0,-1,none,1520,1520,-384,-664,-17168,41,17,-27,0,26,9
S,34937,health,0,-1,none,1520,1520,-192,-584,-17176,30,18,-27,0,27,7
S,35934,health,0,-1,none,1520,1520,-312,-656,-17096,32,19,-27,0,28,4
S,36932,health,0,-1,none,1520,1520,-352,-640,-17032,29,15,-25,0,29,2
S,37941,health,0,-1,none,1520,1520,-248,-632,-17040,32,25,-27,0,30,11
S,38939,health,0,-1,none,1520,1520,-256,-600,-17120,31,24,-28,0,31,9
S,39936,health,0,-1,none,1520,1520,-192,-728,-17072,31,15,-25,0,32,6
S,40934,health,0,-1,none,1520,1520,-416,-592,-17136,32,14,-29,0,33,4
S,41931,health,0,-1,none,1520,1520,-336,-600,-17104,31,13,-30,0,34,1
S,42940,health,0,-1,none,1520,1520,-416,-640,-17088,30,21,-26,0,35,10
S,43938,health,0,-1,none,1520,1520,-296,-624,-17128,27,21,-27,0,36,8
S,44935,health,0,-1,none,1520,1520,-336,-496,-17216,34,20,-24,0,37,5
S,45932,health,0,-1,none,1520,1520,-328,-520,-16976,32,21,-27,0,38,2
