pulse_us,theta_deg,theta_up_deg,theta_down_deg
1370,-8.8758524568171,-8.948456106986269,-8.803248806647929
1380,-8.774287087328311,-8.783888940971483,-8.76468523368514
1390,-8.36039231456125,-8.318047751548704,-8.402736877573798
1400,-7.802022731628798,-7.781633024646574,-7.82241243861102
1410,-7.431591482625112,-7.4703878518090105,-7.392795113441215
1420,-6.784301940872073,-6.748055556044715,-6.820548325699431
1430,-6.076781868435065,-6.100826426890071,-6.052737309980058
1440,-5.267188013105542,-5.293223037458301,-5.241152988752785
1450,-4.529007283923267,-4.758897181974388,-4.299117385872147
1460,-4.157641104126602,-4.205051534899676,-4.110230673353529
1470,-3.030325086593052,-3.2910119739891712,-2.7696381991969328
1480,-2.4461396425861834,-2.659373952600399,-2.232905332571968
1490,-1.77076040212729,-2.0057225459682955,-1.5357982582862846
1500,-1.3530381743359077,-1.4711579271976598,-1.2349184214741558
1510,-0.9186675230851605,-1.1133411970726537,-0.7239938490976674
1520,-0.12144498779777553,-0.2155765015430486,-0.027313474052502444
1530,0.2953518440039992,0.01939255270289854,0.5713111353050999
1540,1.0919407097021958,0.9680382774247958,1.2158431419795956
1550,1.4553977920888697,1.2381723834911975,1.672623200686542
1560,2.1013431141202186,1.879693428590504,2.322992799649933
1570,3.0422784817291775,2.849483126605387,3.235073836852968
1580,3.3906004817534914,3.1044070663483216,3.6767938971586616
1590,4.072496468514897,3.8783866714913042,4.266606265538489
1600,4.510600741864723,4.249971304503303,4.7712301792261425
1610,5.113970621285157,4.901035563124574,5.326905679445739
1620,5.627930033279278,5.359418830363183,5.896441236195373
1630,5.999516773072639,5.727023719813977,6.272009826331301
1640,6.6491880743493414,6.525098458444539,6.773277690254144
1650,6.97321859694648,6.715974686621079,7.230462507271881
1660,7.4835755145127125,7.283965120890622,7.683185908134803
1670,7.692038420553004,7.479121811088099,7.904955030017909
1680,7.955738631641271,7.773207683579856,8.138269579702685
1690,8.138635330683352,8.12514212409106,8.152128537275644
