# selected servo A
#META fw=tvc_char 2.1 test=P axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 repeatability
#META imu_alive=1 imu_pass=0 imu_rate_hz=1908 g_mag=1.0451
#META gyro_bias_dps=2.3410,1.4072,-1.7803 gyro_noise_dps=0.1853,0.1807,0.1871 acc_noise_g=0.00391,0.00414,0.00399
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META reps=20 approach_us=75 dwell_ms=400 log_hz=100 center_us=1520
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
#META repeat_target=1520 idx=0
E,716256,frombelow,0,0,1520,1520,,,,,,,0
S,716929,frombelow,0,0,1520,1520,960,-968,-17056,32,29,-28,0
S,726878,frombelow,0,0,1520,1520,1880,-864,-16464,45,7,-43,0
S,736876,frombelow,0,0,1520,1520,9704,1920,-20400,75,-293,-172,0
S,746876,frombelow,0,0,1520,1520,-8152,-14408,-4496,-46,-629,440,0
S,756876,frombelow,0,0,1520,1520,-1576,-9240,-17848,46,-1388,53,0
S,766876,frombelow,0,0,1520,1520,-568,-4144,-19296,77,-1803,91,0
S,776877,frombelow,0,0,1520,1520,3232,13440,-13328,139,-1920,49,0
S,786876,frombelow,0,0,1520,1520,-3848,2768,-13480,36,-1900,-74,0
S,796876,frombelow,0,0,1520,1520,2216,-2976,-20672,-5,-1650,161,0
S,806876,frombelow,0,0,1520,1520,5280,-2456,-11760,67,-1041,144,0
S,816876,frombelow,0,0,1520,1520,3376,992,-15656,141,-306,-46,0
S,826876,frombelow,0,0,1520,1520,-1216,-2912,-15400,225,506,-45,0
S,836876,frombelow,0,0,1520,1520,-176,240,-16944,80,1016,-62,0
S,846876,frombelow,0,0,1520,1520,-1824,-96,-15776,-89,1188,-134,0
S,856876,frombelow,0,0,1520,1520,2608,-1104,-21800,-162,1016,-269,0
S,866876,frombelow,0,0,1520,1520,-1000,-1224,-17432,-193,986,-36,0
S,876876,frombelow,0,0,1520,1520,1776,-1120,-17976,-80,773,-176,0
S,886876,frombelow,0,0,1520,1520,-1216,2464,-20072,-24,397,-72,0
S,896876,frombelow,0,0,1520,1520,-488,-2728,-15760,33,3,-102,0
S,906876,frombelow,0,0,1520,1520,-400,-1840,-15920,82,-373,-87,0
S,916876,frombelow,0,0,1520,1520,-200,736,-16752,132,-589,-96,0
S,926876,frombelow,0,0,1520,1520,-3280,-1584,-18000,118,-664,81,0
S,936876,frombelow,0,0,1520,1520,568,-864,-17504,73,-604,256,0
S,946876,frombelow,0,0,1520,1520,-1320,-1808,-14840,84,-618,-22,0
S,956877,frombelow,0,0,1520,1520,3216,40,-16672,28,-427,7,0
S,966877,frombelow,0,0,1520,1520,1280,-1216,-16432,31,-251,5,0
S,976876,frombelow,0,0,1520,1520,-8,-1488,-16416,70,67,-32,0
S,986876,frombelow,0,0,1520,1520,-704,-1072,-17040,97,302,-32,0
S,996876,frombelow,0,0,1520,1520,-792,-832,-17416,48,407,-42,0
S,1006876,frombelow,0,0,1520,1520,-880,-616,-16920,-2,359,-125,0
S,1016876,frombelow,0,0,1520,1520,656,-424,-16376,-18,298,-60,0
S,1026876,frombelow,0,0,1520,1520,-576,-1312,-16640,10,206,-35,0
S,1036876,frombelow,0,0,1520,1520,-288,-1584,-16688,60,95,-25,0
S,1046876,frombelow,0,0,1520,1520,-288,-760,-16832,87,-6,-29,0
S,1056876,frombelow,0,0,1520,1520,-232,-776,-17240,62,-80,-21,0
S,1066876,frombelow,0,0,1520,1520,-520,-992,-17152,38,-110,-24,0
S,1076876,frombelow,0,0,1520,1520,-528,-1096,-17120,20,-109,-22,0
S,1086876,frombelow,0,0,1520,1520,-520,-1232,-17256,22,-57,-14,0
S,1096876,frombelow,0,0,1520,1520,-120,-824,-17200,41,2,-23,0
S,1106876,frombelow,0,0,1520,1520,-96,-744,-17168,58,56,-29,0
S,1116877,frombelow,0,0,1520,1520,-360,-1024,-16840,47,73,-35,0
E,1816257,fromabove,1,0,1520,1520,,,,,,,0
S,1816886,fromabove,1,0,1520,1520,-1624,-1016,-17120,34,19,-25,0
S,1826875,fromabove,1,0,1520,1520,40,-280,-17272,31,30,-17,0
S,1836874,fromabove,1,0,1520,1520,-3072,-2408,-18440,49,262,98,0
S,1846874,fromabove,1,0,1520,1520,-728,1112,-13616,169,562,65,0
S,1856874,fromabove,1,0,1520,1520,-2592,-2272,-15896,239,1020,-27,0
S,1866874,fromabove,1,0,1520,1520,-1192,-672,-17536,257,1369,-45,0
S,1876873,fromabove,1,0,1520,1520,-440,480,-17312,211,1546,-25,0
S,1886874,fromabove,1,0,1520,1520,-5232,-1184,-16800,99,1422,-209,0
S,1896873,fromabove,1,0,1520,1520,6792,-648,-13144,-49,1402,-124,0
S,1906873,fromabove,1,0,1520,1520,3240,464,-17736,-68,1028,-193,0
S,1916873,fromabove,1,0,1520,1520,1232,-1336,-18656,-56,668,-141,0
S,1926874,fromabove,1,0,1520,1520,792,-2840,-13968,-113,253,145,0
S,1936873,fromabove,1,0,1520,1520,32,-784,-16328,6,-155,-33,0
S,1946873,fromabove,1,0,1520,1520,-1736,-368,-15448,90,-475,-80,0
S,1956874,fromabove,1,0,1520,1520,-3256,3648,-17992,133,-574,19,0
S,1966873,fromabove,1,0,1520,1520,1432,2392,-17712,87,-581,190,0
S,1976873,fromabove,1,0,1520,1520,-688,-3160,-16424,59,-641,9,0
S,1986873,fromabove,1,0,1520,1520,2240,-344,-17048,14,-476,-3,0
S,1996873,fromabove,1,0,1520,1520,-936,-1416,-16136,8,-263,9,0
S,2006874,fromabove,1,0,1520,1520,-832,-1688,-16488,67,66,-12,0
S,2016873,fromabove,1,0,1520,1520,424,-936,-17192,109,307,-37,0
S,2026874,fromabove,1,0,1520,1520,240,-464,-16600,63,418,-65,0
S,2036873,fromabove,1,0,1520,1520,-896,-616,-16640,-26,390,-98,0
S,2046873,fromabove,1,0,1520,1520,1312,-808,-17776,-58,295,-35,0
S,2056873,fromabove,1,0,1520,1520,232,-808,-17136,-22,186,-36,0
S,2066874,fromabove,1,0,1520,1520,-80,-1024,-16736,52,59,-34,0
S,2076873,fromabove,1,0,1520,1520,-360,-1056,-16784,98,-41,-32,0
S,2086873,fromabove,1,0,1520,1520,-584,-656,-16984,100,-105,-23,0
S,2096874,fromabove,1,0,1520,1520,64,-976,-17112,52,-134,-17,0
S,2106873,fromabove,1,0,1520,1520,-304,-1000,-16808,19,-112,-14,0
S,2116873,fromabove,1,0,1520,1520,-496,-1104,-17120,10,-37,-14,0
S,2126873,fromabove,1,0,1520,1520,-200,-960,-17176,41,40,-29,0
S,2136873,fromabove,1,0,1520,1520,-424,-1000,-17128,53,91,-35,0
S,2146873,fromabove,1,0,1520,1520,-672,-1040,-16904,39,94,-42,0
S,2156874,fromabove,1,0,1520,1520,-480,-960,-17024,14,60,-30,0
S,2166873,fromabove,1,0,1520,1520,-280,-848,-17248,12,10,-25,0
S,2176873,fromabove,1,0,1520,1520,-224,-936,-17192,42,-11,-32,0
S,2186873,fromabove,1,0,1520,1520,-472,-1056,-17016,60,-6,-29,0
S,2196873,fromabove,1,0,1520,1520,-408,-928,-17192,54,9,-23,0
S,2206874,fromabove,1,0,1520,1520,-240,-912,-17216,33,30,-33,0
S,2216873,fromabove,1,0,1520,1520,-376,-920,-16944,17,36,-29,0
E,2916256,frombelow,2,0,1520,1520,,,,,,,0
S,2916883,frombelow,2,0,1520,1520,824,-976,-17040,40,18,-30,0
S,2926871,frombelow,2,0,1520,1520,-1376,832,-16160,46,1,-46,0
S,2936870,frombelow,2,0,1520,1520,-1352,-4648,-21624,84,-279,-299,0
S,2946870,frombelow,2,0,1520,1520,-1832,10472,-17352,28,-477,234,0
S,2956870,frombelow,2,0,1520,1520,-7360,-824,-17784,69,-992,101,0
S,2966871,frombelow,2,0,1520,1520,-1976,1440,-16880,58,-1528,42,0
S,2976870,frombelow,2,0,1520,1520,480,-960,-13712,134,-1778,-165,0
S,2986870,frombelow,2,0,1520,1520,-6968,472,-24008,73,-1690,207,0
S,2996870,frombelow,2,0,1520,1520,4584,-3176,-18960,19,-1624,251,0
S,3006870,frombelow,2,0,1520,1520,-3064,344,-18256,-65,-1219,-239,0
S,3016870,frombelow,2,0,1520,1520,-152,-3904,-18760,131,-595,-17,0
S,3026870,frombelow,2,0,1520,1520,-360,-4304,-17072,155,201,-30,0
S,3036870,frombelow,2,0,1520,1520,2048,-2664,-18440,137,829,-40,0
S,3046870,frombelow,2,0,1520,1520,1584,-680,-17048,-36,1071,-40,0
S,3056870,frombelow,2,0,1520,1520,-856,-2304,-17960,-154,909,-357,0
S,3066870,frombelow,2,0,1520,1520,-9080,-1368,-16056,-197,1011,-83,0
S,3076870,frombelow,2,0,1520,1520,-4720,-144,-17512,-98,777,-119,0
S,3086870,frombelow,2,0,1520,1520,-1912,-304,-18216,10,503,-99,0
S,3096870,frombelow,2,0,1520,1520,-608,3280,-13544,-13,115,159,0
