rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
E,716630,frombelow,0,1,1520,1520,,,,,,,0
S,717307,frombelow,0,1,1520,1520,-520,368,-17120,36,20,-29,0
S,727253,frombelow,0,1,1520,1520,-736,1312,-17184,53,24,-18,0
S,737250,frombelow,0,1,1520,1520,808,-18680,-18576,457,81,-97,0
S,747250,frombelow,0,1,1520,1520,-1800,4456,-17992,1258,139,-21,0
S,757250,frombelow,0,1,1520,1520,-456,-6896,-16408,2069,182,-122,0
S,767250,frombelow,0,1,1520,1520,-3472,-5424,-25536,2284,216,-384,0
S,777250,frombelow,0,1,1520,1520,-1512,-1856,-19200,2034,240,-107,0
S,787250,frombelow,0,1,1520,1520,1744,3048,-20960,1333,281,-54,0
S,797250,frombelow,0,1,1520,1520,3352,-8160,-5192,665,186,-191,0
S,807250,frombelow,0,1,1520,1520,-3840,-2472,-18288,2,126,-121,0
S,817250,frombelow,0,1,1520,1520,-1736,464,-12704,-684,120,8,0
S,827250,frombelow,0,1,1520,1520,2544,-2392,-20960,-897,71,600,0
S,837250,frombelow,0,1,1520,1520,-1400,1952,-13968,-877,-46,-44,0
S,847250,frombelow,0,1,1520,1520,-2536,56,-17136,-727,-159,-8,0
S,857250,frombelow,0,1,1520,1520,168,-3008,-19848,-495,-225,232,0
S,867250,frombelow,0,1,1520,1520,-440,-2264,-14672,59,-234,33,0
S,877250,frombelow,0,1,1520,1520,-1152,-1544,-15736,478,-250,-125,0
S,887250,frombelow,0,1,1520,1520,152,-1640,-16952,641,-125,-295,0
S,897250,frombelow,0,1,1520,1520,-1032,256,-16368,571,-56,-55,0
S,907250,frombelow,0,1,1520,1520,-504,-536,-16632,391,74,-41,0
S,917250,frombelow,0,1,1520,1520,-704,-672,-17144,218,159,-31,0
S,927250,frombelow,0,1,1520,1520,-88,-400,-16736,66,210,-43,0
S,937250,frombelow,0,1,1520,1520,88,-1096,-16760,-79,191,-49,0
S,947250,frombelow,0,1,1520,1520,448,-1656,-16968,-149,139,-46,0
S,957250,frombelow,0,1,1520,1520,40,-1448,-17176,-110,89,-25,0
S,967250,frombelow,0,1,1520,1520,-240,-1664,-17128,-29,25,-19,0
S,977250,frombelow,0,1,1520,1520,-376,-600,-17072,54,-29,-34,0
S,987250,frombelow,0,1,1520,1520,-264,-1008,-17328,103,-53,-24,0
S,997250,frombelow,0,1,1520,1520,-384,-1072,-17208,116,-45,-24,0
S,1007250,frombelow,0,1,1520,1520,-344,-1136,-17144,96,-11,-30,0
S,1017250,frombelow,0,1,1520,1520,-360,-744,-17112,45,13,-34,0
S,1027250,frombelow,0,1,1520,1520,-336,-1040,-16992,1,39,-29,0
S,1037250,frombelow,0,1,1520,1520,-264,-1256,-17192,-13,63,-34,0
S,1047250,frombelow,0,1,1520,1520,-408,-1200,-17224,1,55,-22,0
S,1057250,frombelow,0,1,1520,1520,-328,-880,-17096,34,42,-27,0
S,1067250,frombelow,0,1,1520,1520,-360,-1024,-17176,65,12,-22,0
S,1077250,frombelow,0,1,1520,1520,-232,-976,-17128,79,4,-31,0
S,1087250,frombelow,0,1,1520,1520,-304,-984,-17096,70,0,-31,0
S,1097250,frombelow,0,1,1520,1520,-392,-872,-17112,57,10,-33,0
S,1107250,frombelow,0,1,1520,1520,-312,-1000,-17152,28,22,-36,0
S,1117250,frombelow,0,1,1520,1520,-384,-896,-17040,15,35,-30,0
E,1816630,fromabove,1,1,1520,1520,,,,,,,0
S,1817260,fromabove,1,1,1520,1520,-264,-2080,-16952,42,24,-26,0
S,1827248,fromabove,1,1,1520,1520,1072,-6832,-18064,8,25,-13,0
S,1837247,fromabove,1,1,1520,1520,-1816,8632,-20224,-271,33,2,0
S,1847246,fromabove,1,1,1520,1520,-1056,-8800,-18096,-666,-3,-202,0
