approach,seq,target_us,theta_deg
fromabove,1,1520,0.285592019683213
fromabove,3,1520,0.21990634591596034
fromabove,5,1520,0.03363207420816394
fromabove,7,1520,0.33173936156139094
fromabove,9,1520,-0.11455587888374907
fromabove,11,1520,0.33337661413880826
fromabove,13,1520,-0.009277092008315436
fromabove,15,1520,0.2080004030103794
fromabove,17,1520,0.0710181393080731
fromabove,19,1520,0.15690916689047613
fromabove,21,1520,0.012578277477243206
fromabove,23,1520,0.2533920490431768
fromabove,25,1520,0.15411260530095774
fromabove,27,1520,-0.06961466210325114
fromabove,29,1520,0.02615879044609102
fromabove,31,1520,0.04098219188270633
fromabove,33,1520,-0.057630309927003506
fromabove,35,1520,-0.06752654248595888
fromabove,37,1520,0.12046994988831586
fromabove,39,1520,-0.09914279117297156
fromabove,41,1468,-2.1367836241243183
fromabove,43,1468,-2.2679376754684157
fromabove,45,1468,-1.8447211303330946
fromabove,47,1468,-2.155779275798376
fromabove,49,1468,-2.327886058351487
fromabove,51,1468,-2.1314491377597333
fromabove,53,1468,-2.5186587521489843
fromabove,55,1468,-2.096622195864387
fromabove,57,1468,-1.759013724373385
fromabove,59,1468,-1.9415376798642767
fromabove,61,1468,-2.350385513798642
fromabove,63,1468,-1.947079072849121
fromabove,65,1468,-1.845386476672148
fromabove,67,1468,-1.9892874395244717
fromabove,69,1468,-2.163182530647478
fromabove,71,1468,-1.7745174464451139
fromabove,73,1468,-2.2657204425348594
fromabove,75,1468,-2.7403620027119815
fromabove,77,1468,-2.0767707298004696
fromabove,79,1468,-2.355810895686223
fromabove,81,1572,2.0408452181916545
fromabove,83,1572,2.1762845686115297
fromabove,85,1572,1.9380288612918306
fromabove,87,1572,2.182843642388643
fromabove,89,1572,1.8833100778145593
fromabove,91,1572,1.9659023112312084
fromabove,93,1572,2.0666025824712504
fromabove,95,1572,2.0759618573299266
fromabove,97,1572,1.9984532056063018
fromabove,99,1572,2.2259363049624055
fromabove,101,1572,2.1232471112004276
fromabove,103,1572,2.0015675542549145
fromabove,105,1572,2.13172394696941
fromabove,107,1572,2.2245536600620497
fromabove,109,1572,2.180074147399948
fromabove,111,1572,2.253808903515451
fromabove,113,1572,2.1979821416961314
fromabove,115,1572,2.2091006713069037
fromabove,117,1572,2.0208319674511914
fromabove,119,1572,2.1941304646744184
frombelow,0,1520,0.3421958669784303
frombelow,2,1520,-0.2794924132441167
frombelow,4,1520,0.462620065210956
frombelow,6,1520,-0.32472851998954866
frombelow,8,1520,-0.16185818888121872
frombelow,10,1520,-0.04944599271719312
frombelow,12,1520,-0.17515396170799563
frombelow,14,1520,-0.2492889834215788
frombelow,16,1520,-0.12586696105093437
frombelow,18,1520,0.2247836918714853
frombelow,20,1520,-0.05271839498075224
frombelow,22,1520,-0.13368638748415976
frombelow,24,1520,0.11663584636047944
frombelow,26,1520,0.029555304119142534
frombelow,28,1520,0.3356448624112701
frombelow,30,1520,0.142078159220803
frombelow,32,1520,-0.3657200056396775
frombelow,34,1520,-0.07734719348586339
frombelow,36,1520,-0.24961074219637852
frombelow,38,1520,-0.2527768070603059
frombelow,40,1468,-2.497981789219833
frombelow,42,1468,-2.409514641240341
frombelow,44,1468,-2.2799255372967524
frombelow,46,1468,-2.493284554803894
frombelow,48,1468,-2.504995066479381
frombelow,50,1468,-2.308883073655333
frombelow,52,1468,-2.5603780125321136
frombelow,54,1468,-2.329262204295611
frombelow,56,1468,-2.3632113276841467
frombelow,58,1468,-2.510114393333555
frombelow,60,1468,-2.70147031644093
frombelow,62,1468,-2.5026974621559988
frombelow,64,1468,-2.3721095992849213
frombelow,66,1468,-2.188899823325174
frombelow,68,1468,-2.2068055028755156
frombelow,70,1468,-1.9777506514006107
frombelow,72,1468,-2.190984943735046
frombelow,74,1468,-2.1410656584379537
frombelow,76,1468,-2.2131383698238496
frombelow,78,1468,-2.494841136762706
frombelow,80,1572,1.9735295543060545
frombelow,82,1572,2.1233910573243504
frombelow,84,1572,1.8506057617899514
frombelow,86,1572,2.1242747452895983
frombelow,88,1572,2.093477413096032
frombelow,90,1572,1.7689745345565526
frombelow,92,1572,1.85042141518596
frombelow,94,1572,1.8920678432477502
frombelow,96,1572,2.1690704248202963
frombelow,98,1572,1.9876025207408532
frombelow,100,1572,2.9067955369226057
frombelow,102,1572,1.7232100919949034
frombelow,104,1572,1.9695821305700592
frombelow,106,1572,1.871902730317757
frombelow,108,1572,2.073416944039927
frombelow,110,1572,1.9093819076675076
frombelow,112,1572,2.123407787977142
frombelow,114,1572,2.0821700293721577
frombelow,116,1572,2.445901072148419
frombelow,118,1572,2.0185568296017053
