rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
E,1609784,arm,0,1,inner,1520,1520,,,,,,,0,0,0
S,1609875,pre,0,1,inner,1520,1520,-600,-1576,-17024,33,21,-27,2,1,91
S,1610935,pre,0,1,inner,1520,1520,-656,-1664,-17032,37,20,-24,0,2,151
S,1611861,pre,0,1,inner,1520,1520,-552,-1512,-17104,29,26,-23,0,3,77
S,1612785,pre,0,1,inner,1520,1520,-640,-1560,-17048,35,15,-30,0,4,1
S,1613785,pre,0,1,inner,1520,1520,-552,-1600,-17040,30,13,-25,0,5,1
S,1614786,pre,0,1,inner,1520,1520,-600,-1584,-17024,34,19,-30,0,6,2
S,1615785,pre,0,1,inner,1520,1520,-504,-1728,-16960,32,20,-30,0,7,1
S,1616786,pre,0,1,inner,1520,1520,-576,-1656,-17000,33,23,-24,0,8,2
S,1617786,pre,0,1,inner,1520,1520,-552,-1576,-17136,36,25,-24,0,9,2
S,1618785,pre,0,1,inner,1520,1520,-576,-1768,-17008,35,19,-28,0,10,1
S,1619785,pre,0,1,inner,1520,1520,-616,-1592,-17032,35,14,-27,0,11,1
S,1620785,pre,0,1,inner,1520,1520,-680,-1512,-17040,35,19,-23,0,12,1
S,1621785,pre,0,1,inner,1520,1520,-616,-1688,-17064,35,18,-24,0,13,1
S,1622785,pre,0,1,inner,1520,1520,-568,-1608,-16992,33,15,-29,0,14,1
S,1623785,pre,0,1,inner,1520,1520,-536,-1640,-17016,36,12,-29,0,15,1
S,1624786,pre,0,1,inner,1520,1520,-592,-1592,-17128,32,15,-27,0,16,2
S,1625786,pre,0,1,inner,1520,1520,-688,-1600,-17120,29,23,-26,0,17,2
S,1626785,pre,0,1,inner,1520,1520,-696,-1616,-16952,38,22,-25,0,18,1
S,1627785,pre,0,1,inner,1520,1520,-608,-1584,-16920,36,23,-28,0,19,1
