rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,7975,health,0,-1,none,1520,1520,-264,-576,-17064,26,18,-23,0,0,5
S,9103,health,0,-1,none,1520,1520,-312,-520,-17000,28,14,-20,0,1,133
S,10019,health,0,-1,none,1520,1520,-296,-600,-17032,30,20,-29,0,2,49
S,10979,health,0,-1,none,1520,1520,-224,-528,-17064,35,20,-25,0,3,9
S,11978,health,0,-1,none,1520,1520,-240,-704,-16928,33,26,-25,0,4,8
S,12977,health,0,-1,none,1520,1520,-256,-552,-17056,26,22,-25,0,5,7
S,13976,health,0,-1,none,1520,1520,-256,-536,-17104,28,20,-26,0,6,6
S,14975,health,0,-1,none,1520,1520,-248,-576,-17152,27,21,-25,0,7,5
S,15974,health,0,-1,none,1520,1520,-304,-584,-17072,32,25,-29,0,8,4
S,16973,health,0,-1,none,1520,1520,-208,-536,-17056,30,20,-28,0,9,3
S,17972,health,0,-1,none,1520,1520,-248,-704,-17056,29,24,-27,0,10,2
S,18971,health,0,-1,none,1520,1520,-208,-656,-17136,36,20,-23,0,11,1
S,19981,health,0,-1,none,1520,1520,-328,-776,-17096,33,20,-22,0,12,11
S,20980,health,0,-1,none,1520,1520,-400,-656,-17144,31,17,-23,0,13,10
S,21979,health,0,-1,none,1520,1520,-448,-728,-17160,32,18,-25,0,14,9
S,22978,health,0,-1,none,1520,1520,-288,-720,-17176,35,15,-32,0,15,8
S,23977,health,0,-1,none,1520,1520,-312,-608,-17112,30,19,-32,0,16,7
S,24976,health,0,-1,none,1520,1520,-320,-616,-17168,37,24,-23,0,17,6
S,25975,health,0,-1,none,1520,1520,-288,-632,-17096,37,12,-24,0,18,5
S,26974,health,0,-1,none,1520,1520,-328,-600,-17096,34,9,-19,0,19,4
S,27973,health,0,-1,none,1520,1520,-408,-632,-17176,34,17,-23,0,20,3
S,28973,health,0,-1,none,1520,1520,-304,-616,-17064,36,17,-23,0,21,3
S,29972,health,0,-1,none,1520,1520,-304,-536,-17072,28,14,-28,0,22,2
S,30971,health,0,-1,none,1520,1520,-288,-624,-17136,29,18,-28,0,23,1
S,31981,health,0,-1,none,1520,1520,-352,-656,-17184,31,13,-22,0,24,11
S,32980,health,0,-1,none,1520,1520,-296,-624,-17080,32,15,-18,0,25,10
S,33979,health,0,-1,none,1520,1520,-288,-648,-17152,34,20,-23,0,26,9
S,34978,health,0,-1,none,1520,1520,-328,-544,-17112,32,20,-28,0,27,8
S,35977,health,0,-1,none,1520,1520,-264,-632,-17104,32,17,-23,0,28,7
S,36976,health,0,-1,none,1520,1520,-344,-648,-17008,37,17,-24,0,29,6
S,37975,health,0,-1,none,1520,1520,-232,-632,-16984,32,17,-25,0,30,5
S,38974,health,0,-1,none,1520,1520,-256,-688,-17008,30,18,-27,0,31,4
S,39973,health,0,-1,none,1520,1520,-296,-696,-17112,37,18,-32,0,32,3
S,40972,health,0,-1,none,1520,1520,-256,-528,-17016,32,21,-27,0,33,2
S,41971,health,0,-1,none,1520,1520,-328,-616,-16976,31,14,-30,0,34,1
S,42981,health,0,-1,none,1520,1520,-296,-696,-17064,33,20,-26,0,35,11
S,43980,health,0,-1,none,1520,1520,-408,-728,-17136,32,17,-25,0,36,10
S,44979,health,0,-1,none,1520,1520,-368,-592,-17056,30,18,-30,0,37,9
S,45978,health,0,-1,none,1520,1520,-296,-592,-17080,32,17,-30,0,38,8
S,46977,health,0,-1,none,1520,1520,-368,-656,-17144,32,16,-28,0,39,7
S,47976,health,0,-1,none,1520,1520,-200,-680,-17104,29,19,-27,0,40,6
S,48975,health,0,-1,none,1520,1520,-272,-632,-17064,33,19,-30,0,41,5
S,49974,health,0,-1,none,1520,1520,-208,-504,-17064,29,19,-28,0,42,4
S,50973,health,0,-1,none,1520,1520,-304,-680,-17024,31,16,-21,0,43,3
S,51972,health,0,-1,none,1520,1520,-368,-664,-17024,35,18,-27,0,44,2
S,52971,health,0,-1,none,1520,1520,-344,-688,-17064,33,20,-29,0,45,1
S,53981,health,0,-1,none,1520,1520,-232,-752,-17040,32,16,-25,0,46,11
S,54980,health,0,-1,none,1520,1520,-160,-632,-17088,32,21,-30,0,47,10
S,55979,health,0,-1,none,1520,1520,-272,-616,-17176,32,19,-26,0,48,9
S,56978,health,0,-1,none,1520,1520,-312,-680,-16992,28,25,-22,0,49,8
S,57977,health,0,-1,none,1520,1520,-248,-664,-16976,33,19,-23,0,50,7
S,58976,health,0,-1,none,1520,1520,-280,-584,-17040,26,20,-30,0,51,6
S,59975,health,0,-1,none,1520,1520,-272,-552,-17056,28,20,-26,0,52,5
S,60974,health,0,-1,none,1520,1520,-312,-664,-17184,37,22,-27,0,53,4
S,61973,health,0,-1,none,1520,1520,-312,-680,-17184,33,24,-30,0,54,3
S,62972,health,0,-1,none,1520,1520,-272,-672,-17040,26,23,-28,0,55,2
S,63971,health,0,-1,none,1520,1520,-328,-696,-17048,31,19,-28,0,56,1
S,64971,health,0,-1,none,1520,1520,-272,-704,-17000,27,16,-28,0,57,1
S,65981,health,0,-1,none,1520,1520,-344,-600,-17056,28,19,-25,0,58,11
S,66981,health,0,-1,none,1520,1520,-320,-648,-17096,34,20,-21,0,59,11
S,67980,health,0,-1,none,1520,1520,-408,-640,-17192,37,27,-21,0,60,10
S,68979,health,0,-1,none,1520,1520,-304,-616,-17056,30,22,-23,0,61,9
S,69978,health,0,-1,none,1520,1520,-240,-608,-17128,30,20,-23,0,62,8
S,70977,health,0,-1,none,1520,1520,-336,-696,-17088,30,21,-27,0,63,7
S,71976,health,0,-1,none,1520,1520,-336,-680,-17104,32,23,-26,0,64,6
S,72975,health,0,-1,none,1520,1520,-184,-560,-17144,27,23,-20,0,65,5
S,73974,health,0,-1,none,1520,1520,-352,-696,-17032,31,19,-20,0,66,4
S,74973,health,0,-1,none,1520,1520,-400,-576,-17136,29,19,-28,0,67,3
S,75972,health,0,-1,none,1520,1520,-296,-672,-17024,26,21,-23,0,68,2
S,76971,health,0,-1,none,1520,1520,-304,-640,-17040,25,18,-28,0,69,1
S,77981,health,0,-1,none,1520,1520,-408,-696,-16952,31,16,-25,0,70,11
S,78980,health,0,-1,none,1520,1520,-368,-648,-17040,28,15,-29,0,71,10
S,79979,health,0,-1,none,1520,1520,-296,-744,-17120,30,22,-25,0,72,9
S,80978,health,0,-1,none,1520,1520,-280,-664,-17064,33,16,-28,0,73,8
S,81977,health,0,-1,none,1520,1520,-384,-760,-16976,30,21,-30,0,74,7
S,82976,health,0,-1,none,1520,1520,-320,-624,-17088,31,24,-24,0,75,6
S,83975,health,0,-1,none,1520,1520,-192,-584,-17048,27,17,-24,0,76,5
S,84974,health,0,-1,none,1520,1520,-192,-616,-17056,30,16,-32,0,77,4
S,85973,health,0,-1,none,1520,1520,-256,-624,-17192,35,16,-30,0,78,3
S,86973,health,0,-1,none,1520,1520,-296,-552,-17008,33,15,-27,0,79,3
S,87972,health,0,-1,none,1520,1520,-208,-560,-17056,28,18,-27,0,80,2
S,88971,health,0,-1,none,1520,1520,-312,-448,-17016,34,23,-27,0,81,1
S,89981,health,0,-1,none,1520,1520,-288,-528,-17048,37,22,-29,0,82,11
S,90980,health,0,-1,none,1520,1520,-248,-632,-17024,34,16,-30,0,83,10
S,91979,health,0,-1,none,1520,1520,-296,-624,-17064,40,17,-22,0,84,9
S,92978,health,0,-1,none,1520,1520,-192,-584,-17064,33,19,-27,0,85,8
