rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
E,1609693,arm,0,1,inner,1520,1520,,,,,,,0,0,0
S,1609811,pre,0,1,inner,1520,1520,-424,-688,-17080,33,16,-25,2,1,118
S,1610879,pre,0,1,inner,1520,1520,-248,-680,-17064,30,16,-28,2,2,186
S,1611826,pre,0,1,inner,1520,1520,-312,-664,-17136,29,15,-30,0,3,133
S,1612773,pre,0,1,inner,1520,1520,-336,-608,-17064,32,18,-23,0,4,80
S,1613718,pre,0,1,inner,1520,1520,-304,-672,-17056,31,17,-26,0,5,25
S,1614694,pre,0,1,inner,1520,1520,-400,-648,-17080,33,17,-27,0,6,1
S,1615694,pre,0,1,inner,1520,1520,-216,-744,-16968,31,19,-26,0,7,1
S,1616694,pre,0,1,inner,1520,1520,-320,-640,-17128,32,20,-21,0,8,1
S,1617694,pre,0,1,inner,1520,1520,-272,-736,-17224,35,18,-27,0,9,1
S,1618694,pre,0,1,inner,1520,1520,-200,-560,-17088,33,20,-27,0,10,1
S,1619694,pre,0,1,inner,1520,1520,-232,-688,-17096,36,22,-33,0,11,1
S,1620694,pre,0,1,inner,1520,1520,-248,-656,-17064,33,17,-28,0,12,1
S,1621694,pre,0,1,inner,1520,1520,-360,-624,-17032,32,17,-22,0,13,1
S,1622694,pre,0,1,inner,1520,1520,-344,-624,-17072,28,18,-22,0,14,1
S,1623694,pre,0,1,inner,1520,1520,-200,-584,-17136,35,17,-26,0,15,1
S,1624694,pre,0,1,inner,1520,1520,-280,-680,-17072,30,16,-24,0,16,1
S,1625694,pre,0,1,inner,1520,1520,-288,-536,-17048,29,18,-18,0,17,1
S,1626694,pre,0,1,inner,1520,1520,-312,-616,-17088,28,16,-21,0,18,1
S,1627694,pre,0,1,inner,1520,1520,-256,-632,-17128,31,19,-26,0,19,1
S,1628694,pre,0,1,inner,1520,1520,-264,-640,-17016,30,18,-24,0,20,1
S,1629694,pre,0,1,inner,1520,1520,-200,-688,-17048,31,23,-23,0,21,1
S,1630694,pre,0,1,inner,1520,1520,-256,-616,-17096,35,21,-21,0,22,1
S,1631694,pre,0,1,inner,1520,1520,-224,-592,-17184,39,19,-29,0,23,1
S,1632694,pre,0,1,inner,1520,1520,-288,-576,-17032,34,21,-26,0,24,1
S,1633694,pre,0,1,inner,1520,1520,-192,-656,-17120,36,22,-25,0,25,1
S,1634694,pre,0,1,inner,1520,1520,-208,-664,-17096,34,25,-27,0,26,1
S,1635694,pre,0,1,inner,1520,1520,-304,-640,-17040,31,23,-30,0,27,1
S,1636694,pre,0,1,inner,1520,1520,-360,-496,-16968,36,29,-27,0,28,1
S,1637694,pre,0,1,inner,1520,1520,-248,-624,-17080,34,21,-25,0,29,1
S,1638694,pre,0,1,inner,1520,1520,-344,-600,-17088,26,24,-21,0,30,1
S,1639694,pre,0,1,inner,1520,1520,-328,-560,-17224,30,23,-27,0,31,1
S,1640694,pre,0,1,inner,1520,1520,-304,-632,-16984,26,22,-26,0,32,1
S,1641694,pre,0,1,inner,1520,1520,-200,-592,-17096,28,15,-28,0,33,1
S,1642694,pre,0,1,inner,1520,1520,-328,-832,-17056,27,17,-25,0,34,1
S,1643694,pre,0,1,inner,1520,1520,-320,-536,-17104,29,23,-23,0,35,1
S,1644694,pre,0,1,inner,1520,1520,-376,-504,-17144,33,17,-25,0,36,1
S,1645694,pre,0,1,inner,1520,1520,-296,-600,-17008,30,20,-29,0,37,1
S,1646694,pre,0,1,inner,1520,1520,-296,-568,-17048,30,12,-28,0,38,1
S,1647694,pre,0,1,inner,1520,1520,-232,-568,-17048,28,23,-28,0,39,1
S,1648694,pre,0,1,inner,1520,1520,-296,-720,-17112,29,17,-25,0,40,1
S,1649694,pre,0,1,inner,1520,1520,-304,-528,-17104,34,18,-29,0,41,1
S,1650694,pre,0,1,inner,1520,1520,-296,-672,-17024,31,19,-27,0,42,1
S,1651694,pre,0,1,inner,1520,1520,-264,-648,-17136,27,21,-26,0,43,1
S,1652694,pre,0,1,inner,1520,1520,-408,-640,-17112,29,21,-24,0,44,1
S,1653694,pre,0,1,inner,1520,1520,-424,-664,-17128,35,25,-17,0,45,1
S,1654694,pre,0,1,inner,1520,1520,-336,-640,-17152,27,22,-23,0,46,1
S,1655694,pre,0,1,inner,1520,1520,-360,-552,-17104,25,19,-27,0,47,1
S,1656694,pre,0,1,inner,1520,1520,-360,-584,-17024,29,21,-22,0,48,1
S,1657694,pre,0,1,inner,1520,1520,-208,-560,-17112,27,23,-24,0,49,1
S,1658694,pre,0,1,inner,1520,1520,-232,-624,-17224,26,16,-22,0,50,1
S,1659694,pre,0,1,inner,1520,1520,-384,-704,-17136,35,19,-27,0,51,1
S,1660694,pre,0,1,inner,1520,1520,-296,-680,-16912,36,18,-26,0,52,1
S,1661694,pre,0,1,inner,1520,1520,-272,-688,-17072,35,21,-25,0,53,1
S,1662694,pre,0,1,inner,1520,1520,-184,-616,-17168,30,24,-23,0,54,1
S,1663694,pre,0,1,inner,1520,1520,-152,-608,-17040,30,19,-25,0,55,1
S,1664694,pre,0,1,inner,1520,1520,-192,-616,-16992,30,14,-24,0,56,1
S,1665694,pre,0,1,inner,1520,1520,-280,-576,-17064,29,17,-25,0,57,1
S,1666694,pre,0,1,inner,1520,1520,-400,-680,-17168,30,15,-28,0,58,1
S,1667694,pre,0,1,inner,1520,1520,-208,-552,-16992,33,16,-24,0,59,1
