rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
E,1609622,arm,0,0,outer,1520,1520,,,,,,,0,0,0
S,1609729,pre,0,0,outer,1520,1520,-344,-504,-17144,31,23,-29,2,1,107
S,1610838,pre,0,0,outer,1520,1520,-344,-568,-17192,30,24,-29,2,2,216
S,1611750,pre,0,0,outer,1520,1520,-264,-520,-17016,27,20,-23,0,3,128
S,1612685,pre,0,0,outer,1520,1520,-176,-400,-17112,31,23,-30,0,4,63
S,1613623,pre,0,0,outer,1520,1520,-128,-504,-17064,30,16,-22,0,5,1
S,1614623,pre,0,0,outer,1520,1520,-280,-552,-17160,38,18,-24,0,6,1
S,1615624,pre,0,0,outer,1520,1520,-232,-560,-17040,34,16,-24,0,7,2
S,1616624,pre,0,0,outer,1520,1520,-288,-656,-17136,30,16,-25,0,8,2
S,1617623,pre,0,0,outer,1520,1520,-296,-680,-17128,37,13,-27,0,9,1
S,1618623,pre,0,0,outer,1520,1520,-224,-520,-17040,32,13,-27,0,10,1
S,1619623,pre,0,0,outer,1520,1520,-272,-496,-17064,31,14,-25,0,11,1
S,1620623,pre,0,0,outer,1520,1520,-256,-520,-17072,30,16,-28,0,12,1
S,1621623,pre,0,0,outer,1520,1520,-232,-536,-17016,32,17,-31,0,13,1
S,1622623,pre,0,0,outer,1520,1520,-264,-640,-17024,29,19,-30,0,14,1
S,1623623,pre,0,0,outer,1520,1520,-248,-600,-16992,33,16,-27,0,15,1
S,1624623,pre,0,0,outer,1520,1520,-112,-592,-17128,30,19,-22,0,16,1
S,1625623,pre,0,0,outer,1520,1520,-168,-536,-16984,27,25,-29,0,17,1
S,1626623,pre,0,0,outer,1520,1520,-176,-560,-16928,26,21,-26,0,18,1
S,1627623,pre,0,0,outer,1520,1520,-184,-560,-17000,26,13,-18,0,19,1
S,1628623,pre,0,0,outer,1520,1520,-320,-528,-17080,28,20,-24,0,20,1
S,1629623,pre,0,0,outer,1520,1520,-256,-504,-17136,28,17,-28,0,21,1
S,1630623,pre,0,0,outer,1520,1520,-256,-632,-17096,32,18,-26,0,22,1
S,1631623,pre,0,0,outer,1520,1520,-240,-608,-17040,29,22,-23,0,23,1
S,1632623,pre,0,0,outer,1520,1520,-408,-576,-17088,29,16,-27,0,24,1
S,1633623,pre,0,0,outer,1520,1520,-248,-456,-17072,30,24,-25,0,25,1
S,1634624,pre,0,0,outer,1520,1520,-296,-536,-17144,32,21,-27,0,26,2
S,1635623,pre,0,0,outer,1520,1520,-344,-512,-17120,32,26,-30,0,27,1
S,1636623,pre,0,0,outer,1520,1520,-280,-464,-17016,29,20,-33,0,28,1
S,1637623,pre,0,0,outer,1520,1520,-272,-456,-17120,27,20,-26,0,29,1
S,1638623,pre,0,0,outer,1520,1520,-248,-560,-16960,32,20,-28,0,30,1
S,1639623,pre,0,0,outer,1520,1520,-264,-528,-17088,36,22,-25,0,31,1
S,1640624,pre,0,0,outer,1520,1520,-288,-552,-16984,29,17,-29,0,32,2
S,1641624,pre,0,0,outer,1520,1520,-280,-600,-17064,31,17,-29,0,33,2
S,1642623,pre,0,0,outer,1520,1520,-296,-560,-17104,33,13,-26,0,34,1
S,1643624,pre,0,0,outer,1520,1520,-312,-504,-17064,32,25,-30,0,35,2
S,1644623,pre,0,0,outer,1520,1520,-168,-576,-16992,32,15,-23,0,36,1
S,1645623,pre,0,0,outer,1520,1520,-248,-664,-17064,30,21,-31,0,37,1
S,1646624,pre,0,0,outer,1520,1520,-328,-488,-17032,31,25,-26,0,38,2
S,1647623,pre,0,0,outer,1520,1520,-376,-472,-17088,27,20,-30,0,39,1
S,1648623,pre,0,0,outer,1520,1520,-280,-632,-17024,29,17,-27,0,40,1
S,1649624,pre,0,0,outer,1520,1520,-232,-632,-17200,34,19,-23,0,41,2
S,1650624,pre,0,0,outer,1520,1520,-288,-520,-17120,29,19,-27,0,42,2
S,1651623,pre,0,0,outer,1520,1520,-272,-664,-17168,29,19,-24,0,43,1
S,1652624,pre,0,0,outer,1520,1520,-376,-536,-17080,29,14,-26,0,44,2
S,1653624,pre,0,0,outer,1520,1520,-288,-512,-17128,30,19,-27,0,45,2
S,1654623,pre,0,0,outer,1520,1520,-240,-584,-17080,33,20,-26,0,46,1
S,1655623,pre,0,0,outer,1520,1520,-224,-520,-17000,28,19,-28,0,47,1
S,1656623,pre,0,0,outer,1520,1520,-240,-584,-16960,32,22,-24,0,48,1
S,1657623,pre,0,0,outer,1520,1520,-320,-520,-17112,32,17,-22,0,49,1
S,1658623,pre,0,0,outer,1520,1520,-232,-424,-17064,33,21,-30,0,50,1
S,1659623,pre,0,0,outer,1520,1520,-360,-560,-16936,36,16,-27,0,51,1
S,1660623,pre,0,0,outer,1520,1520,-368,-608,-17072,30,16,-24,0,52,1
S,1661624,pre,0,0,outer,1520,1520,-328,-584,-17160,32,17,-21,0,53,2
S,1662624,pre,0,0,outer,1520,1520,-264,-640,-16976,36,19,-29,0,54,2
S,1663623,pre,0,0,outer,1520,1520,-176,-632,-17072,28,23,-27,0,55,1
S,1664623,pre,0,0,outer,1520,1520,-272,-576,-17120,33,19,-22,0,56,1
S,1665623,pre,0,0,outer,1520,1520,-232,-648,-17128,35,14,-30,0,57,1
S,1666623,pre,0,0,outer,1520,1520,-288,-744,-17152,37,20,-26,0,58,1
S,1667623,pre,0,0,outer,1520,1520,-224,-576,-17136,32,20,-26,0,59,1
S,1668623,pre,0,0,outer,1520,1520,-200,-424,-17024,32,23,-29,0,60,1
S,1669623,pre,0,0,outer,1520,1520,-256,-448,-17072,37,15,-22,0,61,1
S,1670623,pre,0,0,outer,1520,1520,-288,-664,-17000,30,18,-22,0,62,1
S,1671623,pre,0,0,outer,1520,1520,-256,-544,-17088,30,21,-26,0,63,1
S,1672623,pre,0,0,outer,1520,1520,-264,-544,-17160,30,20,-28,0,64,1
S,1673623,pre,0,0,outer,1520,1520,-288,-560,-17088,29,17,-28,0,65,1
