rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
S,7962,health,0,-1,none,1520,1520,-368,-616,-17096,30,22,-21,0,0,5
S,9092,health,0,-1,none,1520,1520,-384,-544,-17032,25,21,-28,0,1,135
S,10007,health,0,-1,none,1520,1520,-320,-528,-17032,28,22,-26,0,2,50
S,10966,health,0,-1,none,1520,1520,-360,-600,-17072,34,18,-25,0,3,9
S,11965,health,0,-1,none,1520,1520,-304,-632,-17056,30,15,-22,0,4,8
S,12964,health,0,-1,none,1520,1520,-296,-576,-17056,33,14,-30,0,5,7
S,13963,health,0,-1,none,1520,1520,-328,-560,-17096,35,20,-29,0,6,6
S,14963,health,0,-1,none,1520,1520,-312,-496,-17120,37,17,-31,0,7,6
S,15963,health,0,-1,none,1520,1520,-224,-504,-17024,35,19,-30,0,8,6
S,16962,health,0,-1,none,1520,1520,-248,-576,-17032,36,25,-29,0,9,5
S,17961,health,0,-1,none,1520,1520,-384,-624,-17104,31,24,-28,0,10,4
S,18961,health,0,-1,none,1520,1520,-296,-656,-17104,32,14,-23,0,11,4
S,19960,health,0,-1,none,1520,1520,-352,-688,-16976,35,20,-22,0,12,3
S,20959,health,0,-1,none,1520,1520,-280,-592,-17048,38,24,-26,0,13,2
S,21958,health,0,-1,none,1520,1520,-208,-592,-17088,34,21,-23,0,14,1
S,22968,health,0,-1,none,1520,1520,-208,-520,-17168,37,22,-29,0,15,11
S,23967,health,0,-1,none,1520,1520,-224,-432,-17000,34,19,-27,0,16,10
S,24966,health,0,-1,none,1520,1520,-240,-552,-16976,41,19,-27,0,17,9
S,25965,health,0,-1,none,1520,1520,-320,-632,-17080,37,23,-24,0,18,8
S,26964,health,0,-1,none,1520,1520,-176,-456,-17104,29,16,-25,0,19,7
S,27963,health,0,-1,none,1520,1520,-272,-504,-17056,27,17,-32,0,20,6
S,28962,health,0,-1,none,1520,1520,-296,-624,-17088,34,21,-27,0,21,5
S,29961,health,0,-1,none,1520,1520,-176,-552,-16944,32,22,-28,0,22,4
S,30960,health,0,-1,none,1520,1520,-360,-496,-17088,31,20,-21,0,23,3
S,31960,health,0,-1,none,1520,1520,-296,-496,-16896,29,18,-25,0,24,3
S,32960,health,0,-1,none,1520,1520,-200,-648,-17112,28,17,-30,0,25,3
S,33959,health,0,-1,none,1520,1520,-304,-568,-17128,33,23,-32,0,26,2
S,34959,health,0,-1,none,1520,1520,-280,-704,-17056,31,23,-28,0,27,2
S,35958,health,0,-1,none,1520,1520,-160,-568,-17072,31,24,-27,0,28,1
S,36958,health,0,-1,none,1520,1520,-368,-664,-17064,33,25,-27,0,29,1
S,37968,health,0,-1,none,1520,1520,-272,-544,-17136,30,20,-26,0,30,11
S,38967,health,0,-1,none,1520,1520,-312,-632,-17072,34,20,-23,0,31,10
S,39966,health,0,-1,none,1520,1520,-264,-704,-17088,33,15,-19,0,32,9
S,40965,health,0,-1,none,1520,1520,-232,-504,-17080,35,20,-25,0,33,8
S,41964,health,0,-1,none,1520,1520,-328,-496,-17112,36,18,-25,0,34,7
S,42963,health,0,-1,none,1520,1520,-416,-672,-17064,32,19,-27,0,35,6
S,43962,health,0,-1,none,1520,1520,-296,-584,-17000,31,21,-30,0,36,5
S,44961,health,0,-1,none,1520,1520,-200,-552,-17032,32,19,-25,0,37,4
S,45960,health,0,-1,none,1520,1520,-264,-544,-17104,28,20,-23,0,38,3
S,46959,health,0,-1,none,1520,1520,-328,-552,-17176,30,18,-17,0,39,2
S,47958,health,0,-1,none,1520,1520,-432,-568,-17056,33,19,-23,0,40,1
S,48968,health,0,-1,none,1520,1520,-232,-616,-17056,33,19,-24,0,41,11
S,49967,health,0,-1,none,1520,1520,-320,-584,-17056,31,18,-31,0,42,10
S,50966,health,0,-1,none,1520,1520,-328,-600,-16992,39,18,-27,0,43,9
S,51965,health,0,-1,none,1520,1520,-336,-552,-17112,30,16,-28,0,44,8
S,52964,health,0,-1,none,1520,1520,-360,-616,-17088,28,18,-28,0,45,7
S,53963,health,0,-1,none,1520,1520,-384,-520,-17000,29,14,-32,0,46,6
S,54962,health,0,-1,none,1520,1520,-264,-600,-17016,31,17,-30,0,47,5
S,55961,health,0,-1,none,1520,1520,-296,-632,-17104,34,14,-27,0,48,4
S,56960,health,0,-1,none,1520,1520,-288,-600,-17056,25,11,-31,0,49,3
