rec,t_us,phase,seq,axis,gimbal,cmd_outer,cmd_inner,ax,ay,az,gx,gy,gz,flags,packet_seq,jitter_us
E,1609686,arm,0,0,outer,1520,1520,,,,,,,0,0,0
S,1609804,pre,0,0,outer,1520,1520,-264,-608,-17072,25,19,-25,2,1,118
S,1610872,pre,0,0,outer,1520,1520,-384,-552,-17224,30,19,-29,2,2,186
S,1611810,pre,0,0,outer,1520,1520,-304,-592,-17208,32,15,-23,0,3,124
S,1612758,pre,0,0,outer,1520,1520,-216,-576,-17128,27,20,-22,0,4,72
S,1613705,pre,0,0,outer,1520,1520,-248,-496,-17112,27,18,-32,0,5,19
S,1614688,pre,0,0,outer,1520,1520,-336,-584,-17200,29,23,-21,0,6,2
S,1615687,pre,0,0,outer,1520,1520,-392,-504,-16992,31,17,-22,0,7,1
S,1616687,pre,0,0,outer,1520,1520,-360,-568,-17136,29,18,-30,0,8,1
S,1617687,pre,0,0,outer,1520,1520,-224,-536,-17032,30,21,-28,0,9,1
S,1618687,pre,0,0,outer,1520,1520,-200,-592,-17120,29,20,-31,0,10,1
S,1619687,pre,0,0,outer,1520,1520,-232,-680,-17080,29,21,-31,0,11,1
S,1620687,pre,0,0,outer,1520,1520,-312,-656,-17088,32,19,-28,0,12,1
S,1621687,pre,0,0,outer,1520,1520,-296,-584,-17072,34,22,-23,0,13,1
S,1622687,pre,0,0,outer,1520,1520,-336,-696,-17008,34,23,-28,0,14,1
S,1623687,pre,0,0,outer,1520,1520,-264,-576,-17064,31,24,-29,0,15,1
S,1624687,pre,0,0,outer,1520,1520,-360,-752,-17088,30,18,-25,0,16,1
S,1625687,pre,0,0,outer,1520,1520,-392,-616,-17144,31,18,-27,0,17,1
S,1626687,pre,0,0,outer,1520,1520,-320,-616,-17064,33,19,-25,0,18,1
S,1627687,pre,0,0,outer,1520,1520,-328,-760,-17064,25,22,-31,0,19,1
S,1628687,pre,0,0,outer,1520,1520,-296,-592,-17072,29,23,-32,0,20,1
S,1629687,pre,0,0,outer,1520,1520,-184,-496,-17032,30,20,-28,0,21,1
S,1630687,pre,0,0,outer,1520,1520,-152,-560,-17080,34,17,-24,0,22,1
S,1631687,pre,0,0,outer,1520,1520,-328,-576,-17128,34,26,-25,0,23,1
S,1632687,pre,0,0,outer,1520,1520,-344,-592,-17080,36,18,-30,0,24,1
S,1633687,pre,0,0,outer,1520,1520,-384,-488,-17096,33,18,-29,0,25,1
S,1634687,pre,0,0,outer,1520,1520,-272,-584,-16984,31,22,-29,0,26,1
S,1635687,pre,0,0,outer,1520,1520,-304,-624,-16904,34,14,-27,0,27,1
S,1636687,pre,0,0,outer,1520,1520,-224,-568,-16992,32,18,-31,0,28,1
S,1637687,pre,0,0,outer,1520,1520,-184,-512,-17000,33,20,-35,0,29,1
S,1638687,pre,0,0,outer,1520,1520,-360,-600,-17104,33,21,-23,0,30,1
S,1639687,pre,0,0,outer,1520,1520,-328,-560,-17136,33,21,-25,0,31,1
S,1640687,pre,0,0,outer,1520,1520,-136,-512,-17032,35,22,-27,0,32,1
S,1641687,pre,0,0,outer,1520,1520,-304,-608,-17080,37,22,-26,0,33,1
S,1642687,pre,0,0,outer,1520,1520,-248,-544,-16952,39,23,-29,0,34,1
S,1643687,pre,0,0,outer,1520,1520,-232,-632,-17112,29,21,-32,0,35,1
S,1644687,pre,0,0,outer,1520,1520,-240,-664,-17080,33,15,-27,0,36,1
S,1645687,pre,0,0,outer,1520,1520,-368,-560,-17056,35,20,-22,0,37,1
S,1646687,pre,0,0,outer,1520,1520,-248,-568,-17040,34,19,-21,0,38,1
S,1647687,pre,0,0,outer,1520,1520,-208,-560,-17120,34,19,-20,0,39,1
S,1648687,pre,0,0,outer,1520,1520,-304,-616,-17040,34,20,-25,0,40,1
S,1649687,pre,0,0,outer,1520,1520,-400,-608,-17120,28,20,-23,0,41,1
S,1650687,pre,0,0,outer,1520,1520,-256,-640,-17032,29,13,-21,0,42,1
S,1651687,pre,0,0,outer,1520,1520,-272,-616,-17000,29,21,-30,0,43,1
S,1652687,pre,0,0,outer,1520,1520,-280,-632,-17096,31,19,-27,0,44,1
S,1653687,pre,0,0,outer,1520,1520,-232,-608,-17048,33,20,-24,0,45,1
S,1654687,pre,0,0,outer,1520,1520,-360,-560,-17016,31,14,-26,0,46,1
S,1655687,pre,0,0,outer,1520,1520,-312,-680,-17112,34,18,-29,0,47,1
S,1656687,pre,0,0,outer,1520,1520,-344,-512,-17056,28,17,-24,0,48,1
S,1657687,pre,0,0,outer,1520,1520,-280,-600,-17024,34,14,-29,0,49,1
S,1658687,pre,0,0,outer,1520,1520,-352,-672,-17056,33,16,-30,0,50,1
S,1659687,pre,0,0,outer,1520,1520,-256,-616,-17160,39,16,-31,0,51,1
S,1660687,pre,0,0,outer,1520,1520,-336,-616,-17016,31,16,-27,0,52,1
S,1661687,pre,0,0,outer,1520,1520,-416,-616,-17072,36,16,-27,0,53,1
S,1662687,pre,0,0,outer,1520,1520,-248,-616,-16992,36,15,-26,0,54,1
S,1663687,pre,0,0,outer,1520,1520,-232,-592,-17024,37,20,-30,0,55,1
S,1664687,pre,0,0,outer,1520,1520,-312,-632,-17032,32,17,-26,0,56,1
S,1665687,pre,0,0,outer,1520,1520,-224,-736,-17048,33,16,-24,0,57,1
S,1666687,pre,0,0,outer,1520,1520,-360,-520,-16984,38,22,-25,0,58,1
S,1667687,pre,0,0,outer,1520,1520,-336,-656,-16968,34,17,-28,0,59,1
S,1668687,pre,0,0,outer,1520,1520,-328,-488,-17032,27,16,-21,0,60,1
S,1669687,pre,0,0,outer,1520,1520,-192,-568,-17096,36,24,-23,0,61,1
S,1670687,pre,0,0,outer,1520,1520,-296,-608,-17048,35,20,-27,0,62,1
S,1671687,pre,0,0,outer,1520,1520,-240,-680,-17056,29,21,-24,0,63,1
S,1672687,pre,0,0,outer,1520,1520,-392,-616,-17088,29,16,-28,0,64,1
S,1673687,pre,0,0,outer,1520,1520,-224,-584,-17048,33,19,-23,0,65,1
S,1674687,pre,0,0,outer,1520,1520,-288,-568,-17104,38,23,-22,0,66,1
S,1675687,pre,0,0,outer,1520,1520,-280,-552,-17072,35,23,-22,0,67,1
S,1676687,pre,0,0,outer,1520,1520,-288,-536,-17024,32,17,-28,0,68,1
S,1677687,pre,0,0,outer,1520,1520,-320,-648,-17080,28,16,-28,0,69,1
S,1678687,pre,0,0,outer,1520,1520,-344,-552,-17160,30,18,-31,0,70,1
S,1679687,pre,0,0,outer,1520,1520,-328,-520,-17064,27,14,-26,0,71,1
