t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
1915677,1000,1.0,0.0066,-0.0249,0.0904,0.00620,0.00350,-0.00273,0.0,
1915697,1000,1.0,0.0996,0.0271,0.0494,-0.00380,0.00850,-0.00173,0.0,
1915717,1000,1.0,0.0596,-0.0129,-0.0966,0.00220,0.00250,0.00027,0.0,
1915737,1000,1.0,-0.2864,0.0181,-0.0296,0.00220,-0.02250,-0.00173,0.0,
1915757,1000,1.0,0.0896,0.0061,-0.1436,-0.00380,0.00750,-0.00273,0.0,
1915777,1000,1.0,0.1486,-0.1069,0.0214,0.01320,0.00750,0.00027,0.0,
1915797,1000,1.0,-0.0014,-0.1999,0.0314,0.01220,0.00250,0.00027,0.0,
1915817,1000,1.0,-0.0314,-0.0509,-0.0996,0.01020,0.00050,-0.00173,0.0,
1915837,1000,1.0,0.0146,-0.2199,-0.0136,0.01320,0.00550,-0.00173,0.0,
1915857,1000,1.0,-0.0134,0.2141,0.1494,-0.02180,-0.00250,0.00727,0.0,
1915877,1000,1.0,0.1626,-0.1719,0.1144,0.01220,0.01350,-0.00073,0.0,
1915897,1000,1.0,-0.0964,-0.0689,-0.0926,0.00320,-0.00450,0.00127,0.0,
1915917,1000,1.0,-0.0794,-0.1269,0.0234,0.00420,-0.00450,-0.00273,0.0,
1915937,1000,1.0,0.1116,0.1451,0.0414,-0.00580,0.00750,0.00327,0.0,
1915957,1000,1.0,0.0116,-0.1039,-0.0346,0.01020,-0.00550,-0.00073,0.0,
1915977,1000,1.0,-0.0794,-0.0099,-0.0156,0.00420,-0.00750,-0.00173,0.0,
1915997,1000,1.0,-0.0794,-0.1409,-0.1406,0.01320,-0.00150,-0.00373,0.0,
1916017,1000,1.0,0.0686,0.1291,-0.0626,-0.00380,0.00150,-0.00273,0.0,
1916037,1000,1.0,-0.0624,-0.0209,0.0414,0.00520,-0.00150,-0.00373,0.0,
