t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
1332710,1000,0.0,0.0804,0.0036,0.1610,-0.00122,0.00719,0.00675,0.0,
1332730,1000,0.0,-0.1936,-0.0194,-0.1150,0.00178,-0.00881,0.00175,0.0,
1332750,1000,0.0,0.0074,-0.0574,0.0110,0.00478,0.00419,0.00075,0.0,
1332770,1000,0.0,0.3114,0.1036,0.1350,-0.01622,0.02519,0.00675,0.0,
1332790,1000,0.0,-0.0446,0.0456,-0.0130,0.00078,-0.00181,-0.00025,0.0,
1332810,1000,0.0,-0.3016,0.0046,0.0190,0.00078,-0.02481,0.00375,0.0,
1332830,1000,0.0,0.3854,-0.1854,0.0450,0.00978,0.03519,0.00475,0.0,
1332850,1000,0.0,-0.0376,-0.0404,0.1840,-0.00022,0.00619,0.00475,0.0,
1332870,1000,0.0,-0.0676,0.0706,0.0980,-0.01122,0.00319,0.00675,0.0,
1332890,1000,0.0,-0.0506,0.0816,0.0340,-0.01222,0.00219,0.00475,0.0,
1332910,1000,0.0,0.0704,0.1296,0.0440,-0.01022,0.00819,0.00575,0.0,
1332930,1000,0.0,-0.0526,0.0876,-0.0120,-0.00322,0.00119,0.00375,0.0,
1332950,1000,0.0,-0.0266,0.0716,0.1160,-0.00722,0.00619,0.00675,0.0,
1332970,1000,0.0,-0.1346,0.0026,0.1740,-0.00722,-0.00981,0.00675,0.0,
1332990,1000,0.0,-0.1816,0.0086,0.0960,-0.00122,-0.01181,0.00475,0.0,
1333010,1000,0.0,0.0754,0.0346,0.1040,-0.00922,0.01219,0.00775,0.0,
1333030,1000,0.0,-0.0696,0.1506,0.1760,-0.01122,-0.00381,0.00775,0.0,
1333050,1000,0.0,-0.1896,0.2746,-0.0320,-0.02422,-0.01181,0.00575,0.0,
1333070,1000,0.0,0.1144,0.2676,0.0250,-0.02022,0.01719,0.00375,0.0,
1333090,1000,0.0,-0.0806,0.1416,0.0770,-0.01622,-0.00181,0.00675,0.0,
1333110,1000,0.0,-0.1086,0.0996,0.0670,-0.00922,-0.00581,0.00375,0.0,
1333130,1000,0.0,0.3374,-0.0594,0.2150,-0.00022,0.03719,0.00675,0.0,
1333150,1000,0.0,-0.0886,0.0176,0.0510,-0.00522,-0.00581,0.00475,0.0,
1333170,1000,0.0,0.1344,0.0676,0.1470,-0.00022,0.00919,0.00375,0.0,
1333190,1000,0.0,-0.0536,-0.0184,0.0080,-0.00422,0.00319,0.00575,0.0,
1333210,1000,0.0,0.3234,-0.1614,-0.0240,0.01678,0.02719,-0.00225,0.0,
1333230,1000,0.0,-0.2866,0.0336,0.0030,-0.00822,-0.01281,0.00275,0.0,
1333250,1000,0.0,0.1884,-0.0274,0.0710,-0.00722,0.01619,0.00575,0.0,
1333270,1000,0.0,-0.0336,0.0776,0.0540,-0.01022,-0.00081,0.00775,0.0,
1333290,1000,0.0,-0.0676,-0.0734,0.1100,0.00078,-0.00081,0.00175,0.0,
1333310,1000,0.0,-0.0526,-0.1774,0.0310,0.00578,0.00719,0.00275,0.0,
1333330,1000,0.0,-0.1896,-0.0434,0.0780,-0.00222,-0.00881,0.00475,0.0,
1333350,1000,0.0,0.0944,0.0976,0.0420,-0.01322,0.00919,0.00475,0.0,
1333370,1000,0.0,0.0504,0.0546,0.1140,-0.00922,0.00419,0.00775,0.0,
1333390,1000,0.0,-0.2606,0.0876,0.1430,-0.00922,-0.01481,0.00375,0.0,
