t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784822652.53012,,,,,,,,,,0.12481,0.08064,-0.15063,-0.00279,0.0102,1e-05,0.15063,1e-05,16.0
0.02,1784822652.55012,,,,,,,,,,0.32318,0.00768,-0.0841,0.00116,0.0234,0.00053,0.0841,0.00053,16.0
0.04,1784822652.57012,,,,,,,,,,0.13419,0.00449,-0.03582,0.00571,0.00886,-0.00253,0.03582,-0.00253,16.0
0.06,1784822652.59012,,,,,,,,,,-0.11103,0.06492,-0.09489,0.00257,-0.01015,-0.00344,0.09489,-0.00344,16.0
0.08,1784822652.61012,,,,,,,,,,-0.15997,0.09667,-0.07388,-0.0013,-0.01902,-0.002,0.07388,-0.002,16.0
0.1,1784822652.63012,,,,,,,,,,0.03233,-0.00518,0.03922,0.00469,-0.00235,-0.00196,-0.03922,-0.00196,16.0
0.12,1784822652.65012,,,,,,,,,,0.11883,-0.05978,0.10912,0.00564,0.00639,-0.00048,-0.10912,-0.00048,16.0
0.14,1784822652.67012,,,,,,,,,,-0.07959,0.0948,0.0679,-0.00242,-0.00964,-0.00149,-0.0679,-0.00149,16.0
0.16,1784822652.69012,,,,,,,,,,-0.04595,0.24875,0.01901,-0.01339,-0.00841,-0.00046,-0.01901,-0.00046,16.0
0.18,1784822652.71012,,,,,,,,,,0.05123,0.21354,-0.00935,-0.01531,-0.00157,0.00101,0.00935,0.00101,16.0
0.2,1784822652.73012,,,,,,,,,,-0.05793,0.2435,-0.03598,-0.0179,-0.00958,-0.001,0.03598,-0.001,16.0
0.22,1784822652.75012,,,,,,,,,,0.07913,0.10459,-0.00415,-0.00564,0.00165,-0.00197,0.00415,-0.00197,16.0
0.24,1784822652.77012,,,,,,,,,,-0.13853,0.06913,-0.00384,-0.00199,-0.01592,-0.00148,0.00384,-0.00148,16.0
