t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
4389257,1000,16.0,-1.2072,0.5418,-3.2515,-0.04700,-0.08129,-0.06546,0.0,
4389277,1000,16.0,-2.3632,-0.2562,-3.9375,0.06800,-0.11429,-0.04446,0.0,
4389297,1000,16.0,-3.2412,0.3188,-3.5375,0.06300,-0.21429,-0.01146,0.0,
4389317,1000,16.0,0.0598,0.3538,-3.7175,-0.09600,-0.03429,-0.06046,0.0,
4389337,1000,16.0,-0.2842,-0.9222,-2.4775,0.03200,0.03071,-0.03746,0.0,
4389357,1000,16.0,1.0428,-0.3962,-1.8815,-0.06900,0.11071,-0.04746,0.0,
4389377,1000,16.0,-0.0762,-0.8942,-3.9215,0.10500,-0.05729,-0.02446,0.0,
4389397,1000,16.0,-0.6902,-0.2502,-3.6325,0.05000,-0.08629,-0.04646,0.0,
4389417,1000,16.0,-2.0812,-0.2662,-3.8995,0.08200,-0.20529,-0.07346,0.0,
4389437,1000,16.0,0.5798,0.3018,-3.0665,-0.13100,0.07671,-0.06046,0.0,
4389457,1000,16.0,0.5688,0.0998,-3.4935,-0.07900,0.02371,-0.06446,0.0,
4389477,1000,16.0,1.7238,-0.5562,-3.6795,-0.02100,0.11271,-0.07946,0.0,
4389497,1000,16.0,0.1398,-0.6422,-4.4055,0.03000,0.09571,-0.05046,0.0,
4389517,1000,16.0,-1.0172,0.5988,-4.9055,0.05400,-0.12629,-0.04246,0.0,
4389537,1000,16.0,-1.8822,0.2278,-4.6375,0.07700,-0.15629,-0.05046,0.0,
4389557,1000,16.0,-0.9352,1.0868,-4.2565,-0.13900,-0.04629,-0.06946,0.0,
4389577,1000,16.0,0.9728,-0.1562,-4.0985,-0.00400,0.08171,-0.03046,0.0,
4389597,1000,16.0,-0.1352,1.2178,-3.9185,-0.17700,0.10471,-0.06246,0.0,
4389617,1000,16.0,-1.0932,0.0538,-4.5275,0.05700,-0.09029,-0.04246,0.0,
4389637,1000,16.0,-1.0622,0.6208,-4.5435,-0.02200,-0.07729,-0.05346,0.0,
4389657,1000,16.0,-0.9932,0.4058,-3.7985,0.01700,-0.09629,-0.05446,0.0,
4389677,1000,16.0,0.4248,0.8108,-3.4515,-0.13800,0.08771,-0.05246,0.0,
4389697,1000,16.0,0.3468,-0.1192,-3.8345,-0.05000,0.04871,-0.06146,0.0,
4389717,1000,16.0,-0.2262,-0.0792,-1.9455,-0.05600,-0.05829,-0.07546,0.0,
4389737,1000,16.0,-1.0142,-0.4732,-3.9475,0.10600,-0.13729,-0.04046,0.0,
4389757,1000,16.0,-0.8052,-0.8632,-3.2775,0.12800,-0.09729,-0.04746,0.0,
4389777,1000,16.0,-2.7282,-0.7972,-3.6135,0.12300,-0.24829,-0.06346,0.0,
4389797,1000,16.0,0.9708,0.5228,-2.9125,-0.13000,0.11471,-0.04646,0.0,
4389817,1000,16.0,0.1948,-0.2022,-2.2415,-0.04800,-0.01629,-0.04446,0.0,
4389837,1000,16.0,-0.4472,0.0938,-3.5525,-0.04300,-0.04729,-0.06346,0.0,
4389857,1000,16.0,-0.7982,-0.3252,-3.1755,0.09600,-0.09229,-0.05946,0.0,
4389877,1000,16.0,-1.3272,0.9768,-4.1435,-0.06100,-0.11729,-0.07146,0.0,
4389897,1000,16.0,-1.5662,0.1768,-4.5215,0.02600,-0.07829,-0.07246,0.0,
4389917,1000,16.0,0.2398,0.8828,-3.6015,-0.08400,-0.01129,-0.09546,0.0,
4389937,1000,16.0,0.9558,2.1398,-4.2275,-0.20300,0.08371,-0.05246,0.0,
4389957,1000,16.0,1.0718,0.4788,-4.1175,-0.10000,0.12771,-0.07746,0.0,
4389977,1000,16.0,-1.6792,0.8018,-5.5915,0.05100,-0.16329,-0.05746,0.0,
4389997,1000,16.0,-0.9722,0.9768,-4.3535,-0.04500,-0.08629,-0.05846,0.0,
4390017,1000,16.0,-2.5622,-0.7462,-4.7315,0.12600,-0.16629,-0.05046,0.0,
4390037,1000,16.0,1.5488,1.0888,-3.7645,-0.17000,0.13071,-0.05946,0.0,
4390057,1000,16.0,-1.4222,-0.9362,-3.5585,0.07100,-0.10729,-0.06846,0.0,
4390077,1000,16.0,-0.1502,-1.0602,-2.6325,0.02600,-0.03729,-0.06946,0.0,
4390097,1000,16.0,-1.6112,-0.1022,-4.0285,0.08900,-0.17729,-0.04446,0.0,
4390117,1000,16.0,-1.8132,-0.2622,-3.8805,0.06200,-0.17229,-0.05746,0.0,
4390137,1000,16.0,-0.1062,-0.3592,-3.7155,0.05900,-0.00929,-0.08246,0.0,
4390157,1000,16.0,2.0828,0.0238,-2.5935,-0.09400,0.16871,-0.05646,0.0,
4390177,1000,16.0,1.1978,-0.3492,-2.6475,-0.03100,0.08171,-0.07546,0.0,
4390197,1000,16.0,1.0418,0.1158,-2.7335,-0.09500,0.08871,-0.07046,0.0,
4390217,1000,16.0,-1.3252,1.0698,-3.7735,0.02900,-0.12929,-0.04546,0.0,
4390237,1000,16.0,-0.1902,1.0328,-3.6585,-0.03800,-0.01029,-0.06746,0.0,
4390257,1000,16.0,-1.2862,-0.8172,-4.0775,0.14200,-0.04529,-0.05246,0.0,
4390277,1000,16.0,0.6308,0.3588,-2.6815,-0.09900,0.11271,-0.08646,0.0,
4390297,1000,16.0,0.0328,-0.0892,-3.6135,-0.00900,0.06671,-0.04346,0.0,
4390317,1000,16.0,0.5708,-0.1572,-3.7825,-0.02500,0.08671,-0.06346,0.0,
4390337,1000,16.0,-1.6442,-0.1432,-5.0885,0.08100,-0.06829,-0.05946,0.0,
4390357,1000,16.0,-0.4032,0.3008,-5.2785,0.01400,-0.11629,-0.04746,0.0,
4390377,1000,16.0,-0.8792,-0.0812,-4.1685,0.02800,-0.09229,-0.07546,0.0,
4390397,1000,16.0,0.7458,-0.5902,-4.0785,-0.04000,0.11071,-0.07446,0.0,
4390417,1000,16.0,-0.1592,-1.2822,-3.7505,0.09000,-0.07529,-0.07046,0.0,
4390437,1000,16.0,0.7998,0.0128,-4.2235,-0.08200,0.03771,-0.06846,0.0,
4390457,1000,16.0,-0.5552,-0.8132,-3.4315,0.11200,-0.07229,-0.03346,0.0,
4390477,1000,16.0,-0.3002,-0.8102,-3.7495,0.07700,-0.04229,-0.07646,0.0,
4390497,1000,16.0,-1.2562,-1.0442,-3.6495,0.15500,-0.08529,-0.04046,0.0,
4390517,1000,16.0,2.2088,-1.3592,-2.3055,-0.00500,0.22171,-0.06546,0.0,
4390537,1000,16.0,0.7478,-0.6872,-3.4555,0.04600,0.06271,-0.04146,0.0,
4390557,1000,16.0,1.1928,-0.6992,-2.7425,0.03000,0.10371,-0.07346,0.0,
4390577,1000,16.0,-1.7882,0.5288,-3.9375,0.06400,-0.14529,-0.06446,0.0,
4390597,1000,16.0,-0.5762,1.1618,-3.2615,-0.07400,-0.03229,-0.05746,0.0,
4390617,1000,16.0,1.0528,0.3118,-3.8985,-0.02200,0.13971,-0.03646,0.0,
4390637,1000,16.0,0.1778,-0.0962,-2.4405,-0.07100,0.07271,-0.09846,0.0,
4390657,1000,16.0,1.7288,0.2938,-2.7765,-0.11600,0.17671,-0.03846,0.0,
4390677,1000,16.0,0.4308,0.4418,-4.2705,-0.06500,0.04371,-0.03746,0.0,
4390697,1000,16.0,-1.2682,-1.0892,-4.7695,0.17000,-0.14829,-0.02946,0.0,
4390717,1000,16.0,-0.2442,-0.7022,-4.9315,0.05600,-0.08229,-0.02346,0.0,
4390737,1000,16.0,-0.8702,-0.2272,-4.5755,0.06500,-0.07029,0.01754,0.0,
4390757,1000,16.0,1.4228,-1.5612,-4.4925,0.02800,0.16071,-0.04846,0.0,
4390777,1000,16.0,-0.5462,-0.2372,-4.3715,0.02200,-0.07829,-0.01546,0.0,
4390797,1000,16.0,1.5878,-0.8342,-3.6245,0.04000,0.10171,-0.02746,0.0,
