t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784878686.00367,,,,,,,,,,0.24536,0.03449,0.07543,-0.00275,0.01861,0.00089,-0.07543,0.00089,0.0
0.02,1784878686.02367,,,,,,,,,,0.10568,-0.03758,0.09113,0.00456,0.0092,-0.00065,-0.09113,-0.00065,0.0
0.04,1784878686.04367,,,,,,,,,,0.0134,-0.08886,0.123,0.01088,-0.00098,0.00035,-0.123,0.00035,0.0
0.06,1784878686.06367,,,,,,,,,,0.03573,0.00789,0.13972,0.00185,0.00143,0.00067,-0.13972,0.00067,0.0
0.08,1784878686.08367,,,,,,,,,,-0.04324,0.22865,0.14335,-0.0162,-0.0096,0.00204,-0.14335,0.00204,0.0
0.1,1784878686.10367,,,,,,,,,,0.01414,0.1562,0.00218,-0.01675,0.00178,0.00609,-0.00218,0.00609,0.0
0.12,1784878686.12367,,,,,,,,,,-0.03754,0.00626,-0.01314,-0.0026,-0.0026,0.00015,0.01314,0.00015,0.0
0.14,1784878686.14367,,,,,,,,,,-0.14438,0.04094,-0.05119,5e-05,-0.01377,-0.00333,0.05119,-0.00333,0.0
0.16,1784878686.16367,,,,,,,,,,-0.08028,0.15004,0.00639,-0.01352,-0.004,0.00282,-0.00639,0.00282,0.0
0.18,1784878686.18367,,,,,,,,,,0.03932,0.18793,0.07841,-0.01307,0.00033,0.00157,-0.07841,0.00157,0.0
0.2,1784878686.20367,,,,,,,,,,0.11511,-0.04379,0.04206,0.00481,0.00517,-0.0017,-0.04206,-0.0017,0.0
0.22,1784878686.22366,,,,,,,,,,0.01901,-0.06366,0.07364,0.00836,-0.00187,-0.00165,-0.07364,-0.00165,0.0
0.24,1784878686.24366,,,,,,,,,,0.03208,-0.04466,0.07949,0.0061,0.00053,-0.00065,-0.07949,-0.00065,0.0
0.26,1784878686.26366,,,,,,,,,,0.09901,-0.10126,0.12974,0.0092,0.00917,-0.00238,-0.12974,-0.00238,0.0
0.28,1784878686.28366,,,,,,,,,,-0.03588,0.06509,0.06984,-0.00425,-0.0047,0.00282,-0.06984,0.00282,0.0
0.3,1784878686.30366,,,,,,,,,,-0.01806,0.07226,0.07029,-0.00302,-0.00137,0.00294,-0.07029,0.00294,0.0
0.32,1784878686.32366,,,,,,,,,,-0.01956,0.09328,0.09203,-0.00537,-0.00245,-0.00106,-0.09203,-0.00106,0.0
0.34,1784878686.34366,,,,,,,,,,-0.10411,0.04914,0.03454,-0.00275,-0.01145,-0.00165,-0.03454,-0.00165,0.0
0.36,1784878686.36366,,,,,,,,,,-0.09184,0.0162,0.10364,-0.00159,-0.00473,4e-05,-0.10364,4e-05,0.0
0.38,1784878686.38366,,,,,,,,,,-0.01207,-0.01045,0.11482,0.00051,0.00243,-1e-05,-0.11482,-1e-05,0.0
0.4,1784878686.40366,,,,,,,,,,0.09301,-0.00777,0.0829,0.00178,0.00712,0.00172,-0.0829,0.00172,0.0
