t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
1720980,1000,572.0,0.3801,0.0484,0.1520,-0.00489,0.02941,0.00471,0.0,
1721000,1000,572.0,-0.6969,0.2944,-0.0250,-0.02589,-0.04959,0.00171,0.0,
1721020,1000,572.0,0.7041,-0.2176,0.1190,0.01511,0.05541,0.00071,0.0,
1721040,1000,572.0,-0.5249,0.2554,0.0670,-0.01989,-0.04359,0.00071,0.0,
1721060,1000,572.0,-0.5699,0.2224,0.1200,-0.01589,-0.04559,0.00271,0.0,
1721080,1000,572.0,0.3151,0.0454,0.0630,-0.00389,0.02341,0.00471,0.0,
1721100,1000,572.0,0.4861,-0.0556,0.0670,0.00911,0.03241,-0.00129,0.0,
1721120,1000,572.0,0.6291,-0.0516,0.1220,0.00011,0.05041,0.00471,0.0,
1721140,1000,572.0,0.7581,-0.1356,0.1550,0.00911,0.06141,0.00371,0.0,
1721160,1000,572.0,0.2461,0.1014,0.1370,-0.01989,0.02141,0.00971,0.0,
1721180,1000,572.0,-0.5569,0.2804,-0.0970,-0.02389,-0.04459,0.00271,0.0,
1721200,1000,572.0,-0.3059,0.4534,0.0530,-0.04589,-0.02159,0.01371,0.0,
1721220,1000,572.0,0.5961,-0.2206,0.1150,0.01311,0.04941,0.00171,0.0,
1721240,1000,572.0,0.5641,-0.1436,0.0960,0.01311,0.04041,0.00271,0.0,
1721260,1000,572.0,-0.2829,0.2524,0.0310,-0.00689,-0.02159,-0.00129,0.0,
1721280,1000,572.0,-0.0069,0.1554,0.1550,-0.00989,-0.00359,0.00071,0.0,
1721300,1000,572.0,0.1921,-0.1566,0.1670,0.01311,0.01541,-0.00129,0.0,
1721320,1000,572.0,-0.0389,-0.2836,0.0940,0.02811,-0.00859,-0.00729,0.0,
1721340,1000,572.0,0.5371,-0.2366,0.1020,0.02411,0.04341,-0.00129,0.0,
1721360,1000,572.0,-0.5559,0.2524,0.0040,-0.01689,-0.04259,0.00571,0.0,
1721380,1000,572.0,0.5511,-0.0986,0.1720,0.00711,0.04041,0.00571,0.0,
1721400,1000,572.0,-0.0779,-0.1326,0.0960,0.02011,-0.00659,-0.00129,0.0,
1721420,1000,572.0,-0.1139,0.2504,-0.0140,-0.02089,-0.00759,0.00571,0.0,
1721440,1000,572.0,-0.5979,0.3054,0.0190,-0.02889,-0.04159,0.00771,0.0,
1721460,1000,572.0,0.6381,-0.1916,0.1600,0.01711,0.04441,0.00371,0.0,
1721480,1000,572.0,-0.0219,0.0814,0.1930,-0.00489,-0.00059,0.00371,0.0,
1721500,1000,572.0,-0.5369,0.2124,0.0540,-0.01689,-0.03559,0.00071,0.0,
1721520,1000,572.0,-0.4239,0.2334,0.0090,-0.01789,-0.02859,0.00271,0.0,
1721540,1000,572.0,0.0431,-0.0396,0.1500,0.00211,0.00041,0.00071,0.0,
1721560,1000,572.0,0.1811,0.2324,0.0700,-0.02689,0.01741,0.00871,0.0,
1721580,1000,572.0,0.4681,0.2684,0.1970,-0.02889,0.03341,0.01171,0.0,
1721600,1000,572.0,0.0771,-0.0056,0.1190,-0.00989,0.00441,0.00771,0.0,
1721620,1000,572.0,-0.0489,0.1884,-0.0880,-0.01789,0.00341,0.00671,0.0,
1721640,1000,572.0,0.2001,0.2174,0.0400,-0.02389,0.01641,0.00971,0.0,
1721660,1000,572.0,0.2011,0.1544,0.2250,-0.02389,0.02041,0.00971,0.0,
1721680,1000,572.0,0.2491,0.0114,0.0900,-0.00189,0.02141,0.00471,0.0,
1721700,1000,572.0,-0.0799,0.0474,0.0780,-0.00989,-0.00359,0.00371,0.0,
1721720,1000,572.0,-0.2569,0.3704,0.0960,-0.03189,-0.02059,0.00671,0.0,
1721740,1000,572.0,0.4811,-0.0636,0.0330,-0.00389,0.04041,0.00571,0.0,
1721760,1000,572.0,0.1521,-0.0356,0.0030,-0.00189,0.01841,0.00471,0.0,
1721780,1000,572.0,-0.4079,0.1874,-0.1050,-0.01589,-0.02759,0.00271,0.0,
1721800,1000,572.0,0.1081,-0.2956,0.1310,0.03111,0.00741,-0.00329,0.0,
1721820,1000,572.0,-0.6899,0.2714,0.0470,-0.02189,-0.05459,0.00471,0.0,
1721840,1000,572.0,-0.1369,0.0354,0.1040,-0.00689,-0.01259,0.00071,0.0,
1721860,1000,572.0,0.4151,0.0704,0.0360,-0.00589,0.03041,0.00471,0.0,
1721880,1000,572.0,-0.7389,0.2984,-0.1980,-0.02289,-0.05759,0.00571,0.0,
1721900,1000,572.0,-0.6179,0.3044,0.0400,-0.01889,-0.05659,0.00271,0.0,
1721920,1000,572.0,0.3331,0.1244,0.1480,-0.01989,0.02741,0.00971,0.0,
1721940,1000,572.0,-0.4289,0.3384,-0.0360,-0.02889,-0.03059,0.00571,0.0,
1721960,1000,572.0,0.0891,0.0764,0.0970,-0.00889,0.01041,0.00571,0.0,
1721980,1000,572.0,0.5931,-0.3936,0.2650,0.03211,0.04841,-0.00329,0.0,
1722000,1000,572.0,-0.2719,0.0174,0.0890,0.00611,-0.02259,0.00071,0.0,
1722020,1000,572.0,0.6061,-0.2546,0.1960,0.01311,0.04941,0.00371,0.0,
1722040,1000,572.0,-0.3399,0.2214,0.1250,-0.01689,-0.02659,0.00371,0.0,
1722060,1000,572.0,0.3391,-0.0076,0.1570,-0.00389,0.02741,0.00571,0.0,
1722080,1000,572.0,-0.5159,0.0924,-0.0370,-0.00989,-0.04259,0.00371,0.0,
1722100,1000,572.0,0.4761,-0.0786,0.1110,0.01011,0.03441,0.00071,0.0,
1722120,1000,572.0,-0.3539,0.1794,0.0220,-0.01289,-0.02759,0.00371,0.0,
1722140,1000,572.0,-0.1459,0.3094,-0.0150,-0.02889,-0.01159,0.00971,0.0,
1722160,1000,572.0,0.3951,-0.0406,0.1330,0.00511,0.02741,-0.00129,0.0,
1722180,1000,572.0,-0.4499,0.3084,-0.0080,-0.02489,-0.03259,0.00471,0.0,
1722200,1000,572.0,-0.1759,0.2254,0.0940,-0.01889,-0.01559,0.00371,0.0,
1722220,1000,572.0,0.6721,-0.2916,0.0010,0.02411,0.05041,-0.00329,0.0,
1722240,1000,572.0,-0.3569,-0.0326,0.0010,0.00611,-0.03359,0.00171,0.0,
1722260,1000,572.0,-0.4809,0.1684,0.0040,-0.01389,-0.03759,0.00271,0.0,
1722280,1000,572.0,0.6241,-0.2206,0.0890,0.02211,0.04441,-0.00029,0.0,
1722300,1000,572.0,0.5691,0.0544,0.1570,-0.00789,0.04441,0.00771,0.0,
1722320,1000,572.0,0.2551,0.0974,0.0620,-0.01789,0.01841,0.00871,0.0,
1722340,1000,572.0,-0.2119,0.0454,0.0040,-0.00889,-0.01359,0.00371,0.0,
1722360,1000,572.0,-0.3339,0.1624,0.0130,-0.01589,-0.02159,0.00671,0.0,
1722380,1000,572.0,-0.4559,0.1354,0.0460,-0.00189,-0.03859,0.00071,0.0,
1722400,1000,572.0,0.5241,-0.0506,0.0920,0.00811,0.03441,0.00171,0.0,
1722420,1000,572.0,-0.1059,-0.0826,0.0480,0.01011,-0.01059,-0.00329,0.0,
1722440,1000,572.0,-0.4489,0.0284,-0.0260,0.00211,-0.03459,-0.00229,0.0,
