t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
455659,1000,39421.0,0.2077,-0.1175,0.2075,0.01165,0.01673,-0.00062,0.0,
455679,1000,39421.0,0.2027,-0.0135,0.2485,-0.00835,0.02473,0.00338,0.0,
455699,1000,39421.0,0.0567,0.0605,0.0225,0.00065,0.00073,-0.00062,0.0,
455719,1000,39421.0,-0.3633,0.1935,-0.0525,-0.01735,-0.02127,0.00238,0.0,
455739,1000,39421.0,0.6767,-0.2055,0.2425,0.01765,0.05173,-0.00062,0.0,
455759,1000,39421.0,0.7027,-0.3355,0.2875,0.02465,0.05873,0.00038,0.0,
455779,1000,39421.0,-0.2303,-0.0945,0.1535,0.00965,-0.01827,-0.00162,0.0,
455799,1000,39421.0,0.5067,-0.0085,0.0085,-0.00035,0.03873,0.00238,0.0,
455819,1000,39421.0,-0.3263,0.2515,0.1635,-0.02235,-0.02227,0.00138,0.0,
455839,1000,39421.0,0.0807,0.2625,0.0455,-0.03135,0.00473,0.01038,0.0,
455859,1000,39421.0,-0.1103,-0.0585,0.1055,0.00265,-0.00627,-0.00262,0.0,
455879,1000,39421.0,-0.5453,0.1785,0.0215,-0.00835,-0.04527,-0.00262,0.0,
455899,1000,39421.0,-0.2783,-0.0155,0.0245,0.00265,-0.02227,-0.00162,0.0,
455919,1000,39421.0,0.0507,0.1035,-0.0325,-0.00835,0.00273,0.00138,0.0,
455939,1000,39421.0,0.0607,-0.1145,0.1955,0.01465,0.00673,-0.00262,0.0,
455959,1000,39421.0,0.1347,-0.0015,0.1075,-0.00135,0.01473,0.00038,0.0,
455979,1000,39421.0,-0.1103,-0.0225,0.1655,-0.00935,-0.00827,0.00438,0.0,
455999,1000,39421.0,-0.3243,0.1715,0.0985,-0.00735,-0.02727,0.00138,0.0,
456019,1000,39421.0,-0.1553,-0.0005,0.1725,0.00065,-0.00827,-0.00062,0.0,
456039,1000,39421.0,0.0997,-0.2215,0.0805,0.01465,0.00673,-0.00262,0.0,
456059,1000,39421.0,-0.1553,0.2345,0.1135,-0.01835,-0.01327,-0.00162,0.0,
456079,1000,39421.0,0.0907,0.1265,0.0875,-0.00835,0.00373,0.00038,0.0,
456099,1000,39421.0,0.0447,-0.0375,0.0725,0.00065,0.00873,0.00238,0.0,
456119,1000,39421.0,-0.0263,0.0055,0.0365,0.00665,-0.01027,-0.00162,0.0,
456139,1000,39421.0,0.3147,-0.0185,0.1865,0.00465,0.02373,0.00038,0.0,
456159,1000,39421.0,-0.1723,-0.0685,0.1075,0.00665,-0.01427,-0.00062,0.0,
456179,1000,39421.0,0.1387,-0.0245,0.2115,0.00765,0.00773,-0.00062,0.0,
456199,1000,39421.0,0.2267,-0.0185,0.1175,0.00065,0.01873,0.00038,0.0,
456219,1000,39421.0,-0.0053,0.0775,0.0945,-0.00235,-0.00227,-0.00062,0.0,
456239,1000,39421.0,0.0077,0.1605,0.0095,-0.00935,-0.00427,0.00038,0.0,
456259,1000,39421.0,0.3477,-0.0345,0.1265,0.00465,0.02973,-0.00062,0.0,
456279,1000,39421.0,-0.2673,0.2835,-0.0485,-0.02135,-0.02227,-0.00062,0.0,
456299,1000,39421.0,0.1367,-0.0185,0.0525,0.00365,0.01673,-0.00262,0.0,
456319,1000,39421.0,-0.1403,0.0615,0.0215,-0.00635,-0.01527,-0.00062,0.0,
456339,1000,39421.0,0.1837,-0.0555,0.0895,0.00365,0.01673,-0.00162,0.0,
456359,1000,39421.0,-0.3023,0.1005,0.0995,-0.00935,-0.02827,0.00038,0.0,
456379,1000,39421.0,-0.2263,-0.0955,0.0635,0.00965,-0.01727,-0.00762,0.0,
456399,1000,39421.0,-0.6103,0.1505,-0.0455,-0.01435,-0.03827,0.00138,0.0,
456419,1000,39421.0,-0.2383,0.1215,0.0695,-0.00635,-0.02127,-0.00362,0.0,
456439,1000,39421.0,-0.4713,0.2155,0.1005,-0.02135,-0.03927,0.00338,0.0,
456459,1000,39421.0,-0.6533,0.2745,0.1325,-0.02535,-0.04827,0.00238,0.0,
456479,1000,39421.0,-0.7683,0.1805,0.0725,-0.01435,-0.06427,-0.00262,0.0,
456499,1000,39421.0,-0.5513,0.2695,-0.0815,-0.01935,-0.04227,0.00238,0.0,
456519,1000,39421.0,-0.5783,0.2115,-0.0415,-0.01535,-0.04627,0.00138,0.0,
456539,1000,39421.0,0.5997,-0.1445,0.2615,0.01065,0.04573,0.00038,0.0,
456559,1000,39421.0,-0.2903,0.1395,0.1815,-0.01435,-0.02227,0.00338,0.0,
456579,1000,39421.0,0.4817,-0.1765,0.2785,0.01565,0.03273,-0.00162,0.0,
456599,1000,39421.0,-0.0603,0.0625,0.1445,-0.00835,-0.00127,0.00338,0.0,
456619,1000,39421.0,-0.0033,-0.0205,0.1265,-0.00135,0.00473,0.00138,0.0,
456639,1000,39421.0,0.0047,-0.0235,0.0335,0.00065,0.00573,0.00038,0.0,
456659,1000,39421.0,0.0357,0.1025,-0.0805,-0.00835,0.00173,-0.00062,0.0,
456679,1000,39421.0,0.2147,-0.0035,0.1405,0.00665,0.01473,-0.00262,0.0,
456699,1000,39421.0,-0.2383,0.3035,0.1285,-0.02935,-0.02627,0.00338,0.0,
456719,1000,39421.0,0.1007,0.0025,0.1975,-0.00035,0.00673,-0.00062,0.0,
456739,1000,39421.0,-0.2953,0.1825,-0.0485,-0.01635,-0.02027,0.00238,0.0,
456759,1000,39421.0,0.1627,-0.0725,0.1205,0.00765,0.01173,-0.00262,0.0,
456779,1000,39421.0,-0.0783,0.0505,0.1435,-0.00935,-0.00427,0.00138,0.0,
456799,1000,39421.0,-0.1593,0.0955,0.1115,-0.00735,-0.01427,0.00238,0.0,
456819,1000,39421.0,0.0077,-0.0395,0.0665,0.00265,0.00573,0.00238,0.0,
456839,1000,39421.0,-0.4163,0.1275,0.0135,-0.00935,-0.03327,0.00138,0.0,
456859,1000,39421.0,0.3827,-0.1845,0.1825,0.01665,0.02873,0.00138,0.0,
