t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784820251.91599,,,,,,,,,,-0.06559,0.07971,-0.05794,-0.01381,-0.002,0.00475,0.05794,0.00475,788.0
0.02,1784820251.93599,,,,,,,,,,-0.19176,0.13026,0.03288,-0.01693,-0.00914,0.00385,-0.03288,0.00385,788.0
0.04,1784820251.95599,,,,,,,,,,0.32886,-0.09743,0.04423,0.00309,0.02911,0.00265,-0.04423,0.00265,788.0
0.06,1784820251.97599,,,,,,,,,,-0.17826,0.12576,-0.00551,-0.01422,-0.00721,0.00415,0.00551,0.00415,788.0
0.08,1784820251.99599,,,,,,,,,,-0.02434,-0.02547,-0.01606,-0.00482,0.00359,0.00275,0.01606,0.00275,788.0
0.1,1784820252.01599,,,,,,,,,,-0.0301,-0.05363,-0.05575,-0.00102,0.0029,0.00245,0.05575,0.00245,788.0
0.12,1784820252.03599,,,,,,,,,,-0.36716,0.03537,0.02562,-0.00582,-0.0232,0.00145,-0.02562,0.00145,788.0
0.14,1784820252.05599,,,,,,,,,,-0.52096,0.05555,-0.03148,-0.00602,-0.03842,0.00075,0.03148,0.00075,788.0
0.16,1784820252.07599,,,,,,,,,,-0.09002,-0.10954,-0.05082,0.00277,-0.00402,0.00075,0.05082,0.00075,788.0
0.18,1784820252.09599,,,,,,,,,,0.09327,-0.14581,-0.01169,0.00659,0.01059,0.00255,0.01169,0.00255,788.0
0.2,1784820252.11599,,,,,,,,,,-0.06159,0.09367,-0.00283,-0.01602,-0.00051,0.00585,0.00283,0.00585,788.0
0.22,1784820252.13599,,,,,,,,,,-0.07372,0.01845,0.04001,-0.00303,-0.00501,0.00315,-0.04001,0.00315,788.0
0.24,1784820252.15599,,,,,,,,,,-0.15167,-0.20069,0.0208,0.01239,-0.0083,0.00205,-0.0208,0.00205,788.0
0.26,1784820252.17599,,,,,,,,,,-0.28366,0.05942,0.04957,-0.01591,-0.01442,0.00575,-0.04957,0.00575,788.0
0.28,1784820252.19599,,,,,,,,,,-0.10534,0.23837,0.04108,-0.03712,0.0008,0.01245,-0.04108,0.01245,788.0
0.3,1784820252.21599,,,,,,,,,,-0.12136,0.13518,-0.07464,-0.02424,-0.00334,0.01025,0.07464,0.01025,788.0
0.32,1784820252.23599,,,,,,,,,,0.31484,-0.16328,0.0189,0.00658,0.02672,0.00525,-0.0189,0.00525,788.0
0.34,1784820252.25599,,,,,,,,,,-0.42775,0.06402,0.03339,-0.01071,-0.02821,0.00385,-0.03339,0.00385,788.0
0.36,1784820252.27599,,,,,,,,,,-0.53928,0.18965,-0.01723,-0.02313,-0.03501,0.00635,0.01723,0.00635,788.0
0.38,1784820252.29599,,,,,,,,,,-0.20275,-0.02725,-0.12035,-0.00463,-0.00904,0.00135,0.12035,0.00135,788.0
0.4,1784820252.31599,,,,,,,,,,0.62197,-0.25907,0.05651,0.00868,0.0522,0.00305,-0.05651,0.00305,788.0
0.42,1784820252.33599,,,,,,,,,,0.38292,-0.07654,0.14,-0.00191,0.0316,0.00435,-0.14,0.00435,788.0
0.44,1784820252.35599,,,,,,,,,,-0.12898,0.03117,-0.04392,-0.01372,-0.00449,0.00485,0.04392,0.00485,788.0
0.46,1784820252.37599,,,,,,,,,,-0.7632,0.08909,-0.02767,-0.01082,-0.05371,0.00305,0.02767,0.00305,788.0
0.48,1784820252.39599,,,,,,,,,,-0.77708,0.11919,-0.07521,-0.01282,-0.05731,0.00375,0.07521,0.00375,788.0
0.5,1784820252.41599,,,,,,,,,,-0.7345,0.14411,-0.0588,-0.01602,-0.05452,0.00435,0.0588,0.00435,788.0
0.52,1784820252.43599,,,,,,,,,,-0.33982,0.07517,0.0245,-0.01692,-0.02243,0.00515,-0.0245,0.00515,788.0
0.54,1784820252.45599,,,,,,,,,,0.05316,-0.10065,0.18525,-0.00203,0.0131,0.00285,-0.18525,0.00285,788.0
0.56,1784820252.47599,,,,,,,,,,-0.12762,-0.09382,0.04195,0.00369,-0.0042,0.00285,-0.04195,0.00285,788.0
0.58,1784820252.49599,,,,,,,,,,-0.21948,0.13121,-0.0576,-0.02192,-0.01351,0.00715,0.0576,0.00715,788.0
0.6,1784820252.51599,,,,,,,,,,-0.07968,0.09013,-0.0696,-0.01882,-0.00431,0.00545,0.0696,0.00545,788.0
0.62,1784820252.53599,,,,,,,,,,-0.11061,-0.02164,-0.05912,-0.00813,-0.00231,0.00505,0.05912,0.00505,788.0
0.64,1784820252.55599,,,,,,,,,,-0.0093,-0.10822,-0.02219,0.00228,0.00078,0.00515,0.02219,0.00515,788.0
0.66,1784820252.57599,,,,,,,,,,0.12417,-0.0595,-0.02881,-0.00182,0.0102,0.00375,0.02881,0.00375,788.0
0.68,1784820252.59599,,,,,,,,,,-0.05593,-0.02913,-0.0011,-0.00412,-0.00471,0.00345,0.0011,0.00345,788.0
0.7,1784820252.61599,,,,,,,,,,-0.0191,0.01431,0.011,-0.00712,0.00518,0.00395,-0.011,0.00395,788.0
0.72,1784820252.63599,,,,,,,,,,0.34372,-0.07081,0.04587,-0.00383,0.03289,0.00555,-0.04587,0.00555,788.0
0.74,1784820252.65599,,,,,,,,,,0.15209,-0.1524,0.05856,0.00279,0.01901,0.00305,-0.05856,0.00305,788.0
0.76,1784820252.67599,,,,,,,,,,-0.0538,0.03321,-0.02744,-0.01242,0.00047,0.00555,0.02744,0.00555,788.0
0.78,1784820252.69599,,,,,,,,,,0.4023,-0.0718,0.07838,-0.00413,0.03488,0.00675,-0.07838,0.00675,788.0
0.8,1784820252.71599,,,,,,,,,,0.55384,-0.26241,0.07386,0.01729,0.04639,0.00095,-0.07386,0.00095,788.0
0.82,1784820252.73599,,,,,,,,,,0.44135,-0.25788,0.01612,0.01097,0.03859,0.00255,-0.01612,0.00255,788.0
0.84,1784820252.75599,,,,,,,,,,0.16712,-0.21969,0.04585,0.01539,0.01731,5e-05,-0.04585,5e-05,788.0
0.86,1784820252.77599,,,,,,,,,,-0.13754,-0.05358,-0.14571,-0.00201,-0.00322,0.00345,0.14571,0.00345,788.0
0.88,1784820252.79599,,,,,,,,,,0.02882,-0.0071,0.0612,-0.01442,0.0102,0.00855,-0.0612,0.00855,788.0
0.9,1784820252.81599,,,,,,,,,,-0.17872,0.06244,0.0606,-0.00793,-0.01081,0.00485,-0.0606,0.00485,788.0
0.92,1784820252.83599,,,,,,,,,,-0.31478,-0.05418,0.02855,0.00239,-0.02399,0.00215,-0.02855,0.00215,788.0
0.94,1784820252.85599,,,,,,,,,,-0.42627,0.1979,-0.0657,-0.01913,-0.03174,0.00255,0.0657,0.00255,788.0
0.96,1784820252.87599,,,,,,,,,,0.03558,0.04415,-0.05302,-0.01201,0.00571,0.00705,0.05302,0.00705,788.0
0.98,1784820252.89599,,,,,,,,,,-0.2497,0.07038,-0.05886,-0.01423,-0.01633,0.00655,0.05886,0.00655,788.0
