t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784877917.88382,,,,,,,,,,-0.06728,-0.05335,0.16234,0.0125,-0.00758,-0.00502,-0.16234,-0.00502,0.0
0.02,1784877917.90382,,,,,,,,,,-0.02376,0.16594,0.17775,-0.01408,-0.00684,0.00192,-0.17775,0.00192,0.0
0.04,1784877917.92382,,,,,,,,,,0.224,-0.18367,0.29653,0.01593,0.01338,-0.00312,-0.29653,-0.00312,0.0
0.06,1784877917.94382,,,,,,,,,,-0.27904,0.09088,0.11545,-0.00047,-0.0269,-0.00317,-0.11545,-0.00317,0.0
0.08,1784877917.96382,,,,,,,,,,0.52106,-0.13686,0.05476,0.01456,0.03691,-0.0005,-0.05476,-0.0005,0.0
0.1,1784877917.98382,,,,,,,,,,-0.20651,-0.01778,0.08149,0.00341,-0.01505,-0.0014,-0.08149,-0.0014,0.0
0.12,1784877918.00382,,,,,,,,,,-0.16511,0.14531,0.07252,-0.01546,-0.00975,0.00297,-0.07252,0.00297,0.0
0.14,1784877918.02382,,,,,,,,,,0.14199,-0.19849,0.10287,0.01695,0.01308,-0.00574,-0.10287,-0.00574,0.0
0.16,1784877918.04382,,,,,,,,,,0.07776,-0.08009,0.09457,0.01256,0.00167,-0.00455,-0.09457,-0.00455,0.0
0.18,1784877918.06382,,,,,,,,,,0.10058,0.00919,0.12622,7e-05,0.00413,-0.00064,-0.12622,-0.00064,0.0
0.2,1784877918.08382,,,,,,,,,,-0.03476,0.2913,0.14706,-0.02618,-0.00866,0.00697,-0.14706,0.00697,0.0
0.22,1784877918.10382,,,,,,,,,,0.2465,-0.0147,0.21195,0.00277,0.0143,-0.00174,-0.21195,-0.00174,0.0
0.24,1784877918.12382,,,,,,,,,,0.29048,-0.14631,0.23777,0.01399,0.01971,-0.00189,-0.23777,-0.00189,0.0
0.26,1784877918.14382,,,,,,,,,,-0.46831,0.08979,0.20624,0.00556,-0.04012,-0.00536,-0.20624,-0.00536,0.0
0.28,1784877918.16382,,,,,,,,,,0.05628,0.06226,0.15391,0.00033,0.0019,-0.00312,-0.15391,-0.00312,0.0
0.3,1784877918.18382,,,,,,,,,,0.00842,0.10866,0.05027,-0.00396,0.00075,-0.00278,-0.05027,-0.00278,0.0
0.32,1784877918.20382,,,,,,,,,,-0.06451,0.08445,0.02849,-0.00803,-0.00716,0.00131,-0.02849,0.00131,0.0
0.34,1784877918.22382,,,,,,,,,,0.37617,-0.22469,0.12818,0.01698,0.02782,-0.00155,-0.12818,-0.00155,0.0
0.36,1784877918.24382,,,,,,,,,,-0.17673,0.06803,0.04593,-0.00633,-0.01261,0.00045,-0.04593,0.00045,0.0
0.38,1784877918.26382,,,,,,,,,,-0.04084,0.02314,0.1705,-0.0042,-0.00077,0.00188,-0.1705,0.00188,0.0
0.4,1784877918.28382,,,,,,,,,,0.01683,0.20809,0.10805,-0.01172,-0.00638,0.00126,-0.10805,0.00126,0.0
0.42,1784877918.30382,,,,,,,,,,0.11294,0.08922,0.1676,-0.00662,0.00414,0.00188,-0.1676,0.00188,0.0
0.44,1784877918.32382,,,,,,,,,,0.10891,-0.09105,0.25117,0.007,0.01006,-8e-05,-0.25117,-8e-05,0.0
0.46,1784877918.34382,,,,,,,,,,0.33806,-0.15747,0.21914,0.01575,0.02769,-0.00474,-0.21914,-0.00474,0.0
0.48,1784877918.36382,,,,,,,,,,0.03142,-0.13515,0.04295,0.01152,-0.00329,-0.00393,-0.04295,-0.00393,0.0
0.5,1784877918.38382,,,,,,,,,,0.07093,-0.05272,0.09418,0.00842,-0.00124,-0.00297,-0.09418,-0.00297,0.0
