t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
1881580,1000,572.0,-0.3369,-0.1086,0.1350,0.01511,-0.02859,-0.00329,0.0,
1881600,1000,572.0,-0.4949,0.1544,0.0890,-0.01189,-0.04059,0.00071,0.0,
1881620,1000,572.0,-0.1009,0.1944,0.1120,-0.01689,-0.01159,0.00271,0.0,
1881640,1000,572.0,0.2551,0.1204,0.1730,-0.02389,0.02141,0.00971,0.0,
1881660,1000,572.0,0.1551,-0.0636,0.0730,0.00511,0.01441,-0.00129,0.0,
1881680,1000,572.0,-0.4539,0.2304,0.1090,-0.02089,-0.03359,0.00371,0.0,
1881700,1000,572.0,-0.2269,-0.0406,0.0310,0.00111,-0.01859,0.00071,0.0,
1881720,1000,572.0,0.3791,-0.1056,0.1020,0.01011,0.02641,-0.00029,0.0,
1881740,1000,572.0,-0.1069,0.1764,0.0530,-0.01489,-0.00759,0.00671,0.0,
1881760,1000,572.0,-0.2769,0.2334,0.1000,-0.01889,-0.02559,0.00171,0.0,
1881780,1000,572.0,0.5671,-0.0356,0.1630,-0.00889,0.04941,0.00671,0.0,
1881800,1000,572.0,0.2281,0.0124,0.0590,0.00511,0.01141,-0.00129,0.0,
1881820,1000,572.0,0.2281,0.0314,0.1790,-0.00789,0.01741,0.00271,0.0,
1881840,1000,572.0,0.0151,0.0454,0.0350,-0.00389,-0.00059,-0.00029,0.0,
1881860,1000,572.0,0.0651,0.1854,0.0270,-0.01789,0.00241,0.00371,0.0,
1881880,1000,572.0,0.5671,-0.0126,0.0890,-0.00189,0.04441,0.00571,0.0,
1881900,1000,572.0,0.0711,-0.1216,0.0340,0.01311,0.00541,-0.00429,0.0,
1881920,1000,572.0,-0.1579,0.0094,0.1030,-0.00189,-0.01659,-0.00029,0.0,
1881940,1000,572.0,-0.0089,-0.0526,0.0660,0.00311,-0.00059,-0.00029,0.0,
1881960,1000,572.0,0.0051,0.0914,0.1240,-0.00489,-0.00459,0.00371,0.0,
1881980,1000,572.0,0.3061,-0.0026,0.1560,-0.00989,0.03041,0.00471,0.0,
1882000,1000,572.0,-0.0889,-0.0076,0.1160,-0.00089,-0.00559,-0.00329,0.0,
1882020,1000,572.0,0.0851,-0.0556,0.1870,-0.00089,0.01041,0.00071,0.0,
1882040,1000,572.0,-0.0499,-0.0076,0.1080,0.00211,-0.00059,0.00171,0.0,
1882060,1000,572.0,0.6241,-0.0786,0.1670,0.00311,0.04841,0.00471,0.0,
1882080,1000,572.0,-0.2089,0.0004,0.0850,0.01211,-0.02259,-0.00629,0.0,
1882100,1000,572.0,0.0681,0.1564,0.1040,-0.01489,0.00641,0.00171,0.0,
1882120,1000,572.0,0.0101,0.0624,0.1190,-0.01089,0.00241,0.00371,0.0,
