name,gen,v_rest_after,v_rest_before,v_loaded,current_a,thrust_N,thrust_sem,n
A1850_B1850_1709,2026-07-24 (ulog),11.062,11.245,10.49376,21.91,12.960527701754385,0.015475155811368033,1140
A1850_B1850_1701,2026-07-24 (ulog),11.194,11.299,10.6,22.18,12.654829719298245,0.013352803698938709,1140
A1850_B1850_1657,2026-07-24 (ulog),11.274,11.402,10.653,22.41959,13.212781307017543,0.011432058273959798,1140
A1850_B1850_1644,2026-07-24 (ulog),11.485,11.64,10.87568,23.26066,13.513716850877193,0.014839280055181273,1140
A1850_B1850_1641,2026-07-24 (ulog),11.64,11.868,11.01,23.75966,13.78790949122807,0.018171449546515856,1140
A1850_B1850_1638,2026-07-24 (ulog),11.856,12.201,11.1711,24.37,14.213356938596492,0.02481551411982858,1140
A1850 B1850_2026-07-31_013033,2026-07-31 (tvcbench),11.861,12.123,11.175,24.28,14.018622145926363,0.03702093533093746,572
A1850 B1850_2026-07-31_010330,2026-07-31 (tvcbench),11.982,12.463,11.392,25.0,14.332079194399977,0.04091505104162807,1144
A1850 B1850 2026-07-31_014352,2026-07-31 (tvcbench),12.119,12.537500000000001,11.37,25.14,14.649917084421602,0.036978642582278363,1144
A1850_B1850_1630,2026-07-24 (ulog),12.167,12.501,11.36263,25.29,14.675342756804215,0.045534497790407795,1139
