run,a_us,b_us,thrust_N,thrust_sem,n,torque_Nm,voltage_v,current_a,power_w,t_rel_s,dur_s
A1000_B1000-2000_2026-07-31_015904,1000,1000,0.011530545454545559,0.010144960017542422,77,0.00020064935064932648,11.941,0.0,0.0,10.026861667633057,3.960583209991455
A1000_B1000-2000_2026-07-31_015904,1000,1100,0.42147859740259747,0.011296374906828834,77,0.007200649350649329,11.9285,0.0,0.0,14.037555456161499,3.9103245735168457
A1000_B1000-2000_2026-07-31_015904,1000,1200,1.2507772987012988,0.009915021872992083,77,0.02010974025974024,11.908,0.25,2.977,17.997973918914795,3.9612412452697754
A1000_B1000-2000_2026-07-31_015904,1000,1300,2.087881194805195,0.03424357234408125,77,0.03379805194805193,11.879,1.17,13.89843,22.00930142402649,3.9612088203430176
A1000_B1000-2000_2026-07-31_015904,1000,1400,2.9241669090909097,0.009703784060440273,77,0.04722662337662335,11.8355,2.28,26.984939999999998,26.020620346069336,3.961704969406128
A1000_B1000-2000_2026-07-31_015904,1000,1500,3.88374705263158,0.018764420158362854,76,0.06188896103896102,11.789,3.58,42.20462,30.032480478286743,3.9607834815979004
A1000_B1000-2000_2026-07-31_015904,1000,1600,4.876062842105263,0.014171227254621372,76,0.07909999999999998,11.718,5.14,60.23052,34.043373584747314,3.9104974269866943
A1000_B1000-2000_2026-07-31_015904,1000,1700,6.271602315789473,0.010122798200002241,76,0.10227857142857143,11.622499999999999,7.585,88.1566625,38.003992795944214,3.960253953933716
A1000_B1000-2000_2026-07-31_015904,1000,1800,7.937582493506492,0.04842106987654523,77,0.12375909090909089,11.483,10.83,124.36089000000001,42.01434111595154,3.961308240890503
A1000_B1000-2000_2026-07-31_015904,1000,1900,9.694920155844155,0.057905463840901,77,0.15226558441558438,11.34,14.88,168.7392,46.02578616142273,3.976125717163086
A1000_B1000-2000_2026-07-31_015904,1000,2000,11.280842233766236,0.037639019580448796,77,0.17674610389610387,11.183,19.02,212.70066,50.052212953567505,3.9104881286621094
A1100_B1000-2000_2026-07-31_021029,1100,1000,0.3600862337662331,0.045818782360535326,77,-0.007243376623376655,11.946,0.0,0.0,9.991508722305298,3.9646992683410645
A1100_B1000-2000_2026-07-31_021029,1100,1100,0.7476706493506486,0.048946228277668105,77,-0.0006463157894737127,11.935,0.0,0.0,14.006301641464233,3.915053367614746
A1100_B1000-2000_2026-07-31_021029,1100,1200,1.4831381818181817,0.07817613707847101,77,0.012172207792207762,11.911,0.65,7.74215,17.971413135528564,3.965167284011841
A1100_B1000-2000_2026-07-31_021029,1100,1300,2.3557096103896096,0.06335406823549229,77,0.0257046753246753,11.878499999999999,1.59,18.886815,21.986833095550537,3.9691214561462402
A1100_B1000-2000_2026-07-31_021029,1100,1400,3.224307012987012,0.034105376547190175,77,0.038808571428571394,11.832,2.69,31.82808,26.006043672561646,3.9633829593658447
A1100_B1000-2000_2026-07-31_021029,1100,1500,4.2019303896103875,0.032815128453749835,77,0.052405974025973995,11.782,3.9850000000000003,46.95127,30.019519090652466,3.911025285720825
A1100_B1000-2000_2026-07-31_021029,1100,1600,5.215138181818181,0.02543706618395149,77,0.07018263157894736,11.726,5.55,65.0793,33.98063015937805,3.9607369899749756
A1100_B1000-2000_2026-07-31_021029,1100,1700,6.5609693506493505,0.06456106156040871,77,0.09096441558441558,11.6235,7.98,92.75553000000001,37.99145770072937,3.961411476135254
A1100_B1000-2000_2026-07-31_021029,1100,1800,8.233188421052631,0.022672216885993732,76,0.11667870129870128,11.49,11.25,129.2625,42.00295877456665,3.960972309112549
A1100_B1000-2000_2026-07-31_021029,1100,1900,10.003878441558443,0.0404757460220956,77,0.14502935064935066,11.346,15.3,173.59380000000002,46.01424860954285,3.9115586280822754
A1100_B1000-2000_2026-07-31_021029,1100,2000,11.532618701298702,0.029034676384945942,77,0.17245894736842104,11.191,19.56,218.89596,49.97590470314026,3.960805892944336
A1200_B1000-2000_2026-07-31_021641,1200,1000,1.028865220779221,0.03528865745488324,77,-0.01797129870129872,11.844,0.15,1.7766,10.036017179489136,3.960214376449585
A1200_B1000-2000_2026-07-31_021641,1200,1100,1.3003457402597405,0.03866801141556651,77,-0.012321948051948067,11.8245,0.49,5.794005,14.04635500907898,3.911787509918213
A1200_B1000-2000_2026-07-31_021641,1200,1200,2.0151379480519482,0.03916611963034018,77,0.00028844155844154416,11.802,1.18,13.926359999999999,18.00823998451233,3.9644527435302734
A1200_B1000-2000_2026-07-31_021641,1200,1300,2.8268911948051945,0.04001571392878931,77,0.01272999999999999,11.764,2.13,25.057319999999997,22.022794485092163,3.9623122215270996
A1200_B1000-2000_2026-07-31_021641,1200,1400,3.7129691168831176,0.043133224344900904,77,0.025171558441558425,11.725999999999999,3.23,37.874979999999994,26.035203218460083,3.9606616497039795
A1200_B1000-2000_2026-07-31_021641,1200,1500,4.616163922077923,0.052287034336934816,77,0.04149623376623375,11.6735,4.52,52.764219999999995,30.045961380004883,3.9111294746398926
A1200_B1000-2000_2026-07-31_021641,1200,1600,5.628462623376624,0.04473051777505086,77,0.05789883116883115,11.597999999999999,6.12,70.97976,34.00719428062439,3.9609508514404297
A1200_B1000-2000_2026-07-31_021641,1200,1700,7.063358727272729,0.03750305358432676,77,0.0798468831168831,11.483,8.53,97.94999,38.018264055252075,3.9608402252197266
A1200_B1000-2000_2026-07-31_021641,1200,1800,8.645592493506495,0.04671993615695684,77,0.10508064935064933,11.357,11.75,133.44475,42.02921199798584,3.961002826690674
A1200_B1000-2000_2026-07-31_021641,1200,1900,10.387021064935066,0.05697902666526124,77,0.13375597402597403,11.199,15.74,176.27226,46.040308475494385,3.9120819568634033
A1200_B1000-2000_2026-07-31_021641,1200,2000,11.973761324675326,0.045506323843617955,77,0.16237935064935066,11.037,19.97,220.40889,50.002501010894775,3.9616127014160156
A1300_B1000-2000_2026-07-31_022512,1300,1000,1.8198925266350416,0.06307964093421663,77,-0.03196249060320922,11.879,1.2,14.2548,9.977252721786499,3.9603779315948486
A1300_B1000-2000_2026-07-31_022512,1300,1100,2.0976327863753017,0.0762136299780465,77,-0.023744274608677434,11.86,1.53,18.145799999999998,13.98770809173584,3.9625537395477295
A1300_B1000-2000_2026-07-31_022512,1300,1200,2.765399020141535,0.08120210082351313,77,-0.012209243849962458,11.831,2.22,26.26482,18.000341415405273,3.9109811782836914
A1300_B1000-2000_2026-07-31_022512,1300,1300,3.502541877284392,0.08935506646018863,77,0.0015440029032842935,11.798,3.15,37.1637,21.96139907836914,3.9612879753112793
A1300_B1000-2000_2026-07-31_022512,1300,1400,4.3353340850766,0.08491794349703888,77,0.013959587318868708,11.7515,4.24,49.82636,25.97276735305786,3.9612176418304443
A1300_B1000-2000_2026-07-31_022512,1300,1500,5.237152266894782,0.09936059323267973,77,0.02756997692925832,11.701,5.54,64.82354000000001,29.984097003936768,3.9610438346862793
A1300_B1000-2000_2026-07-31_022512,1300,1600,6.215373046115561,0.08828205694334744,77,0.04594642714570854,11.6375,7.16,83.3245,33.995248317718506,3.9614784717559814
A1300_B1000-2000_2026-07-31_022512,1300,1700,7.6121782409207555,0.06711726065603406,77,0.06799854835782976,11.532,9.58,110.47656,38.006810903549194,3.911046266555786
A1300_B1000-2000_2026-07-31_022512,1300,1800,9.055334085076602,0.06355914774237914,77,0.09411543147471287,11.408000000000001,12.82,146.25056,41.967944622039795,3.9623332023620605
A1300_B1000-2000_2026-07-31_022512,1300,1900,10.862697721440236,0.07339392004377582,77,0.12429724965653104,11.263,16.78,188.99314,45.98035454750061,3.9606385231018066
A1300_B1000-2000_2026-07-31_022512,1300,2000,12.333996422738938,0.07158952792530208,77,0.14992062627990768,11.106,20.83,231.33798,49.9910933971405,3.9643197059631348
A1400_B1000-2000_2026-07-31_023421,1400,1000,3.288853064935065,0.0803515607884644,77,-0.0488443376623377,11.838,2.35,27.8193,10.027202606201172,3.9606878757476807
A1400_B1000-2000_2026-07-31_023421,1400,1100,3.561255662337663,0.08828801902260361,77,-0.04322096103896107,11.823,2.67,31.56741,14.037975788116455,3.910698175430298
A1400_B1000-2000_2026-07-31_023421,1400,1200,4.146151766233766,0.09818687264798152,77,-0.030363818181818214,11.788,3.34,39.371919999999996,17.998754024505615,3.9614384174346924
A1400_B1000-2000_2026-07-31_023421,1400,1300,5.003918000000001,0.09482670455153389,77,-0.01551966233766237,11.758,4.25,49.9715,22.010299921035767,3.9607555866241455
A1400_B1000-2000_2026-07-31_023421,1400,1400,5.727112805194805,0.10077777173120221,77,-0.0031300519480519768,11.7055,5.345,62.5658975,26.021165132522583,3.9645769596099854
A1400_B1000-2000_2026-07-31_023421,1400,1500,6.664207473684211,0.11145033795418285,76,0.011779038961038931,11.6525,6.64,77.37259999999999,30.03583860397339,3.9608757495880127
A1400_B1000-2000_2026-07-31_023421,1400,1600,7.591438000000001,0.08655915721226322,75,0.028285532467532435,11.589,8.2,95.0298,34.04683518409729,3.9611761569976807
A1400_B1000-2000_2026-07-31_023421,1400,1700,8.998177740259742,0.08072789879642976,77,0.04994787012987009,11.498,10.63,122.22374,38.05827355384827,3.9111289978027344
A1400_B1000-2000_2026-07-31_023421,1400,1800,10.566404842105264,0.10536274765866172,76,0.08042838961038958,11.362,13.9,157.9318,42.01952338218689,3.9604742527008057
A1400_B1000-2000_2026-07-31_023421,1400,1900,12.135580337662338,0.09810516072022799,77,0.1061686493506493,11.212499999999999,17.97,201.48862499999996,46.030083417892456,3.960488796234131
A1400_B1000-2000_2026-07-31_023421,1400,2000,13.705762155844155,0.09896281167512519,77,0.1370548421052631,11.058,22.12,244.60296,50.04072022438049,3.9602956771850586
A1500_B1000-2000_2026-07-31_024313,1500,1000,3.777986650076469,0.06603774381872443,77,-0.058678020582212234,11.8825,3.73,44.321725,10.027439832687378,3.9606990814208984
A1500_B1000-2000_2026-07-31_024313,1500,1100,4.034882753972573,0.08026297451108005,77,-0.0534747305389222,11.849,4.03,47.751470000000005,14.038296222686768,3.961134910583496
A1500_B1000-2000_2026-07-31_024313,1500,1200,4.637804831894652,0.10911588220705885,77,-0.04078191668610834,11.824,4.72,55.809279999999994,18.049531936645508,3.913213014602661
A1500_B1000-2000_2026-07-31_024313,1500,1300,5.495116520206341,0.1348492068302747,77,-0.023145553049744697,11.776499999999999,5.57,65.59510499999999,22.012829065322876,3.964304208755493
A1500_B1000-2000_2026-07-31_024313,1500,1400,6.198324312414132,0.061236533223363865,77,-0.007735607731904647,11.739,6.68,78.41652,26.0272159576416,3.9613616466522217
A1500_B1000-2000_2026-07-31_024313,1500,1500,7.105661974751794,0.06178020777347045,77,0.008205096300904649,11.686499999999999,7.94,92.79081,30.038665294647217,3.9605748653411865
A1500_B1000-2000_2026-07-31_024313,1500,1600,8.174784326084673,0.12794460984357828,76,0.014511936127744474,11.637,9.52,110.78424,34.04933214187622,3.910263776779175
A1500_B1000-2000_2026-07-31_024313,1500,1700,9.46486976695959,0.16818322092705565,77,0.04411418720999556,11.543,11.95,137.93884999999997,38.009716510772705,3.9613332748413086
A1500_B1000-2000_2026-07-31_024313,1500,1800,11.013103533193355,0.10102672575789387,77,0.0691531482489566,11.4145,15.32,174.87014000000002,42.0211455821991,3.960874319076538
A1500_B1000-2000_2026-07-31_024313,1500,1900,12.728739896829717,0.10422372060415842,77,0.09903626513207348,11.268,19.28,217.24704000000003,46.03209733963013,3.9608705043792725
A1500_B1000-2000_2026-07-31_024313,1500,2000,14.119519117608938,0.10585504485458946,77,0.1300362651320735,11.1175,23.505000000000003,261.3168375,50.043057441711426,3.961862325668335
A1600_B1000-2000_2026-07-31_025055,1600,1000,4.481935870129869,0.0745979938090247,77,-0.07438298701298707,11.783,4.945,58.266935000000004,10.02815842628479,3.9601094722747803
A1600_B1000-2000_2026-07-31_025055,1600,1100,4.564187578947368,0.07202244768760727,76,-0.06692263157894741,11.747,5.35,62.84645,14.038369417190552,3.910957098007202
A1600_B1000-2000_2026-07-31_025055,1600,1200,5.306611194805194,0.0687304338377846,77,-0.05579857142857148,11.716,5.95,69.7102,17.999445915222168,3.962894916534424
A1600_B1000-2000_2026-07-31_025055,1600,1300,5.927533272727273,0.06795403395039262,77,-0.04183753246753251,11.675,6.79,79.27325,22.012421131134033,3.9614384174346924
A1600_B1000-2000_2026-07-31_025055,1600,1400,6.647377428571429,0.08798435016766518,77,-0.03057779220779225,11.6235,7.865,91.4188275,26.02393889427185,3.961395263671875
A1600_B1000-2000_2026-07-31_025055,1600,1500,7.440481324675324,0.07375108799679049,77,-0.017603766233766277,11.578,9.11,105.47558,30.035417556762695,3.961409330368042
A1600_B1000-2000_2026-07-31_025055,1600,1600,8.381806,0.06977731888681399,77,0.00019578947368416687,11.504,10.57,121.59728,34.046905517578125,3.9608635902404785
A1600_B1000-2000_2026-07-31_025055,1600,1700,9.698130675324673,0.06603756631326671,77,0.024071558441558397,11.427,13.0,148.551,38.05785942077637,3.9105257987976074
A1600_B1000-2000_2026-07-31_025055,1600,1800,11.185741064935064,0.08347757942791378,77,0.052694935064935014,11.2975,16.24,183.47139999999996,42.018497705459595,3.9604618549346924
A1600_B1000-2000_2026-07-31_025055,1600,1900,12.849299506493509,0.08840419281171326,77,0.08748714285714282,11.141,20.25,225.60525,46.02905750274658,3.9630935192108154
A1600_B1000-2000_2026-07-31_025055,1600,2000,14.205702103896101,0.13770186274046045,77,0.11430532467532462,10.99,24.37,267.8263,50.042229890823364,3.961050271987915
A1700_B1000-2000_2026-07-31_025921,1700,1000,5.66079225974026,0.04121396664583508,77,-0.09605842105263158,11.750499999999999,7.3,85.77864999999998,10.026430130004883,3.9602415561676025
A1700_B1000-2000_2026-07-31_025921,1700,1100,5.9416441052631574,0.047272963147903156,76,-0.08895315789473685,11.702,7.61,89.05222,14.036762237548828,3.9108822345733643
A1700_B1000-2000_2026-07-31_025921,1700,1200,6.497646594594595,0.036727978912459186,74,-0.07743675324675324,11.669,8.19,95.56911,17.9977548122406,3.9614574909210205
A1700_B1000-2000_2026-07-31_025921,1700,1300,7.031896155844159,0.050335467240975006,77,-0.06534584415584417,11.6265,8.98,104.40597000000001,22.009305238723755,3.9610390663146973
A1700_B1000-2000_2026-07-31_025921,1700,1400,7.6653766753246755,0.04110349640603049,77,-0.04999519480519481,11.578,9.96,115.31688,26.02044129371643,3.960961103439331
A1700_B1000-2000_2026-07-31_025921,1700,1500,8.441246805194805,0.0419565471421088,77,-0.03522896103896105,11.524999999999999,11.135000000000002,128.330875,30.031620979309082,3.960940361022949
A1700_B1000-2000_2026-07-31_025921,1700,1600,9.282740311688315,0.037951250611994884,77,-0.01934584415584416,11.473500000000001,12.49,143.30401500000002,34.04265904426575,3.961047410964966
A1700_B1000-2000_2026-07-31_025921,1700,1700,10.531039012987014,0.039963019184713545,77,0.006152105263157882,11.387,14.89,169.55243000000002,38.05380320549011,3.911830186843872
A1700_B1000-2000_2026-07-31_025921,1700,1800,12.001961090909091,0.04980996416050995,77,0.03603077922077922,11.267,18.1,203.9327,42.01573324203491,3.961831569671631
A1700_B1000-2000_2026-07-31_025921,1700,1900,13.446039012987017,0.1171641555031212,77,0.06753727272727271,11.131,22.02,245.10462,46.02765965461731,3.960672616958618
A1700_B1000-2000_2026-07-31_025921,1700,2000,14.82502602597403,0.13770697337985038,77,0.09910870129870128,10.974,26.07,286.09218,50.03843450546265,3.9600412845611572
A1800_B1000-2000_2026-07-31_030736,1800,1000,7.192764108147341,0.09312682963895832,77,-0.12040570806439074,11.691500000000001,10.14,118.55181000000002,10.026487112045288,3.9606966972351074
A1800_B1000-2000_2026-07-31_030736,1800,1100,7.249699173082405,0.10132102731818841,77,-0.1123018119604946,11.641,10.39,120.94999,14.037285804748535,3.9617691040039062
