run,session,phase,a_cmd_us,b_cmd_us,n,n_eff,thrust_N,thrust_sd,thrust_sem,torque_Nm,torque_sem,voltage_v,current_a,power_w,efficiency_N_per_W,voltage_noload_v
A1300_B1000-2000_0023,2026-07-24_s1,A1300_B1000,1300,1000,62,62.0,1.7659,0.4213,0.0535,-0.03028,0.00066,11.95,1.356,16.2,0.10901,12.022
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1000,1300,1000,62,62.0,1.7301,0.3575,0.0454,-0.02929,0.00057,11.835,1.332,15.76,0.10978,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1000,1300,1000,63,24.5,1.8426,0.464,0.0938,-0.03025,0.00055,11.693,1.28,14.97,0.12309,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1000,1300,1000,64,23.5,1.9689,0.4733,0.0975,-0.02951,0.00047,11.645,1.262,14.7,0.13394,11.896
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1000,1400,1000,100,41.2,2.8012,0.4104,0.0639,-0.0525,0.00071,11.752,2.471,29.04,0.09646,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1000,1400,1000,101,30.6,2.8317,0.354,0.064,-0.05203,0.00148,11.511,2.328,26.8,0.10566,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1000,1400,1000,97,31.9,2.7641,0.3072,0.0544,-0.04752,0.00204,11.441,2.277,26.05,0.10611,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1000,1400,1000,101,31.8,2.9845,0.3855,0.0683,-0.04753,0.00278,11.369,2.166,24.63,0.12117,
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1000,1400,1000,98,60.3,2.8356,0.5516,0.071,-0.04716,0.00104,11.512,2.337,26.9,0.10541,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1000,1400,1000,101,78.0,2.7723,0.5128,0.058,-0.04671,0.00171,11.329,2.237,25.34,0.1094,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1000,1400,1000,101,62.0,2.8834,0.4638,0.0589,-0.04732,0.00271,11.267,2.25,25.35,0.11374,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1000,1400,1000,101,83.5,3.061,0.53,0.058,-0.05003,0.00282,11.233,2.187,24.57,0.12458,11.604
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1000,1500,1000,33,10.6,3.7513,0.6704,0.2057,-0.06216,0.00159,11.306,3.451,39.02,0.09614,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1000,1500,1000,101,43.1,3.694,0.7464,0.1137,-0.05573,0.00239,11.131,3.38,37.62,0.09819,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1000,1500,1000,100,53.1,3.8837,0.4736,0.065,-0.05848,0.00202,11.1,3.351,37.2,0.1044,11.438
A1300_B1000-2000_0023,2026-07-24_s1,A1300_B1100,1300,1100,63,63.0,1.9996,0.4769,0.0601,-0.02265,0.00053,11.932,1.666,19.88,0.10058,12.022
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1100,1300,1100,63,63.0,2.0131,0.4113,0.0518,-0.02251,0.00048,11.837,1.66,19.65,0.10245,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1100,1300,1100,63,63.0,2.1028,0.4056,0.0511,-0.02174,0.00059,11.703,1.602,18.75,0.11215,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1100,1300,1100,63,63.0,2.2179,0.4063,0.0512,-0.02202,0.00053,11.67,1.572,18.35,0.12087,11.896
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1100,1400,1100,99,59.6,3.0414,0.4441,0.0575,-0.04478,0.00088,11.71,2.789,32.66,0.09312,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1100,1400,1100,100,56.6,3.1921,0.4556,0.0606,-0.04482,0.00072,11.539,2.694,31.09,0.10267,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1100,1400,1100,100,54.7,3.2809,0.4354,0.0589,-0.04398,0.00079,11.476,2.62,30.07,0.10911,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1100,1400,1100,100,50.1,3.3431,0.4354,0.0615,-0.0428,0.0008,11.427,2.59,29.6,0.11294,
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1100,1400,1100,100,73.8,3.023,0.5664,0.0659,-0.04121,0.0009,11.483,2.69,30.89,0.09786,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1100,1400,1100,100,81.4,3.3147,0.6393,0.0708,-0.04296,0.00096,11.357,2.605,29.58,0.11206,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1100,1400,1100,100,59.2,3.3577,0.5662,0.0736,-0.0421,0.00085,11.303,2.596,29.34,0.11444,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1100,1400,1100,99,56.7,3.4928,0.603,0.0801,-0.04237,0.0009,11.256,2.517,28.33,0.12329,11.604
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1100,1500,1100,100,48.5,3.8992,0.5681,0.0816,-0.04813,0.0032,11.287,3.778,42.64,0.09144,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1100,1500,1100,100,48.7,4.0311,0.5442,0.078,-0.04835,0.00337,11.171,3.705,41.39,0.09739,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1100,1500,1100,100,51.7,4.1789,0.5298,0.0737,-0.04905,0.0039,11.123,3.682,40.95,0.10205,11.438
A1300_B1000-2000_0023,2026-07-24_s1,A1300_B1200,1300,1200,63,63.0,2.6952,0.543,0.0684,-0.00887,0.00073,11.883,2.396,28.47,0.09467,12.022
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1200,1300,1200,63,63.0,2.7048,0.442,0.0557,-0.01001,0.00045,11.82,2.34,27.66,0.09779,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1200,1300,1200,63,63.0,2.8079,0.4313,0.0543,-0.00972,0.0005,11.687,2.299,26.87,0.1045,11.896
