name,rel_path,kind,mode,label,start_local,end_local,start_epoch,end_epoch,duration_s,n_rows,rate_hz,size_mb,flags,n_phases,sweeps,a_us_min,a_us_max,b_us_min,b_us_max,voltage_min,voltage_max,current_min,current_max,thrust_max_n,fz_min,fz_max,tz_min,tz_max,pwm_levels
data_20260720_164717.csv,raw/2026-07-20/loadcell/data_20260720_164717.csv,loadcell,standard,,2026-07-20 16:47:17,2026-07-20 16:47:54,1784533637.0,1784533674.46,37.5,1618,43.19,0.12,,,,,,,,,,,,20.2666,-20.2666,0.3104,-0.13073,0.10127,250
data_20260720_183415.csv,raw/2026-07-20/loadcell/data_20260720_183415.csv,loadcell,standard,,2026-07-20 18:34:15,2026-07-20 18:35:04,1784540055.0,1784540104.32,49.3,2139,43.37,0.16,,,,,,,,,,,,21.386,-21.386,-1.217,-0.108,0.124,342
data_20260720_183744.csv,raw/2026-07-20/loadcell/data_20260720_183744.csv,loadcell,standard,,2026-07-20 18:37:44,2026-07-20 18:38:50,1784540264.0,1784540330.18,66.2,3166,47.84,0.24,,,,,,,,,,,,19.7855,-19.7855,0.3435,-0.13562,0.14438,11
thrust_map_1784819132.1200F.csv,raw/2026-07-24/pwm/thrust_map_1784819132.1200F.csv,pwm_map,,1200F,2026-07-24 00:05:35,2026-07-24 00:07:06,1784819135.2793708,1784819226.4802315,91.2,1825,20.01,0.19,,9,4,1000.0,1000.0,1200.0,2000.0,11.124,12.241,0.0,21.56,,,,,,
data_20260724_002308.csv,raw/2026-07-24/loadcell/data_20260724_002308.csv,loadcell,standard,,2026-07-24 00:23:08,2026-07-24 00:25:48,1784820188.0,1784820348.5,160.5,8026,50.01,0.59,gui_pwm_unused;gui_current_unused,,,,,,,,,,,13.639,-13.639,0.47,-0.18225,0.18775,1
thrust_map_1784820192.csv,raw/2026-07-24/pwm/thrust_map_1784820192.csv,pwm_map,,,2026-07-24 00:23:15,2026-07-24 00:23:43,1784820195.9134586,1784820223.3657105,27.5,550,20.03,0.06,,11,1,1300.0,1300.0,1000.0,2000.0,11.054,12.028,0.0,22.36,,,,,,
thrust_map_1784820250.csv,raw/2026-07-24/pwm/thrust_map_1784820250.csv,pwm_map,,,2026-07-24 00:24:13,2026-07-24 00:25:37,1784820253.9159935,1784820337.2189982,83.3,1667,20.01,0.17,,11,3,1300.0,1300.0,1000.0,2000.0,10.954,12.011,0.0,22.86,,,,,,
log_3_2026-7-24-00-27-40.ulg,raw/2026-07-24/ulog/log_3_2026-7-24-00-27-40.ulg,ulog,,log_3,2026-07-24 00:27:40,,1784820460.0,,,0,,13.6,,,,,,,,,,,,,,,,,
"data_20260724_005059, 1300.csv","raw/2026-07-24/loadcell/data_20260724_005059, 1300.csv",loadcell,standard,1300,2026-07-24 00:50:59,2026-07-24 00:54:20,1784821859.0,1784822060.78,201.8,10090,50.0,0.75,gui_pwm_unused;gui_current_unused,,,,,,,,,,,14.7452,-14.7452,0.2378,-0.16501,0.17199,1
thrust_map_1784821865.csv,raw/2026-07-24/pwm/thrust_map_1784821865.csv,pwm_map,,,2026-07-24 00:51:08,2026-07-24 00:54:06,1784821868.928559,1784822046.1854265,177.3,3546,20.0,0.36,,11,4,1400.0,1400.0,1000.0,2000.0,10.739,11.866,0.0,23.07,,,,,,
