run_dir,a_us,n_points,idle_pre_v,idle_post_v,drop_v
raw/2026-07-31\A1000_B1000-2000_2026-07-31_015904,1000,11,11.941553333333331,11.850357333333333,0.09119599999999828
raw/2026-07-31\A1100_B1000-2000_2026-07-31_021029,1100,11,11.957546666666667,11.864170894526033,0.09337577214063408
raw/2026-07-31\A1200_B1000-2000_2026-07-31_021641,1200,11,11.869860000000001,11.759861333333335,0.10999866666666591
raw/2026-07-31\A1300_B1000-2000_2026-07-31_022512,1300,11,11.935153333333334,11.819869333333333,0.11528400000000083
raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421,1400,11,11.928453333333334,11.836089333333334,0.09236399999999989
raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313,1500,11,12.006386666666668,11.894546666666667,0.11184000000000083
raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055,1600,11,11.946573333333333,11.814242666666667,0.13233066666666637
raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921,1700,11,11.971139999999998,11.83149666221629,0.13964333778370808
raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736,1800,11,11.996226666666665,11.825712,0.1705146666666657
raw/2026-07-31\A1900_B1000-2000_2026-07-31_032000,1900,11,12.014273333333334,11.817058666666666,0.19721466666666743
raw/2026-07-31\A2000_B1000-2000_2026-07-31_032944,2000,11,12.014586666666668,11.791013333333334,0.2235733333333343
