t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
2933832,1000,44.0,0.1145,-0.1104,0.2296,0.01247,0.00303,-0.00648,0.0,
2933852,1000,44.0,0.2475,-0.0564,0.3476,0.00647,0.01503,-0.00448,0.0,
2933872,1000,44.0,0.1075,0.1646,0.3936,-0.01553,0.00703,-0.00048,0.0,
2933892,1000,44.0,0.6105,-0.1824,0.3026,0.02147,0.03903,-0.00448,0.0,
2933912,1000,44.0,-0.4645,0.2026,0.0906,-0.00953,-0.04197,-0.00348,0.0,
2933932,1000,44.0,0.3775,0.0276,0.2306,-0.00253,0.02103,-0.00148,0.0,
2933952,1000,44.0,0.4125,-0.2204,0.1156,0.03047,0.02203,-0.01048,0.0,
2933972,1000,44.0,0.6185,-0.0954,0.1986,0.00847,0.04303,-0.00648,0.0,
2933992,1000,44.0,-0.4955,0.2106,0.1966,-0.01853,-0.03897,-0.00148,0.0,
2934012,1000,44.0,-0.4255,0.2956,0.1696,-0.02153,-0.03397,-0.00148,0.0,
2934032,1000,44.0,-0.4275,0.2516,0.0766,-0.01653,-0.03897,0.00052,0.0,
2934052,1000,44.0,-0.5505,0.3086,0.2136,-0.01853,-0.04997,-0.00148,0.0,
2934072,1000,44.0,-0.6205,0.2136,0.1626,-0.01353,-0.05097,-0.00448,0.0,
2934092,1000,44.0,-0.6135,0.4236,0.1336,-0.03153,-0.05297,0.00052,0.0,
2934112,1000,44.0,0.3115,-0.0294,0.1536,0.00247,0.02203,-0.00148,0.0,
2934132,1000,44.0,0.5125,-0.0614,0.2296,0.00447,0.03303,-0.00448,0.0,
2934152,1000,44.0,0.0085,0.0066,0.1746,-0.00253,0.00603,-0.00248,0.0,
2934172,1000,44.0,0.4035,-0.0974,0.3136,0.01247,0.02903,-0.00648,0.0,
2934192,1000,44.0,0.2285,-0.2744,0.3066,0.02847,0.01103,-0.01048,0.0,
2934212,1000,44.0,-0.4825,0.1906,0.1516,-0.01353,-0.03697,-0.00448,0.0,
2934232,1000,44.0,0.5455,-0.2944,0.3176,0.02847,0.03703,-0.00748,0.0,
2934252,1000,44.0,-0.6885,0.2406,0.0606,-0.00553,-0.05797,-0.00848,0.0,
2934272,1000,44.0,-0.4535,0.0466,0.1626,0.00047,-0.03797,-0.00448,0.0,
2934292,1000,44.0,-0.5105,0.2256,0.1606,-0.01053,-0.04397,-0.00548,0.0,
2934312,1000,44.0,0.5175,0.0946,0.1926,-0.01053,0.03703,0.00252,0.0,
2934332,1000,44.0,0.6685,-0.0314,0.3386,-0.00153,0.05103,-0.00048,0.0,
2934352,1000,44.0,0.5275,0.0166,0.3726,0.00147,0.03303,-0.00448,0.0,
2934372,1000,44.0,-0.2705,-0.0424,0.2186,0.01647,-0.02297,-0.00948,0.0,
2934392,1000,44.0,-0.7935,0.3236,0.1296,-0.02653,-0.06297,0.00052,0.0,
2934412,1000,44.0,-0.6825,0.1156,0.1926,-0.00553,-0.05597,-0.00648,0.0,
2934432,1000,44.0,0.1505,0.1936,0.3246,-0.02153,0.01703,0.00152,0.0,
2934452,1000,44.0,0.6035,-0.1104,0.3526,0.00547,0.04703,-0.00148,0.0,
2934472,1000,44.0,-0.1555,0.4266,0.0256,-0.03553,-0.00997,0.00552,0.0,
2934492,1000,44.0,0.6895,-0.2634,0.2836,0.01547,0.05203,-0.00048,0.0,
2934512,1000,44.0,-0.1415,0.0266,0.3636,0.00347,-0.01697,-0.00548,0.0,
2934532,1000,44.0,-0.2825,0.1366,0.1966,-0.01253,-0.02197,0.00052,0.0,
2934552,1000,44.0,0.6275,-0.1434,0.2376,0.01047,0.04203,-0.00448,0.0,
2934572,1000,44.0,0.1115,-0.0854,0.2796,0.01447,0.00703,-0.00648,0.0,
2934592,1000,44.0,-0.0455,-0.0134,0.2016,0.00247,-0.01297,-0.00248,0.0,
2934612,1000,44.0,-0.4345,0.0396,0.1226,0.00047,-0.03697,-0.00548,0.0,
2934632,1000,44.0,0.4465,-0.0204,0.1436,0.00247,0.03003,-0.00148,0.0,
2934652,1000,44.0,-0.1235,0.0846,0.1306,-0.00253,-0.01297,-0.00348,0.0,
2934672,1000,44.0,-0.0555,0.1496,0.1676,-0.01153,-0.00797,-0.00448,0.0,
2934692,1000,44.0,0.2285,-0.1444,0.2586,0.01147,0.01103,-0.00548,0.0,
2934712,1000,44.0,0.3085,-0.0434,0.3006,0.00347,0.02003,-0.00048,0.0,
2934732,1000,44.0,0.0845,-0.0514,0.3416,0.00647,0.00403,-0.00448,0.0,
2934752,1000,44.0,0.6355,-0.2794,0.3476,0.02647,0.04603,-0.00548,0.0,
2934772,1000,44.0,0.5975,-0.0954,0.3026,0.00847,0.04403,-0.00248,0.0,
2934792,1000,44.0,-0.2625,-0.0764,0.2106,0.01647,-0.02897,-0.01048,0.0,
2934812,1000,44.0,-0.2005,0.0966,0.2336,-0.00853,-0.01997,-0.00148,0.0,
2934832,1000,44.0,0.0045,-0.1404,0.3766,0.02147,-0.00397,-0.01048,0.0,
2934852,1000,44.0,-0.0655,0.1716,0.0856,-0.01153,-0.00797,-0.00148,0.0,
2934872,1000,44.0,0.2705,-0.2934,0.3176,0.04047,0.00503,-0.01448,0.0,
2934892,1000,44.0,0.5165,0.0066,0.2306,-0.00353,0.03703,0.00152,0.0,
2934912,1000,44.0,0.7605,-0.1474,0.2886,0.01747,0.05403,-0.00548,0.0,
2934932,1000,44.0,0.5485,-0.1224,0.2566,0.01147,0.03503,-0.00648,0.0,
2934952,1000,44.0,-0.7215,0.2396,0.1066,-0.00953,-0.05997,-0.00648,0.0,
2934972,1000,44.0,-0.0315,-0.3134,0.3396,0.03347,-0.00697,-0.01048,0.0,
2934992,1000,44.0,0.2515,-0.2284,0.4186,0.02747,0.01403,-0.00948,0.0,
2935012,1000,44.0,0.5615,-0.1254,0.2776,0.01447,0.03503,-0.00148,0.0,
2935032,1000,44.0,-0.4255,0.2646,-0.0464,-0.02253,-0.03797,-0.00048,0.0,
2935052,1000,44.0,0.6445,-0.1074,0.2566,0.01247,0.04903,-0.00448,0.0,
2935072,1000,44.0,0.3885,-0.1294,0.2646,0.02147,0.02503,-0.00748,0.0,
2935092,1000,44.0,-0.1495,0.0206,0.1646,0.00447,-0.01697,-0.00648,0.0,
2935112,1000,44.0,0.1845,-0.1194,0.3566,0.01647,0.00903,-0.00848,0.0,
2935132,1000,44.0,-0.6485,0.2626,0.2346,-0.01753,-0.05597,-0.00348,0.0,
2935152,1000,44.0,0.5235,-0.1394,0.3146,0.01547,0.03703,-0.00548,0.0,
2935172,1000,44.0,0.1775,0.0196,0.4076,0.00347,0.01303,-0.00548,0.0,
2935192,1000,44.0,-0.4965,0.3556,0.1466,-0.02853,-0.04197,-0.00148,0.0,
2935212,1000,44.0,-0.6485,0.1726,0.1016,-0.00953,-0.05297,-0.00448,0.0,
2935232,1000,44.0,-0.5115,-0.0364,0.0876,0.01047,-0.04797,-0.00948,0.0,
2935252,1000,44.0,-0.2635,0.1096,0.1516,-0.00453,-0.02397,-0.00248,0.0,
2935272,1000,44.0,0.6375,0.0016,0.2616,-0.00153,0.04403,-0.00148,0.0,
2935292,1000,44.0,-0.3505,0.2406,0.0806,-0.01353,-0.03097,-0.00448,0.0,
