t_epoch,t_fc_us,phase,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw,voltage_v,current_a,sweep_idx
1784878688.0036652,1212845621,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,12.197,0.0,1
1784878688.0581753,1212898023,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,12.208,0.0,1
1784878688.1049943,1212945974,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,12.208,0.0,1
1784878688.1589952,1212998357,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,12.055,10.36,1
1784878688.205933,1213046340,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,12.055,10.36,1
1784878688.254778,1213095698,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.966,11.08,1
1784878688.3038266,1213146618,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.966,11.08,1
1784878688.356543,1213197531,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.284,34.1,1
1784878688.405888,1213247046,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.284,34.1,1
1784878688.4548786,1213294879,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.459,30.58,1
1784878688.5049553,1213347294,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.459,30.58,1
1784878688.5552812,1213395205,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.615,28.61,1
1784878688.6036026,1213444628,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.615,28.61,1
1784878688.6571467,1213497047,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.458,27.86,1
1784878688.7059715,1213547999,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.458,27.86,1
1784878688.758734,1213597375,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.52,27.26,1
1784878688.8049777,1213646791,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.52,27.26,1
1784878688.8549788,1213694711,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.574,27.12,1
1784878688.9050028,1213747124,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.574,27.12,1
1784878688.9602132,1213798046,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.502,26.7,1
1784878689.0051029,1213847510,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.502,26.7,1
1784878689.0590932,1213896879,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.43,26.06,1
1784878689.1059592,1213947798,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.43,26.06,1
1784878689.1594229,1213997260,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.615,26.33,1
1784878689.2060096,1214048129,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.615,26.33,1
1784878689.2548635,1214094599,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.45,26.03,1
1784878689.3049834,1214147015,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.45,26.03,1
1784878689.3587258,1214196408,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.442,26.14,1
1784878689.4035826,1214245801,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.442,26.14,1
1784878689.4563417,1214296770,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.568,26.02,1
1784878689.5061479,1214346143,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.568,26.02,1
1784878689.5566645,1214397132,A1850_B1850,1850,1850,0.85,0.85,1850,1850,1000,1000,0,0,0,0,11.547,26.44,1
