t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,t_fc_us,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw
1785431432.5941746,idle_pre,0,1000,1000,0.0,0.0,329909215,1000,1000,1000,1000,0,0,0,0
1785431432.6132386,idle_pre,0,1000,1000,0.0,0.0,329928726,1000,1000,1000,1000,0,0,0,0
1785431432.6315515,idle_pre,0,1000,1000,0.0,0.0,329946612,1000,1000,1000,1000,0,0,0,0
1785431432.6546736,idle_pre,0,1000,1000,0.0,0.0,329969073,1000,1000,1000,1000,0,0,0,0
1785431432.6728208,idle_pre,0,1000,1000,0.0,0.0,329988547,1000,1000,1000,1000,0,0,0,0
1785431432.6947823,idle_pre,0,1000,1000,0.0,0.0,330011010,1000,1000,1000,1000,0,0,0,0
1785431432.7130911,idle_pre,0,1000,1000,0.0,0.0,330028975,1000,1000,1000,1000,0,0,0,0
1785431432.7339818,idle_pre,0,1000,1000,0.0,0.0,330051440,1000,1000,1000,1000,0,0,0,0
1785431432.7520287,idle_pre,0,1000,1000,0.0,0.0,330066420,1000,1000,1000,1000,0,0,0,0
1785431432.7730005,idle_pre,0,1000,1000,0.0,0.0,330088879,1000,1000,1000,1000,0,0,0,0
1785431432.7944503,idle_pre,0,1000,1000,0.0,0.0,330109888,1000,1000,1000,1000,0,0,0,0
1785431432.8115938,idle_pre,0,1000,1000,0.0,0.0,330126321,1000,1000,1000,1000,0,0,0,0
1785431432.833009,idle_pre,0,1000,1000,0.0,0.0,330148785,1000,1000,1000,1000,0,0,0,0
1785431432.85327,idle_pre,0,1000,1000,0.0,0.0,330169792,1000,1000,1000,1000,0,0,0,0
1785431432.8716729,idle_pre,0,1000,1000,0.0,0.0,330186221,1000,1000,1000,1000,0,0,0,0
1785431432.8946934,idle_pre,0,1000,1000,0.0,0.0,330208683,1000,1000,1000,1000,0,0,0,0
1785431432.9124541,idle_pre,0,1000,1000,0.0,0.0,330226714,1000,1000,1000,1000,0,0,0,0
1785431432.9332438,idle_pre,0,1000,1000,0.0,0.0,330249115,1000,1000,1000,1000,0,0,0,0
1785431432.9516263,idle_pre,0,1000,1000,0.0,0.0,330268586,1000,1000,1000,1000,0,0,0,0
1785431432.9730573,idle_pre,0,1000,1000,0.0,0.0,330288066,1000,1000,1000,1000,0,0,0,0
1785431432.9944441,idle_pre,0,1000,1000,0.0,0.0,330310517,1000,1000,1000,1000,0,0,0,0
1785431433.011597,idle_pre,0,1000,1000,0.0,0.0,330328486,1000,1000,1000,1000,0,0,0,0
1785431433.033012,idle_pre,0,1000,1000,0.0,0.0,330347960,1000,1000,1000,1000,0,0,0,0
1785431433.051607,idle_pre,0,1000,1000,0.0,0.0,330367427,1000,1000,1000,1000,0,0,0,0
1785431433.0733175,idle_pre,0,1000,1000,0.0,0.0,330389916,1000,1000,1000,1000,0,0,0,0
1785431433.0938632,idle_pre,0,1000,1000,0.0,0.0,330407861,1000,1000,1000,1000,0,0,0,0
1785431433.1130228,idle_pre,0,1000,1000,0.0,0.0,330427325,1000,1000,1000,1000,0,0,0,0
1785431433.133321,idle_pre,0,1000,1000,0.0,0.0,330448395,1000,1000,1000,1000,0,0,0,0
1785431433.1530197,idle_pre,0,1000,1000,0.0,0.0,330467764,1000,1000,1000,1000,0,0,0,0
1785431433.171683,idle_pre,0,1000,1000,0.0,0.0,330488726,1000,1000,1000,1000,0,0,0,0
1785431433.1952026,idle_pre,0,1000,1000,0.0,0.0,330508200,1000,1000,1000,1000,0,0,0,0
1785431433.2132514,idle_pre,0,1000,1000,0.0,0.0,330530660,1000,1000,1000,1000,0,0,0,0
1785431433.2330382,idle_pre,0,1000,1000,0.0,0.0,330548626,1000,1000,1000,1000,0,0,0,0
1785431433.2516613,idle_pre,0,1000,1000,0.0,0.0,330568096,1000,1000,1000,1000,0,0,0,0
1785431433.2731688,idle_pre,0,1000,1000,0.0,0.0,330587566,1000,1000,1000,1000,0,0,0,0
1785431433.2951941,idle_pre,0,1000,1000,0.0,0.0,330610028,1000,1000,1000,1000,0,0,0,0
1785431433.311643,idle_pre,0,1000,1000,0.0,0.0,330628004,1000,1000,1000,1000,0,0,0,0
1785431433.3323197,idle_pre,0,1000,1000,0.0,0.0,330647472,1000,1000,1000,1000,0,0,0,0
1785431433.3532534,idle_pre,0,1000,1000,0.0,0.0,330670009,1000,1000,1000,1000,0,0,0,0
1785431433.371599,idle_pre,0,1000,1000,0.0,0.0,330687900,1000,1000,1000,1000,0,0,0,0
1785431433.3958037,idle_pre,0,1000,1000,0.0,0.0,330707373,1000,1000,1000,1000,0,0,0,0
1785431433.413312,idle_pre,0,1000,1000,0.0,0.0,330729834,1000,1000,1000,1000,0,0,0,0
1785431433.431762,idle_pre,0,1000,1000,0.0,0.0,330747799,1000,1000,1000,1000,0,0,0,0
1785431433.4530284,idle_pre,0,1000,1000,0.0,0.0,330768818,1000,1000,1000,1000,0,0,0,0
1785431433.4732928,idle_pre,0,1000,1000,0.0,0.0,330788239,1000,1000,1000,1000,0,0,0,0
1785431433.4964674,idle_pre,0,1000,1000,0.0,0.0,330807701,1000,1000,1000,1000,0,0,0,0
1785431433.5134242,idle_pre,0,1000,1000,0.0,0.0,330828714,1000,1000,1000,1000,0,0,0,0
1785431433.533623,idle_pre,0,1000,1000,0.0,0.0,330848141,1000,1000,1000,1000,0,0,0,0
1785431433.553163,idle_pre,0,1000,1000,0.0,0.0,330867608,1000,1000,1000,1000,0,0,0,0
1785431433.5734727,idle_pre,0,1000,1000,0.0,0.0,330890066,1000,1000,1000,1000,0,0,0,0
1785431433.5938823,idle_pre,0,1000,1000,0.0,0.0,330908043,1000,1000,1000,1000,0,0,0,0
1785431433.613265,idle_pre,0,1000,1000,0.0,0.0,330927506,1000,1000,1000,1000,0,0,0,0
1785431433.6344151,idle_pre,0,1000,1000,0.0,0.0,330949972,1000,1000,1000,1000,0,0,0,0
1785431433.6539855,idle_pre,0,1000,1000,0.0,0.0,330967995,1000,1000,1000,1000,0,0,0,0
1785431433.6739724,idle_pre,0,1000,1000,0.0,0.0,330990407,1000,1000,1000,1000,0,0,0,0
1785431433.6947987,idle_pre,0,1000,1000,0.0,0.0,331008424,1000,1000,1000,1000,0,0,0,0
1785431433.7131453,idle_pre,0,1000,1000,0.0,0.0,331027843,1000,1000,1000,1000,0,0,0,0
1785431433.7342665,idle_pre,0,1000,1000,0.0,0.0,331050309,1000,1000,1000,1000,0,0,0,0
1785431433.7526255,idle_pre,0,1000,1000,0.0,0.0,331068323,1000,1000,1000,1000,0,0,0,0
1785431433.773166,idle_pre,0,1000,1000,0.0,0.0,331087745,1000,1000,1000,1000,0,0,0,0
1785431433.7936292,idle_pre,0,1000,1000,0.0,0.0,331108723,1000,1000,1000,1000,0,0,0,0
1785431433.8124127,idle_pre,0,1000,1000,0.0,0.0,331128230,1000,1000,1000,1000,0,0,0,0
1785431433.8342233,idle_pre,0,1000,1000,0.0,0.0,331150694,1000,1000,1000,1000,0,0,0,0
1785431433.8537126,idle_pre,0,1000,1000,0.0,0.0,331170114,1000,1000,1000,1000,0,0,0,0
1785431433.871654,idle_pre,0,1000,1000,0.0,0.0,331188157,1000,1000,1000,1000,0,0,0,0
1785431433.8956523,idle_pre,0,1000,1000,0.0,0.0,331207553,1000,1000,1000,1000,0,0,0,0
1785431433.9139926,idle_pre,0,1000,1000,0.0,0.0,331230014,1000,1000,1000,1000,0,0,0,0
1785431433.933099,idle_pre,0,1000,1000,0.0,0.0,331248040,1000,1000,1000,1000,0,0,0,0
