t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,voltage_v,current_a
1785437592.1505203,idle_pre,0,1000,1000,0.0,0.0,11.201,0.0
1785437592.169466,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437592.1894946,idle_pre,0,1000,1000,0.0,0.0,11.161,0.0
1785437592.2085514,idle_pre,0,1000,1000,0.0,0.0,11.169,0.0
1785437592.229422,idle_pre,0,1000,1000,0.0,0.0,11.174,0.0
1785437592.2512228,idle_pre,0,1000,1000,0.0,0.0,11.158,0.0
1785437592.2684474,idle_pre,0,1000,1000,0.0,0.0,11.163,0.0
1785437592.289397,idle_pre,0,1000,1000,0.0,0.0,11.251,0.02
1785437592.3103962,idle_pre,0,1000,1000,0.0,0.0,11.11,0.0
1785437592.3284092,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437592.3525286,idle_pre,0,1000,1000,0.0,0.0,11.158,0.0
1785437592.3706229,idle_pre,0,1000,1000,0.0,0.0,11.264,0.0
1785437592.3894708,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437592.4103987,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437592.4284732,idle_pre,0,1000,1000,0.0,0.0,11.181,0.0
1785437592.45245,idle_pre,0,1000,1000,0.0,0.0,11.162,0.0
1785437592.470448,idle_pre,0,1000,1000,0.0,0.0,11.16,0.0
1785437592.4884079,idle_pre,0,1000,1000,0.0,0.0,11.157,0.0
1785437592.5104256,idle_pre,0,1000,1000,0.0,0.0,11.161,0.0
1785437592.5304136,idle_pre,0,1000,1000,0.0,0.0,11.161,0.0
1785437592.5514457,idle_pre,0,1000,1000,0.0,0.0,11.163,0.0
1785437592.569403,idle_pre,0,1000,1000,0.0,0.0,11.167,0.0
1785437592.5904064,idle_pre,0,1000,1000,0.0,0.0,11.157,0.0
1785437592.6094062,idle_pre,0,1000,1000,0.0,0.0,11.159,0.0
1785437592.6304257,idle_pre,0,1000,1000,0.0,0.0,11.165,0.0
1785437592.6525378,idle_pre,0,1000,1000,0.0,0.0,11.177,0.0
1785437592.6685686,idle_pre,0,1000,1000,0.0,0.0,11.169,0.0
1785437592.6894693,idle_pre,0,1000,1000,0.0,0.0,11.165,0.0
1785437592.7110286,idle_pre,0,1000,1000,0.0,0.0,11.169,0.0
1785437592.728409,idle_pre,0,1000,1000,0.0,0.0,11.175,0.0
1785437592.752453,idle_pre,0,1000,1000,0.0,0.0,11.139,0.0
1785437592.7704704,idle_pre,0,1000,1000,0.0,0.0,11.169,0.0
1785437592.789656,idle_pre,0,1000,1000,0.0,0.0,11.174,0.0
1785437592.810424,idle_pre,0,1000,1000,0.0,0.0,11.165,0.0
1785437592.8294106,idle_pre,0,1000,1000,0.0,0.0,11.159,0.0
1785437592.8518677,idle_pre,0,1000,1000,0.0,0.0,11.142,0.0
1785437592.8694108,idle_pre,0,1000,1000,0.0,0.0,11.159,0.0
1785437592.8904426,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437592.9084299,idle_pre,0,1000,1000,0.0,0.0,11.163,0.0
1785437592.92993,idle_pre,0,1000,1000,0.0,0.0,11.162,0.0
1785437592.9512005,idle_pre,0,1000,1000,0.0,0.0,11.089,0.1
1785437592.9684818,idle_pre,0,1000,1000,0.0,0.0,11.155,0.0
1785437592.9904141,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437593.008423,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437593.0297492,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437593.050471,idle_pre,0,1000,1000,0.0,0.0,11.177,0.0
1785437593.0694757,idle_pre,0,1000,1000,0.0,0.0,11.159,0.0
1785437593.0905554,idle_pre,0,1000,1000,0.0,0.0,11.162,0.0
1785437593.1084652,idle_pre,0,1000,1000,0.0,0.0,11.163,0.0
1785437593.1294575,idle_pre,0,1000,1000,0.0,0.0,11.167,0.0
1785437593.1505737,idle_pre,0,1000,1000,0.0,0.0,11.171,0.0
1785437593.1690402,idle_pre,0,1000,1000,0.0,0.0,11.172,0.0
1785437593.1904876,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437593.2084599,idle_pre,0,1000,1000,0.0,0.0,11.101,0.0
1785437593.2294567,idle_pre,0,1000,1000,0.0,0.0,11.092,0.0
1785437593.2524784,idle_pre,0,1000,1000,0.0,0.0,11.12,0.0
1785437593.2704313,idle_pre,0,1000,1000,0.0,0.0,11.193,0.03
1785437593.288487,idle_pre,0,1000,1000,0.0,0.0,11.158,0.0
1785437593.309454,idle_pre,0,1000,1000,0.0,0.0,11.163,0.0
1785437593.3285067,idle_pre,0,1000,1000,0.0,0.0,11.161,0.0
1785437593.35253,idle_pre,0,1000,1000,0.0,0.0,11.165,0.0
1785437593.3709178,idle_pre,0,1000,1000,0.0,0.0,11.086,0.0
1785437593.3884284,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437593.41043,idle_pre,0,1000,1000,0.0,0.0,11.162,0.0
1785437593.430055,idle_pre,0,1000,1000,0.0,0.0,11.173,0.0
1785437593.4504967,idle_pre,0,1000,1000,0.0,0.0,11.117,0.0
1785437593.4695683,idle_pre,0,1000,1000,0.0,0.0,11.125,0.0
1785437593.490487,idle_pre,0,1000,1000,0.0,0.0,11.165,0.0
1785437593.508898,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437593.5294638,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437593.551481,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437593.5681539,idle_pre,0,1000,1000,0.0,0.0,11.161,0.0
1785437593.5884867,idle_pre,0,1000,1000,0.0,0.0,11.164,0.0
1785437593.6094992,idle_pre,0,1000,1000,0.0,0.0,11.162,0.0
1785437593.6304905,idle_pre,0,1000,1000,0.0,0.0,11.175,0.0
1785437593.6514945,idle_pre,0,1000,1000,0.0,0.0,11.163,0.0
1785437593.6706457,idle_pre,0,1000,1000,0.0,0.0,11.177,0.0
1785437593.6884642,idle_pre,0,1000,1000,0.0,0.0,11.162,0.0
1785437593.7094743,idle_pre,0,1000,1000,0.0,0.0,11.178,0.0
1785437593.7304401,idle_pre,0,1000,1000,0.0,0.0,11.171,0.0
1785437593.7515225,idle_pre,0,1000,1000,0.0,0.0,11.157,0.0
1785437593.7684412,idle_pre,0,1000,1000,0.0,0.0,11.173,0.0
1785437593.7894495,idle_pre,0,1000,1000,0.0,0.0,11.16,0.0
1785437593.8084548,idle_pre,0,1000,1000,0.0,0.0,11.171,0.0
1785437593.8304408,idle_pre,0,1000,1000,0.0,0.0,11.165,0.0
1785437593.8514779,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437593.8705053,idle_pre,0,1000,1000,0.0,0.0,11.154,0.0
1785437593.8894649,idle_pre,0,1000,1000,0.0,0.0,11.191,0.0
1785437593.9104757,idle_pre,0,1000,1000,0.0,0.0,11.167,0.0
1785437593.929506,idle_pre,0,1000,1000,0.0,0.0,11.16,0.0
1785437593.950471,idle_pre,0,1000,1000,0.0,0.0,11.155,0.0
1785437593.9684467,idle_pre,0,1000,1000,0.0,0.0,11.171,0.0
1785437593.9894695,idle_pre,0,1000,1000,0.0,0.0,11.177,0.0
1785437594.0104935,idle_pre,0,1000,1000,0.0,0.0,11.172,0.0
1785437594.0284557,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437594.0506144,idle_pre,0,1000,1000,0.0,0.0,11.161,0.0
1785437594.068554,idle_pre,0,1000,1000,0.0,0.0,11.164,0.0
1785437594.0901117,idle_pre,0,1000,1000,0.0,0.0,11.171,0.0
1785437594.1105325,idle_pre,0,1000,1000,0.0,0.0,11.268,0.0
1785437594.1296523,idle_pre,0,1000,1000,0.0,0.0,11.134,0.0
1785437594.151073,idle_pre,0,1000,1000,0.0,0.0,11.17,0.0
1785437594.1689188,idle_pre,0,1000,1000,0.0,0.0,11.168,0.0
1785437594.1895337,idle_pre,0,1000,1000,0.0,0.0,11.261,0.0
1785437594.2105124,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437594.2286634,idle_pre,0,1000,1000,0.0,0.0,11.172,0.0
1785437594.252632,idle_pre,0,1000,1000,0.0,0.0,11.23,0.0
1785437594.2707677,idle_pre,0,1000,1000,0.0,0.0,11.159,0.0
1785437594.2884884,idle_pre,0,1000,1000,0.0,0.0,11.166,0.0
1785437594.310859,idle_pre,0,1000,1000,0.0,0.0,11.133,0.0
