t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
246292,1000,0.0,-2.0230,-1.5010,-1.8460,0.10800,-0.10700,-0.01600,0.0,
246312,1000,0.0,-2.1070,-1.4760,-1.9250,0.11300,-0.11200,-0.01900,0.0,
246332,1000,0.0,-2.1520,-1.5420,-1.8790,0.11300,-0.10800,-0.01700,0.0,
246352,1000,0.0,-1.9950,-1.6370,-1.8420,0.12300,-0.09900,-0.01900,0.0,
246372,1000,0.0,-1.8960,-1.4820,-1.7720,0.10800,-0.08900,-0.01500,0.0,
246392,1000,0.0,-2.0810,-1.4660,-1.8420,0.11200,-0.10900,-0.01700,0.0,
246412,1000,0.0,-2.1940,-1.4040,-1.8390,0.10300,-0.11300,-0.01700,0.0,
246432,1000,0.0,-2.3080,-1.4210,-1.8050,0.10600,-0.12800,-0.01900,0.0,
246452,1000,0.0,-1.8990,-1.5860,-1.8880,0.11400,-0.09300,-0.01600,0.0,
246472,1000,0.0,-2.3730,-1.4580,-1.8630,0.10800,-0.13100,-0.01900,0.0,
246492,1000,0.0,-2.0410,-1.5110,-1.6740,0.10800,-0.10300,-0.01600,0.0,
246512,1000,0.0,-1.8720,-1.6580,-1.9770,0.11700,-0.08700,-0.01700,0.0,
246532,1000,0.0,-1.9880,-1.4430,-1.8200,0.10600,-0.10400,-0.01500,0.0,
246552,1000,0.0,-2.0660,-1.4270,-1.9220,0.10500,-0.10400,-0.01200,0.0,
246572,1000,0.0,-1.8870,-1.5400,-1.7900,0.11300,-0.08900,-0.01300,0.0,
246592,1000,0.0,-2.0520,-1.5060,-2.0090,0.11000,-0.10800,-0.01500,0.0,
246612,1000,0.0,-2.0460,-1.4930,-1.9330,0.10800,-0.10100,-0.01800,0.0,
246632,1000,0.0,-2.0580,-1.3810,-1.9220,0.10100,-0.10600,-0.01300,0.0,
246652,1000,0.0,-1.5970,-1.6620,-1.7330,0.11900,-0.07200,-0.01600,0.0,
246672,1000,0.0,-1.7300,-1.4910,-1.8400,0.10700,-0.08500,-0.01400,0.0,
246692,1000,0.0,-2.0610,-1.7130,-1.9330,0.12800,-0.10600,-0.01800,0.0,
246712,1000,0.0,-2.1900,-1.5000,-1.9420,0.11100,-0.11700,-0.01800,0.0,
246732,1000,0.0,-1.7230,-1.4580,-1.9390,0.10100,-0.07600,-0.01300,0.0,
246752,1000,0.0,-2.5560,-1.4840,-1.8410,0.11700,-0.14900,-0.01800,0.0,
246772,1000,0.0,-1.9280,-1.5930,-2.0020,0.11500,-0.09600,-0.01700,0.0,
246792,1000,0.0,-1.9020,-1.6080,-1.8990,0.12000,-0.09500,-0.01600,0.0,
246812,1000,0.0,-1.8330,-1.6090,-1.8780,0.12600,-0.09600,-0.02100,0.0,
246832,1000,0.0,-2.6580,-1.3900,-1.9080,0.10200,-0.15100,-0.01900,0.0,
246852,1000,0.0,-2.0290,-1.3760,-1.8400,0.09400,-0.10900,-0.01200,0.0,
246872,1000,0.0,-1.9690,-1.5370,-1.9000,0.11900,-0.09600,-0.01700,0.0,
246892,1000,0.0,-1.8440,-1.6070,-1.9250,0.11800,-0.09100,-0.01200,0.0,
246912,1000,0.0,-2.0010,-1.5640,-1.7650,0.11400,-0.09900,-0.01400,0.0,
246932,1000,0.0,-1.8380,-1.5420,-1.8750,0.11500,-0.08800,-0.01400,0.0,
246952,1000,0.0,-2.0480,-1.4710,-1.8050,0.11000,-0.10500,-0.01800,0.0,
246972,1000,0.0,-1.8120,-1.6440,-1.8040,0.12000,-0.09000,-0.01700,0.0,
