t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784820193.91346,,,,,,,,,,-0.01558,0.00519,0.12129,-0.0033,-0.0014,0.00658,-0.12129,0.00658,0.0
0.02,1784820193.93346,,,,,,,,,,-0.1554,0.08921,0.08518,-0.01063,-0.00897,0.00558,-0.08518,0.00558,0.0
0.04,1784820193.95346,,,,,,,,,,0.07864,-0.07503,0.02484,0.00022,0.01108,0.0044,-0.02484,0.0044,0.0
0.06,1784820193.97346,,,,,,,,,,-0.10922,0.0591,-0.05681,-0.01016,-0.00502,0.00327,0.05681,0.00327,0.0
0.08,1784820193.99346,,,,,,,,,,-0.17231,0.22492,-0.01799,-0.02214,-0.0077,0.00627,0.01799,0.00627,0.0
0.1,1784820194.01346,,,,,,,,,,0.03787,0.05944,0.05661,-0.01032,0.00823,0.00771,-0.05661,0.00771,0.0
0.12,1784820194.03346,,,,,,,,,,0.0652,0.0054,0.08902,-0.00174,0.00904,0.00292,-0.08902,0.00292,0.0
0.14,1784820194.05346,,,,,,,,,,-0.12838,-0.07349,0.05478,-0.00076,-0.0058,0.0041,-0.05478,0.0041,0.0
0.16,1784820194.07346,,,,,,,,,,0.20806,-0.15394,-0.01558,0.01007,0.01715,0.00592,0.01558,0.00592,0.0
0.18,1784820194.09346,,,,,,,,,,0.10038,0.12747,-0.00417,-0.01584,0.01305,0.00692,0.00417,0.00692,0.0
0.2,1784820194.11346,,,,,,,,,,0.09052,-0.0052,0.02733,-0.00593,0.01442,0.00689,-0.02733,0.00689,0.0
0.22,1784820194.13346,,,,,,,,,,-0.00956,-0.10539,0.16402,0.00649,0.00326,0.00361,-0.16402,0.00361,0.0
0.24,1784820194.15346,,,,,,,,,,0.11897,0.049,0.07506,-0.01078,0.0106,0.0074,-0.07506,0.0074,0.0
0.26,1784820194.17346,,,,,,,,,,-0.11066,0.14124,0.06152,-0.01701,-0.0006,0.00592,-0.06152,0.00592,0.0
0.28,1784820194.19346,,,,,,,,,,0.02412,0.09399,0.08146,-0.01018,0.00588,0.0064,-0.08146,0.0064,0.0
0.3,1784820194.21346,,,,,,,,,,0.09701,-0.02635,0.14823,-0.00332,0.01126,0.00406,-0.14823,0.00406,0.0
0.32,1784820194.23346,,,,,,,,,,0.12881,-0.05639,0.08391,0.0018,0.01548,0.00179,-0.08391,0.00179,0.0
0.34,1784820194.25346,,,,,,,,,,-0.14374,0.15215,0.12507,-0.01497,-0.0061,0.0064,-0.12507,0.0064,0.0
0.36,1784820194.27346,,,,,,,,,,0.12954,-0.0174,-0.0254,-0.00353,0.01531,0.0044,0.0254,0.0044,0.0
0.38,1784820194.29346,,,,,,,,,,-0.14172,0.00369,0.06299,-0.0016,-0.01039,0.00361,-0.06299,0.00361,0.0
0.4,1784820194.31346,,,,,,,,,,-0.04055,0.05809,0.08421,-0.00442,0.00205,0.00706,-0.08421,0.00706,0.0
0.42,1784820194.33346,,,,,,,,,,0.04857,-0.14746,0.003,0.01292,0.00948,0.00289,-0.003,0.00289,0.0
0.44,1784820194.35346,,,,,,,,,,0.21468,-0.02542,0.10747,0.00446,0.01654,0.00031,-0.10747,0.00031,0.0
0.46,1784820194.37346,,,,,,,,,,-0.41549,0.1955,0.07668,-0.01881,-0.0281,0.0074,-0.07668,0.0074,0.0
0.48,1784820194.39346,,,,,,,,,,-0.49054,0.26031,0.06447,-0.02655,-0.03257,0.00558,-0.06447,0.00558,0.0
0.5,1784820194.41346,,,,,,,,,,0.2502,-0.0179,0.10483,-0.00232,0.0224,0.00475,-0.10483,0.00475,0.0
0.52,1784820194.43346,,,,,,,,,,0.10138,-0.0445,0.10486,0.0028,0.01401,0.00389,-0.10486,0.00389,0.0
0.54,1784820194.45346,,,,,,,,,,-0.53473,0.19921,0.11315,-0.01328,-0.04032,0.00079,-0.11315,0.00079,0.0
0.56,1784820194.47346,,,,,,,,,,0.14446,-0.04483,0.1375,0.00113,0.01503,0.00523,-0.1375,0.00523,0.0
0.58,1784820194.49346,,,,,,,,,,-0.25752,-0.00977,0.16177,0.00157,-0.02189,0.00327,-0.16177,0.00327,0.0
0.6,1784820194.51346,,,,,,,,,,0.00197,0.04183,0.1259,-0.00647,0.00341,0.00523,-0.1259,0.00523,0.0
0.62,1784820194.53346,,,,,,,,,,-0.41824,0.16463,-0.07995,-0.01307,-0.0288,0.00223,0.07995,0.00223,0.0
0.64,1784820194.55346,,,,,,,,,,-0.08632,0.03067,0.05416,-0.00186,-0.00688,0.00217,-0.05416,0.00217,0.0
0.66,1784820194.57346,,,,,,,,,,-0.21139,0.29942,0.03913,-0.03959,-0.0092,0.01271,-0.03913,0.01271,0.0
0.68,1784820194.59346,,,,,,,,,,0.21048,0.15077,0.06694,-0.01928,0.02114,0.00689,-0.06694,0.00689,0.0
0.7,1784820194.61346,,,,,,,,,,-0.09245,0.06869,0.02109,-0.00418,-0.0047,0.00327,-0.02109,0.00327,0.0
0.72,1784820194.63346,,,,,,,,,,0.05236,-0.00844,0.05759,-0.00043,0.00691,0.00592,-0.05759,0.00592,0.0
0.74,1784820194.65346,,,,,,,,,,-0.14076,-0.03657,0.07225,-0.00397,-0.00483,0.0064,-0.07225,0.0064,0.0
0.76,1784820194.67346,,,,,,,,,,0.03702,-0.09398,0.05689,0.00263,0.00762,0.00561,-0.05689,0.00561,0.0
0.78,1784820194.69346,,,,,,,,,,-0.20111,0.05752,-0.0336,-0.00858,-0.0086,0.00871,0.0336,0.00871,0.0
0.8,1784820194.71346,,,,,,,,,,0.62691,-0.36467,0.10507,0.02742,0.05624,0.00375,-0.10507,0.00375,0.0
0.82,1784820194.73346,,,,,,,,,,0.17948,0.00573,-0.01831,0.00022,0.01318,0.0041,0.01831,0.0041,0.0
0.84,1784820194.75346,,,,,,,,,,-0.15561,0.03941,0.0035,-0.00566,-0.00977,0.00489,-0.0035,0.00489,0.0
0.86,1784820194.77346,,,,,,,,,,-0.10292,0.01287,0.09079,0.00109,-0.00446,0.00058,-0.09079,0.00058,0.0
0.88,1784820194.79346,,,,,,,,,,-0.08426,0.0027,0.09676,-0.00308,-0.00454,0.00027,-0.09676,0.00027,0.0
0.9,1784820194.81346,,,,,,,,,,-0.24564,0.03544,0.14021,-0.00912,-0.01558,0.00223,-0.14021,0.00223,0.0
0.92,1784820194.83346,,,,,,,,,,-0.25944,0.13983,0.10545,-0.01044,-0.01913,-0.00025,-0.10545,-0.00025,0.0
0.94,1784820194.85346,,,,,,,,,,0.20853,-0.22643,0.19483,0.01952,0.01785,0.00061,-0.19483,0.00061,0.0
0.96,1784820194.87346,,,,,,,,,,-0.29728,0.14756,0.03757,-0.01055,-0.01799,0.00475,-0.03757,0.00475,0.0
0.98,1784820194.89346,,,,,,,,,,0.22291,-0.16581,0.13738,0.01092,0.02091,0.00458,-0.13738,0.00458,0.0
1.0,1784820194.91346,,,,,,,,,,-0.05591,-0.13611,0.13881,0.00522,0.00415,0.00392,-0.13881,0.00392,0.0
1.02,1784820194.93346,,,,,,,,,,-0.07119,-0.05547,0.10968,-0.00153,0.00317,0.00492,-0.10968,0.00492,0.0
1.04,1784820194.95346,,,,,,,,,,0.08658,-0.05347,0.07396,0.00143,0.01562,0.0054,-0.07396,0.0054,0.0
1.06,1784820194.97346,,,,,,,,,,-0.18708,0.00083,0.04159,-0.00074,-0.00976,0.00461,-0.04159,0.00461,0.0
1.08,1784820194.99346,,,,,,,,,,0.15485,-0.01136,0.1717,-0.00305,0.01694,0.00771,-0.1717,0.00771,0.0
1.1,1784820195.01346,,,,,,,,,,0.00394,-0.01971,-0.07518,-0.00101,0.00775,0.00292,0.07518,0.00292,0.0
1.12,1784820195.03346,,,,,,,,,,0.22542,-0.06974,0.09253,0.00115,0.02089,0.00513,-0.09253,0.00513,0.0
