t_epoch,t_fc_us,phase,a_cmd_us,b_cmd_us,a_cmd_norm,b_cmd_norm,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw,voltage_v,current_a,sweep_idx
1784820253.9159935,152876746,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.921,0.0,1
1784820253.9663773,152926311,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.918,0.0,1
1784820254.017577,152978645,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.918,0.0,1
1784820254.0674767,153025008,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.814,4.08,1
1784820254.1160223,153077415,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.814,4.08,1
1784820254.166239,153125338,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.878,1.67,1
1784820254.2153177,153176269,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.878,1.67,1
1784820254.2661257,153225720,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.866,1.54,1
1784820254.3148727,153275091,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.866,1.54,1
1784820254.3654335,153326013,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,12.011,1.4,1
1784820254.4160292,153375474,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,12.011,1.4,1
1784820254.4649916,153424849,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.867,1.47,1
1784820254.5157914,153475763,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.867,1.47,1
1784820254.565767,153523683,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.882,1.49,1
1784820254.6157973,153576099,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.882,1.49,1
1784820254.6671464,153628545,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.863,1.44,1
1784820254.714814,153674982,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.863,1.44,1
1784820254.7654338,153725854,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.856,1.42,1
1784820254.8160944,153775276,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.856,1.42,1
1784820254.867729,153823197,A1300_B1000,1300,1000,0.3,0.0,1300,1000,1000,1000,0,0,0,0,11.875,1.43,1
