t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784821866.92856,,,,,,,,,,-0.86355,0.15306,-0.12617,-0.00901,-0.07268,-0.00173,0.12617,-0.00173,1724.0
0.02,1784821866.94856,,,,,,,,,,-0.78928,0.21888,-0.16376,-0.01787,-0.06526,0.00127,0.16376,0.00127,1724.0
0.04,1784821866.96856,,,,,,,,,,-0.74103,0.22131,-0.15408,-0.01589,-0.06039,0.00171,0.15408,0.00171,1724.0
0.06,1784821866.98856,,,,,,,,,,-0.35828,0.13639,-0.10723,-0.00901,-0.02888,0.00127,0.10723,0.00127,1724.0
0.08,1784821867.00856,,,,,,,,,,0.36204,-0.04781,0.02751,0.00353,0.02303,0.00042,-0.02751,0.00042,1724.0
0.1,1784821867.02856,,,,,,,,,,0.46727,-0.20616,0.12971,0.017,0.03359,0.00084,-0.12971,0.00084,1724.0
0.12,1784821867.04856,,,,,,,,,,0.53021,-0.17197,0.08109,0.01126,0.04218,0.00428,-0.08109,0.00428,1724.0
0.14,1784821867.06856,,,,,,,,,,0.25237,-0.17018,0.01675,0.01699,0.01464,-0.00015,-0.01675,-0.00015,1724.0
0.16,1784821867.08856,,,,,,,,,,-0.42097,0.16932,-0.13381,-0.00728,-0.03708,0.00041,0.13381,0.00041,1724.0
0.18,1784821867.10856,,,,,,,,,,-0.50031,0.36782,-0.20537,-0.02717,-0.04399,0.00456,0.20537,0.00456,1724.0
0.2,1784821867.12856,,,,,,,,,,-0.00746,0.21325,-0.11216,-0.02073,-0.00314,0.0057,0.11216,0.0057,1724.0
0.22,1784821867.14856,,,,,,,,,,0.30682,0.08268,-0.00109,-0.01032,0.01961,0.00457,0.00109,0.00457,1724.0
0.24,1784821867.16856,,,,,,,,,,0.36311,-0.06735,0.03393,0.00869,0.02089,-1e-05,-0.03393,-1e-05,1724.0
0.26,1784821867.18856,,,,,,,,,,0.32767,-0.16833,-0.00013,0.0194,0.02018,-0.00172,0.00013,-0.00172,1724.0
0.28,1784821867.20856,,,,,,,,,,0.29848,-0.21777,-0.00799,0.02157,0.02031,-0.00273,0.00799,-0.00273,1724.0
0.3,1784821867.22856,,,,,,,,,,-0.11327,-0.02059,0.01387,0.00499,-0.01005,-0.00272,-0.01387,-0.00272,1724.0
0.32,1784821867.24856,,,,,,,,,,-0.74818,0.17409,-0.08144,-0.01029,-0.06254,-0.00073,0.08144,-0.00073,1724.0
0.34,1784821867.26856,,,,,,,,,,-0.53798,0.2292,-0.12406,-0.01732,-0.04984,0.00542,0.12406,0.00542,1724.0
0.36,1784821867.28856,,,,,,,,,,-0.02042,0.0281,-0.07856,-0.00117,-0.00558,0.00428,0.07856,0.00428,1724.0
