t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
3009477,1000,1724.0,-0.8380,-0.0122,-0.0932,0.01041,-0.06511,-0.00401,0.0,
3009497,1000,1724.0,0.2410,-0.0862,-0.0332,0.00741,0.01689,-0.00101,0.0,
3009517,1000,1724.0,-0.1400,-0.1012,0.0298,0.00641,-0.01011,0.00199,0.0,
3009537,1000,1724.0,-0.3780,0.1868,-0.1182,-0.01859,-0.02611,0.00199,0.0,
3009557,1000,1724.0,0.5110,0.0658,0.0728,0.00141,0.03589,0.00099,0.0,
3009577,1000,1724.0,-0.6090,-0.0302,-0.1112,0.00941,-0.05411,-0.00001,0.0,
3009597,1000,1724.0,-0.4740,0.0878,-0.1312,0.00341,-0.03811,-0.00301,0.0,
3009617,1000,1724.0,-0.1970,0.1098,-0.0022,-0.00059,-0.01911,-0.00101,0.0,
3009637,1000,1724.0,-0.4400,0.0778,-0.0762,-0.01159,-0.03611,0.00199,0.0,
3009657,1000,1724.0,-0.3260,0.0568,-0.0732,0.00341,-0.02911,-0.00101,0.0,
3009677,1000,1724.0,-0.1550,0.0728,-0.0212,-0.00559,-0.01711,0.00599,0.0,
3009697,1000,1724.0,-0.2960,0.2618,0.0188,-0.02059,-0.02211,0.00499,0.0,
3009717,1000,1724.0,-0.0940,-0.0932,-0.0042,0.01041,-0.00811,-0.00101,0.0,
3009737,1000,1724.0,-0.5330,0.2188,-0.0792,-0.01059,-0.04011,-0.00001,0.0,
3009757,1000,1724.0,0.2290,0.1058,0.0928,-0.00959,0.01389,0.00299,0.0,
3009777,1000,1724.0,-0.2270,0.1738,-0.0402,-0.00459,-0.02011,0.00099,0.0,
3009797,1000,1724.0,0.0920,0.0948,-0.0382,-0.00659,-0.00211,0.00199,0.0,
3009817,1000,1724.0,-0.2270,0.1158,-0.0912,-0.00259,-0.02311,-0.00101,0.0,
3009837,1000,1724.0,-0.2360,-0.0772,-0.0822,0.00841,-0.02211,-0.00001,0.0,
3009857,1000,1724.0,-0.2600,-0.0142,-0.0602,0.00441,-0.02011,0.00099,0.0,
3009877,1000,1724.0,-0.1740,0.2018,-0.0202,-0.01359,-0.02511,0.00299,0.0,
3009897,1000,1724.0,-0.0050,0.0248,-0.0542,0.00241,-0.00411,-0.00201,0.0,
3009917,1000,1724.0,-0.2760,0.1808,0.0528,-0.01959,-0.02111,0.00399,0.0,
3009937,1000,1724.0,0.3030,-0.2392,0.0848,0.02641,0.00989,-0.00401,0.0,
3009957,1000,1724.0,-0.0460,-0.0062,0.0138,0.00441,-0.01111,-0.00201,0.0,
3009977,1000,1724.0,-0.2180,-0.0182,0.0938,0.00941,-0.02911,-0.00201,0.0,
3009997,1000,1724.0,0.1170,-0.1472,0.0518,0.01241,0.00489,-0.00201,0.0,
3010017,1000,1724.0,-0.3970,0.1748,-0.0522,-0.01459,-0.03011,-0.00001,0.0,
3010037,1000,1724.0,-0.6730,0.1978,-0.2442,-0.01759,-0.05111,0.00399,0.0,
3010057,1000,1724.0,-0.1880,0.0658,-0.0602,-0.00759,-0.01511,0.00199,0.0,
