t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
3797217,1000,16.0,0.0703,-0.1179,0.1070,0.01116,0.00297,-0.00148,0.0,
3797237,1000,16.0,0.0803,0.0771,-0.0590,-0.00184,0.00597,-0.00048,0.0,
3797257,1000,16.0,-0.3967,0.1641,0.0330,-0.01484,-0.03303,-0.00248,0.0,
3797277,1000,16.0,0.2143,0.1601,0.0780,-0.00684,0.01197,-0.00048,0.0,
3797297,1000,16.0,-0.0817,-0.1219,0.2160,0.02016,-0.01003,-0.00548,0.0,
3797317,1000,16.0,0.1743,-0.0529,0.1850,0.00416,0.00497,-0.00148,0.0,
3797337,1000,16.0,-0.1397,-0.1629,0.1170,0.01516,-0.02303,-0.00048,0.0,
3797357,1000,16.0,0.1023,0.0481,0.0920,0.00016,-0.00003,-0.00148,0.0,
3797377,1000,16.0,0.2743,-0.0769,0.0850,0.00416,0.01497,-0.00048,0.0,
3797397,1000,16.0,0.0763,-0.1309,-0.0110,0.02516,0.00597,-0.00748,0.0,
3797417,1000,16.0,-0.5177,0.3411,-0.1030,-0.01984,-0.04403,0.00052,0.0,
3797437,1000,16.0,0.6323,-0.0189,0.0620,0.00216,0.03997,-0.00048,0.0,
3797457,1000,16.0,-0.2197,-0.0079,-0.1390,0.00316,-0.01803,0.00052,0.0,
3797477,1000,16.0,0.6283,-0.0729,0.2370,0.01016,0.04297,-0.00348,0.0,
3797497,1000,16.0,-0.1697,-0.0409,0.0200,0.01516,-0.01703,-0.00648,0.0,
3797517,1000,16.0,0.0483,0.1411,-0.0620,-0.00884,-0.00203,0.00152,0.0,
3797537,1000,16.0,0.3223,-0.1389,-0.0040,0.01316,0.02497,-0.00348,0.0,
3797557,1000,16.0,-0.0107,0.1511,-0.0030,-0.00584,-0.01303,-0.00148,0.0,
3797577,1000,16.0,-0.0597,0.2021,-0.0250,-0.01184,-0.00603,0.00152,0.0,
3797597,1000,16.0,0.6133,-0.0839,0.1360,0.01016,0.04097,-0.00348,0.0,
3797617,1000,16.0,-0.0747,0.1111,0.1020,-0.00484,-0.01203,-0.00348,0.0,
3797637,1000,16.0,0.2703,0.0201,0.1080,0.00516,0.02097,-0.00448,0.0,
3797657,1000,16.0,0.0593,0.0781,-0.0370,-0.00584,0.00297,0.00252,0.0,
3797677,1000,16.0,-0.5277,0.2821,-0.1400,-0.01584,-0.04303,-0.00148,0.0,
3797697,1000,16.0,0.0103,0.0201,0.1030,0.00216,-0.00303,-0.00448,0.0,
3797717,1000,16.0,0.4473,0.0241,0.1730,-0.00284,0.02897,-0.00148,0.0,
3797737,1000,16.0,0.3293,-0.2079,0.1290,0.02916,0.01897,-0.00748,0.0,
3797757,1000,16.0,-0.5617,0.2571,-0.0430,-0.00884,-0.04903,-0.00148,0.0,
3797777,1000,16.0,0.1133,-0.0609,0.0020,0.00916,0.00097,-0.00248,0.0,
3797797,1000,16.0,-0.4777,0.2171,-0.2250,-0.01484,-0.03803,0.00052,0.0,
3797817,1000,16.0,0.6323,-0.2219,0.0340,0.02216,0.04397,-0.00248,0.0,
3797837,1000,16.0,0.0953,-0.1219,-0.0630,0.01416,0.00597,-0.00348,0.0,
3797857,1000,16.0,-0.0017,0.0561,0.0620,0.00216,-0.00503,-0.00348,0.0,
3797877,1000,16.0,0.1923,-0.0519,0.0810,0.00316,0.01697,-0.00148,0.0,
3797897,1000,16.0,-0.5787,0.2661,-0.0170,-0.02184,-0.04603,0.00152,0.0,
3797917,1000,16.0,0.4573,0.0271,0.1200,-0.00684,0.02997,0.00252,0.0,
3797937,1000,16.0,0.2373,-0.0309,0.1210,0.00316,0.01497,-0.00248,0.0,
3797957,1000,16.0,0.0993,0.0331,-0.1690,0.00016,0.00597,-0.00248,0.0,
3797977,1000,16.0,0.1243,-0.0389,0.0610,0.00616,0.00397,0.00052,0.0,
3797997,1000,16.0,0.2043,0.0441,0.0500,0.00916,0.01297,-0.00448,0.0,
3798017,1000,16.0,0.2733,-0.0599,0.0980,0.00616,0.01997,-0.00148,0.0,
3798037,1000,16.0,0.5553,-0.1069,0.1910,0.01416,0.03397,-0.00048,0.0,
3798057,1000,16.0,-0.2217,-0.0959,0.0030,0.01816,-0.01903,-0.00548,0.0,
3798077,1000,16.0,0.0253,0.1321,-0.0680,-0.01084,0.00197,-0.00148,0.0,
3798097,1000,16.0,0.0383,0.0241,-0.0550,0.00116,-0.00103,-0.00348,0.0,
3798117,1000,16.0,-0.0857,0.0051,-0.0360,0.00416,-0.01303,-0.00648,0.0,
3798137,1000,16.0,-0.3947,0.1571,-0.1420,-0.01084,-0.03603,0.00052,0.0,
3798157,1000,16.0,0.0393,0.1941,0.1370,-0.00884,-0.00403,-0.00148,0.0,
3798177,1000,16.0,-0.2117,0.1851,0.0340,-0.00984,-0.02303,-0.00148,0.0,
3798197,1000,16.0,0.1793,-0.1009,0.0750,0.01116,0.01297,-0.00248,0.0,
3798217,1000,16.0,0.1643,0.0331,0.0960,0.00016,0.01597,-0.00148,0.0,
3798237,1000,16.0,0.2833,-0.0469,0.0540,0.00516,0.01697,-0.00348,0.0,
3798257,1000,16.0,0.1463,-0.0859,-0.1200,0.00916,0.00697,-0.00048,0.0,
3798277,1000,16.0,0.2503,0.0591,0.1870,0.00416,0.00997,-0.00248,0.0,
3798297,1000,16.0,-0.1207,-0.1069,-0.0620,0.01216,-0.01503,-0.00548,0.0,
3798317,1000,16.0,0.2133,-0.0549,-0.1270,0.00616,0.01197,-0.00448,0.0,
3798337,1000,16.0,0.0073,0.1381,0.0190,-0.00384,-0.00503,-0.00548,0.0,
3798357,1000,16.0,0.0273,0.0781,-0.0860,-0.00284,0.00297,-0.00148,0.0,
3798377,1000,16.0,-0.0267,0.1731,-0.1140,-0.01184,-0.00403,-0.00148,0.0,
3798397,1000,16.0,0.3573,-0.1259,-0.0820,0.01016,0.02797,-0.00348,0.0,
3798417,1000,16.0,-0.0027,0.0101,-0.0690,0.00516,-0.00903,-0.00448,0.0,
3798437,1000,16.0,0.1003,0.0751,0.0360,-0.00584,0.00197,0.00152,0.0,
3798457,1000,16.0,0.1973,0.1101,-0.0680,-0.00184,0.01297,-0.00048,0.0,
3798477,1000,16.0,-0.0577,0.0051,-0.2150,0.00316,-0.01003,-0.00348,0.0,
3798497,1000,16.0,0.1353,0.0611,0.1360,-0.00084,0.00997,-0.00348,0.0,
3798517,1000,16.0,0.0503,-0.1279,0.1180,0.00916,-0.00303,-0.00048,0.0,
3798537,1000,16.0,0.0363,0.0061,-0.0250,0.00616,0.00097,0.00152,0.0,
3798557,1000,16.0,-0.2577,0.1191,-0.0160,0.00616,-0.01903,-0.00748,0.0,
3798577,1000,16.0,-0.0127,0.0861,0.0490,0.00016,-0.00103,-0.00348,0.0,
3798597,1000,16.0,0.2423,-0.2229,0.1120,0.02116,0.01497,-0.00348,0.0,
3798617,1000,16.0,0.0603,0.0471,0.1850,0.00016,0.00397,0.00152,0.0,
3798637,1000,16.0,0.1313,0.1281,0.1790,-0.00084,0.01197,-0.00148,0.0,
3798657,1000,16.0,0.1203,-0.0199,0.0480,0.00716,0.00797,-0.00348,0.0,
3798677,1000,16.0,-0.1587,0.0951,-0.0560,-0.00384,-0.02003,-0.00048,0.0,
3798697,1000,16.0,-0.1597,0.0721,-0.1290,0.00116,-0.01903,-0.00248,0.0,
3798717,1000,16.0,0.2383,-0.0069,0.1160,0.00416,0.01797,-0.00148,0.0,
3798737,1000,16.0,0.1133,0.0101,0.0460,0.00016,0.00997,0.00152,0.0,
3798757,1000,16.0,-0.1417,-0.0379,0.0190,0.00916,-0.01603,-0.00448,0.0,
3798777,1000,16.0,-0.0747,0.0941,-0.0130,-0.00084,-0.00603,-0.00048,0.0,
3798797,1000,16.0,0.1143,0.0011,-0.0350,0.00416,0.00697,-0.00348,0.0,
3798817,1000,16.0,-0.2607,0.1531,-0.0380,-0.01084,-0.02503,-0.00048,0.0,
3798837,1000,16.0,-0.0507,0.0861,0.0950,-0.00284,-0.00403,-0.00448,0.0,
3798857,1000,16.0,-0.0087,0.0421,0.0500,-0.00384,-0.00003,-0.00048,0.0,
3798877,1000,16.0,0.3973,-0.0219,0.1080,0.00416,0.02297,-0.00048,0.0,
3798897,1000,16.0,0.0513,0.0841,0.0390,-0.00384,0.00697,-0.00148,0.0,
3798917,1000,16.0,0.0253,0.0251,0.0740,0.00516,-0.00103,-0.00148,0.0,
3798937,1000,16.0,-0.0127,0.0121,0.1120,0.00016,-0.00803,-0.00148,0.0,
3798957,1000,16.0,-0.1897,0.0231,-0.0010,0.00316,-0.02003,-0.00348,0.0,
3798977,1000,16.0,0.2783,-0.0889,0.0580,0.01016,0.02397,-0.00148,0.0,
3798997,1000,16.0,0.2303,0.1811,-0.0090,-0.01084,0.01297,-0.00048,0.0,
3799017,1000,16.0,0.1313,-0.1349,0.0440,0.01916,0.00597,-0.00848,0.0,
3799037,1000,16.0,-0.4667,0.4231,-0.0310,-0.02784,-0.03903,0.00252,0.0,
3799057,1000,16.0,0.5303,-0.1499,0.0570,0.01416,0.04097,-0.00448,0.0,
3799077,1000,16.0,0.0023,0.0741,0.0610,-0.00484,-0.00503,0.00052,0.0,
3799097,1000,16.0,-0.1577,0.1291,-0.0900,-0.00084,-0.01303,-0.00348,0.0,
3799117,1000,16.0,-0.1247,0.0541,0.0620,-0.00184,-0.01103,-0.00348,0.0,
3799137,1000,16.0,0.4313,-0.0019,-0.0400,0.00316,0.02997,0.00152,0.0,
3799157,1000,16.0,-0.2547,0.1791,0.0260,-0.01184,-0.02803,-0.00048,0.0,
3799177,1000,16.0,0.0743,-0.1289,0.0210,0.01116,0.00597,-0.00448,0.0,
3799197,1000,16.0,0.4723,-0.1069,0.0060,0.00716,0.03097,-0.00248,0.0,
3799217,1000,16.0,-0.6517,0.3371,-0.0200,-0.01684,-0.05103,-0.00148,0.0,
3799237,1000,16.0,0.1163,0.0271,-0.0400,-0.00384,0.00297,-0.00048,0.0,
3799257,1000,16.0,0.6213,-0.1859,0.1020,0.02016,0.04697,-0.00248,0.0,
3799277,1000,16.0,-0.2937,0.1511,-0.1400,-0.00084,-0.02503,-0.00348,0.0,
3799297,1000,16.0,0.1463,-0.1649,-0.0520,0.01716,0.01097,-0.00448,0.0,
3799317,1000,16.0,0.0403,-0.0719,-0.0130,0.00616,-0.00103,-0.00248,0.0,
3799337,1000,16.0,-0.1367,0.1061,0.0980,-0.00784,-0.01103,-0.00048,0.0,
3799357,1000,16.0,0.2123,-0.0149,0.0530,0.00316,0.01197,-0.00348,0.0,
3799377,1000,16.0,-0.1657,0.1231,-0.0090,-0.00284,-0.01903,0.00052,0.0,
3799397,1000,16.0,-0.1117,0.0561,0.0260,-0.00184,-0.00903,-0.00248,0.0,
3799417,1000,16.0,0.3183,-0.1279,0.0280,0.00816,0.02497,0.00052,0.0,
3799437,1000,16.0,-0.1717,-0.1179,-0.0420,0.01816,-0.01503,-0.00748,0.0,
3799457,1000,16.0,0.1043,-0.0349,0.1630,0.00816,0.00297,-0.00348,0.0,
3799477,1000,16.0,-0.4517,0.2451,-0.1000,-0.02084,-0.03203,0.00052,0.0,
3799497,1000,16.0,0.4113,0.1651,-0.0720,-0.00584,0.03197,-0.00448,0.0,
3799517,1000,16.0,0.4763,-0.0049,0.0850,0.00216,0.03097,-0.00148,0.0,
3799537,1000,16.0,-0.4307,0.1561,-0.1030,-0.00984,-0.03603,-0.00048,0.0,
3799557,1000,16.0,0.6313,-0.2149,0.0150,0.02016,0.04797,-0.00348,0.0,
3799577,1000,16.0,0.1833,-0.1409,0.1340,0.02616,0.00597,-0.01248,0.0,
3799597,1000,16.0,-0.0597,0.3351,-0.0790,-0.02084,-0.00003,-0.00048,0.0,
3799617,1000,16.0,0.5503,-0.1389,0.3420,0.00916,0.03497,-0.00448,0.0,
3799637,1000,16.0,-0.5557,0.1451,-0.0020,-0.00084,-0.04603,-0.00348,0.0,
3799657,1000,16.0,0.4193,-0.1199,0.1400,0.01116,0.03297,0.00052,0.0,
3799677,1000,16.0,-0.5257,0.3241,-0.0560,-0.01284,-0.05103,-0.00448,0.0,
3799697,1000,16.0,0.2713,-0.0689,0.0180,0.00716,0.01897,-0.00348,0.0,
3799717,1000,16.0,-0.6327,0.2591,-0.0380,-0.02184,-0.05603,0.00152,0.0,
3799737,1000,16.0,0.4253,-0.1199,0.1310,0.01216,0.03197,-0.00248,0.0,
3799757,1000,16.0,-0.0887,0.0221,-0.0510,-0.00484,-0.00603,-0.00048,0.0,
3799777,1000,16.0,-0.2457,-0.0579,-0.0530,0.00716,-0.01803,-0.00448,0.0,
3799797,1000,16.0,-0.3257,0.2061,-0.1440,-0.01084,-0.02703,-0.00148,0.0,
3799817,1000,16.0,0.4093,-0.1759,0.1800,0.01916,0.02797,-0.00148,0.0,
3799837,1000,16.0,-0.0077,-0.0299,0.0120,0.01116,-0.00103,-0.00848,0.0,
3799857,1000,16.0,-0.0897,-0.0199,0.0440,0.00116,-0.01003,-0.00248,0.0,
3799877,1000,16.0,-0.1107,0.1651,0.0580,-0.00384,-0.01503,-0.00248,0.0,
3799897,1000,16.0,0.2603,-0.1279,0.1550,0.00716,0.01897,-0.00348,0.0,
3799917,1000,16.0,0.0673,0.0661,-0.0390,0.00316,-0.00303,-0.00348,0.0,
3799937,1000,16.0,-0.1407,0.0561,0.0790,0.00216,-0.01003,-0.00448,0.0,
3799957,1000,16.0,-0.2297,0.1881,-0.0620,-0.01084,-0.02003,-0.00348,0.0,
3799977,1000,16.0,-0.0377,0.0971,-0.1110,-0.00084,-0.00303,-0.00448,0.0,
3799997,1000,16.0,0.1863,-0.0729,0.0140,0.01116,0.00697,-0.00248,0.0,
3800017,1000,16.0,0.0023,-0.0459,0.1040,0.01516,-0.00103,-0.00648,0.0,
3800037,1000,16.0,-0.0157,0.1101,0.0500,-0.00584,-0.00703,-0.00048,0.0,
3800057,1000,16.0,0.2753,-0.0899,0.0900,0.01016,0.02397,-0.00348,0.0,
3800077,1000,16.0,0.1013,-0.2519,0.1120,0.02816,-0.00403,-0.00348,0.0,
3800097,1000,16.0,0.1643,-0.0449,0.2000,0.00216,0.01397,-0.00048,0.0,
3800117,1000,16.0,0.1073,0.0211,0.2600,0.00316,0.00897,-0.00248,0.0,
3800137,1000,16.0,0.0393,-0.1139,0.1010,0.01816,0.00797,-0.00648,0.0,
3800157,1000,16.0,-0.7887,0.2141,-0.0750,-0.01184,-0.06403,0.00152,0.0,
3800177,1000,16.0,0.8053,-0.2369,0.3220,0.01816,0.05497,-0.00048,0.0,
3800197,1000,16.0,0.1943,0.0621,-0.0050,0.00216,0.00997,-0.00148,0.0,
3800217,1000,16.0,-0.0427,0.0521,0.0250,-0.00384,-0.00503,0.00152,0.0,
3800237,1000,16.0,0.2083,0.0661,0.0140,-0.00384,0.01497,-0.00148,0.0,
3800257,1000,16.0,-0.5857,0.1721,0.0590,-0.00884,-0.05003,-0.00148,0.0,
3800277,1000,16.0,-0.3937,0.0981,-0.0730,-0.01384,-0.03003,-0.00048,0.0,
3800297,1000,16.0,0.2213,0.0171,-0.1530,0.00716,0.01497,-0.00348,0.0,
3800317,1000,16.0,-0.1327,0.0531,-0.0300,0.00016,-0.01303,-0.00148,0.0,
3800337,1000,16.0,0.0623,0.0131,-0.0510,0.00016,0.00297,-0.00248,0.0,
3800357,1000,16.0,0.2183,0.2381,0.1290,-0.02484,0.01797,0.00752,0.0,
3800377,1000,16.0,-0.4277,0.2801,-0.2570,-0.01784,-0.03403,-0.00248,0.0,
3800397,1000,16.0,0.1233,0.1641,0.0590,-0.00884,0.00197,0.00052,0.0,
3800417,1000,16.0,-0.0927,0.1181,0.1020,-0.00584,-0.01003,-0.00048,0.0,
3800437,1000,16.0,-0.3667,-0.0309,0.1730,0.01216,-0.03303,-0.00548,0.0,
3800457,1000,16.0,-0.3427,0.0851,-0.0840,-0.00584,-0.02803,-0.00148,0.0,
3800477,1000,16.0,-0.0037,0.1891,0.0550,-0.00984,0.00397,-0.00148,0.0,
3800497,1000,16.0,-0.0537,0.0561,-0.0090,0.00016,-0.01503,0.00052,0.0,
3800517,1000,16.0,0.4723,-0.2419,0.1380,0.02116,0.03197,-0.00248,0.0,
3800537,1000,16.0,0.1173,0.1021,-0.0110,-0.00984,0.00597,0.00352,0.0,
3800557,1000,16.0,0.2463,-0.1879,0.1930,0.01716,0.02697,-0.00448,0.0,
3800577,1000,16.0,-0.0107,0.0311,0.0170,0.00116,-0.00603,-0.00248,0.0,
