t_ms,pwm,rpm,Fx,Fy,Fz,Tx,Ty,Tz,Current_mA,ADC_Current_mA
3393492,1000,0.0,0.0230,-0.0341,-0.0130,0.00309,0.00232,-0.00313,0.0,
3393512,1000,0.0,-0.1390,0.0529,0.0190,-0.00491,-0.00968,0.00087,0.0,
3393532,1000,0.0,-0.1530,-0.0161,-0.0090,0.00409,-0.01468,-0.00213,0.0,
3393552,1000,0.0,0.1740,-0.0661,0.0400,0.00309,0.01532,0.00087,0.0,
3393572,1000,0.0,0.0270,-0.0741,-0.0560,0.00709,0.00132,-0.00113,0.0,
3393592,1000,0.0,-0.5440,-0.1371,-0.0540,0.02109,-0.04768,-0.00913,0.0,
3393612,1000,0.0,0.4110,-0.2881,-0.0480,0.01909,0.03032,-0.00113,0.0,
3393632,1000,0.0,-0.4570,0.2409,-0.1590,-0.01791,-0.03168,-0.00113,0.0,
3393652,1000,0.0,-0.3540,0.0339,-0.0740,0.00109,-0.02568,-0.00013,0.0,
3393672,1000,0.0,-0.1200,-0.1491,0.0830,0.01309,-0.00968,-0.00313,0.0,
3393692,1000,0.0,-0.1950,0.0719,-0.0550,-0.00491,-0.01568,-0.00213,0.0,
3393712,1000,0.0,-0.1030,-0.0471,0.0390,0.00109,-0.00668,-0.00013,0.0,
3393732,1000,0.0,-0.0390,0.0309,0.0670,-0.00391,-0.00268,0.00087,0.0,
3393752,1000,0.0,0.3000,-0.1231,0.1020,0.01009,0.02532,-0.00213,0.0,
3393772,1000,0.0,-0.0490,0.0229,0.1150,-0.00791,-0.00468,0.00187,0.0,
3393792,1000,0.0,-0.2000,-0.0581,-0.0910,0.00709,-0.01468,-0.00313,0.0,
3393812,1000,0.0,0.1550,-0.1791,-0.0260,0.02309,0.01032,-0.00313,0.0,
3393832,1000,0.0,-0.1680,-0.0251,0.0190,0.00409,-0.01468,-0.00213,0.0,
3393852,1000,0.0,-0.1180,0.0969,0.0500,-0.00491,-0.01168,0.00187,0.0,
3393872,1000,0.0,0.1120,0.3079,-0.0100,-0.03491,0.01432,0.00887,0.0,
3393892,1000,0.0,0.2640,-0.0091,-0.0410,-0.00191,0.02032,-0.00013,0.0,
3393912,1000,0.0,0.2020,-0.0151,0.2390,0.00009,0.01832,0.00187,0.0,
3393932,1000,0.0,-0.0170,-0.0061,0.0810,-0.00391,0.00732,0.00387,0.0,
3393952,1000,0.0,-0.2050,0.0749,0.0510,-0.00891,-0.02068,-0.00013,0.0,
3393972,1000,0.0,0.0920,0.0209,-0.1160,-0.00491,0.00532,-0.00113,0.0,
3393992,1000,0.0,0.0800,-0.0431,0.0080,0.00009,0.00432,0.00087,0.0,
3394012,1000,0.0,0.2400,-0.0211,0.0560,0.00509,0.02432,-0.00213,0.0,
3394032,1000,0.0,-0.1110,0.1729,0.0500,-0.01191,-0.00868,-0.00213,0.0,
3394052,1000,0.0,-0.1380,-0.0931,0.0140,0.01509,-0.01368,-0.00313,0.0,
3394072,1000,0.0,0.0180,-0.1071,0.1700,0.00409,0.00432,-0.00013,0.0,
3394092,1000,0.0,-0.0030,-0.1131,0.0270,0.00809,0.00332,-0.00313,0.0,
3394112,1000,0.0,-0.0090,-0.0031,0.1610,-0.00791,0.00032,0.00587,0.0,
3394132,1000,0.0,0.0020,-0.0101,-0.0250,-0.00091,-0.00368,-0.00013,0.0,
3394152,1000,0.0,-0.4890,0.2839,-0.0210,-0.02991,-0.03668,0.00387,0.0,
3394172,1000,0.0,-0.3730,0.0929,-0.0700,-0.00291,-0.03168,-0.00213,0.0,
3394192,1000,0.0,0.1450,0.0239,-0.0450,-0.00691,0.01332,0.00587,0.0,
3394212,1000,0.0,0.0240,-0.0271,0.0170,0.00509,-0.00168,0.00087,0.0,
3394232,1000,0.0,0.5890,-0.2451,0.0430,0.02409,0.04932,-0.00213,0.0,
3394252,1000,0.0,-0.0960,0.3709,0.0070,-0.04291,-0.00468,0.01287,0.0,
3394272,1000,0.0,-0.6490,0.2139,-0.0780,-0.02091,-0.04968,0.00287,0.0,
3394292,1000,0.0,-0.6600,0.2619,-0.0980,-0.02091,-0.04768,-0.00013,0.0,
3394312,1000,0.0,-0.5080,0.2179,0.0920,-0.01691,-0.03868,0.00287,0.0,
3394332,1000,0.0,-0.5510,0.0879,-0.0700,-0.00591,-0.04468,-0.00213,0.0,
3394352,1000,0.0,0.3380,-0.3071,0.2300,0.03609,0.02232,-0.00913,0.0,
3394372,1000,0.0,0.0270,-0.1391,-0.0210,0.00609,0.00532,-0.00013,0.0,
3394392,1000,0.0,0.2480,0.0049,0.0990,-0.00591,0.02232,0.00287,0.0,
3394412,1000,0.0,0.3540,-0.1921,0.0170,0.01409,0.02532,-0.00213,0.0,
3394432,1000,0.0,-0.5460,0.0459,-0.0680,-0.00391,-0.04068,0.00087,0.0,
3394452,1000,0.0,0.2410,-0.0081,0.0630,0.00009,0.01632,0.00087,0.0,
3394472,1000,0.0,0.0760,-0.0111,-0.0350,-0.00491,0.01232,0.00487,0.0,
3394492,1000,0.0,-0.0950,-0.1791,0.1050,0.01809,-0.00668,-0.00413,0.0,
3394512,1000,0.0,-0.0030,-0.0541,0.0410,0.00709,0.00032,-0.00013,0.0,
3394532,1000,0.0,-0.1600,0.0389,-0.0710,-0.00691,-0.01168,0.00287,0.0,
3394552,1000,0.0,0.3650,-0.1281,0.1420,0.00909,0.03032,0.00087,0.0,
3394572,1000,0.0,-0.1720,-0.0541,-0.0100,0.00509,-0.01468,-0.00013,0.0,
3394592,1000,0.0,0.0900,0.0099,0.1630,-0.00391,0.00732,0.00287,0.0,
3394612,1000,0.0,0.1070,-0.1241,-0.0020,0.00909,0.01432,0.00087,0.0,
3394632,1000,0.0,-0.0180,0.0329,0.0990,-0.00291,-0.00268,0.00187,0.0,
3394652,1000,0.0,-0.2100,0.1019,-0.0230,-0.00591,-0.01268,0.00087,0.0,
3394672,1000,0.0,0.1680,0.2149,0.0190,-0.01691,0.01532,0.00187,0.0,
3394692,1000,0.0,-0.0580,0.0369,0.0650,0.00309,-0.00568,-0.00113,0.0,
3394712,1000,0.0,0.1360,-0.2241,0.0640,0.02509,0.00932,-0.00713,0.0,
3394732,1000,0.0,-0.2310,0.0299,-0.0810,0.00009,-0.02268,-0.00113,0.0,
3394752,1000,0.0,0.5740,0.0249,0.1670,0.00109,0.04032,0.00287,0.0,
3394772,1000,0.0,-0.0170,0.1019,-0.2130,-0.00791,0.00132,-0.00113,0.0,
3394792,1000,0.0,-0.0040,-0.1261,0.0110,0.01409,-0.00268,-0.00013,0.0,
3394812,1000,0.0,-0.4620,0.1969,-0.0680,-0.01991,-0.03568,0.00287,0.0,
3394832,1000,0.0,0.4990,-0.1531,0.1970,0.00709,0.04032,0.00187,0.0,
3394852,1000,0.0,0.6160,-0.0401,0.1200,-0.00091,0.04432,0.00387,0.0,
3394872,1000,0.0,0.5570,-0.1841,0.0660,0.01509,0.04532,-0.00013,0.0,
3394892,1000,0.0,-0.0510,0.0749,-0.0910,-0.00491,-0.00868,0.00187,0.0,
3394912,1000,0.0,-0.7090,0.1929,-0.0400,-0.01191,-0.05168,-0.00413,0.0,
3394932,1000,0.0,-0.5270,0.1529,-0.1030,-0.01291,-0.04068,0.00387,0.0,
3394952,1000,0.0,-0.2070,-0.1201,0.0590,0.02009,-0.01568,-0.00613,0.0,
3394972,1000,0.0,0.6590,-0.1611,0.0240,0.01209,0.05132,0.00187,0.0,
3394992,1000,0.0,0.6030,-0.1851,0.1520,0.01909,0.04732,-0.00113,0.0,
3395012,1000,0.0,-0.2550,0.1049,-0.1060,-0.00891,-0.01468,0.00087,0.0,
3395032,1000,0.0,0.3710,-0.1081,0.0430,0.00309,0.03032,0.00187,0.0,
3395052,1000,0.0,-0.1940,-0.0701,0.0610,0.00809,-0.01768,-0.00213,0.0,
3395072,1000,0.0,0.1100,-0.1021,-0.0180,0.00609,0.00432,0.00287,0.0,
3395092,1000,0.0,0.5190,-0.2051,0.0470,0.01009,0.04632,0.00187,0.0,
3395112,1000,0.0,0.0460,-0.0691,0.0570,0.00509,0.00632,-0.00013,0.0,
3395132,1000,0.0,-0.1850,0.1769,-0.0910,-0.01791,-0.01168,0.00387,0.0,
3395152,1000,0.0,-0.1610,0.1019,0.0040,0.00009,-0.01468,0.00087,0.0,
3395172,1000,0.0,-0.0390,-0.0801,0.0540,0.00609,-0.00468,-0.00013,0.0,
3395192,1000,0.0,-0.1050,0.0479,-0.0720,-0.00591,-0.00868,0.00287,0.0,
3395212,1000,0.0,-0.0020,-0.1561,-0.0190,0.01109,0.00132,-0.00113,0.0,
3395232,1000,0.0,-0.3950,0.2059,-0.1680,-0.01191,-0.03168,-0.00113,0.0,
3395252,1000,0.0,-0.4640,-0.0141,0.0290,0.00209,-0.03368,-0.00213,0.0,
3395272,1000,0.0,0.0710,0.0769,-0.0610,-0.00591,0.00832,-0.00013,0.0,
3395292,1000,0.0,-0.5340,0.0979,-0.0900,-0.00291,-0.04368,-0.00413,0.0,
3395312,1000,0.0,-0.1040,0.0429,-0.0640,0.00209,-0.01068,-0.00013,0.0,
3395332,1000,0.0,0.6900,-0.2931,-0.0370,0.02209,0.05832,-0.00113,0.0,
3395352,1000,0.0,0.1750,-0.0461,-0.1010,0.00409,0.01632,0.00187,0.0,
3395372,1000,0.0,0.4620,-0.1961,0.0890,0.01909,0.03532,-0.00413,0.0,
3395392,1000,0.0,0.2620,-0.0601,0.0930,0.00209,0.02132,0.00287,0.0,
3395412,1000,0.0,-0.3860,0.2589,0.0470,-0.02191,-0.03068,0.00087,0.0,
3395432,1000,0.0,0.1960,0.0449,0.1080,-0.01091,0.02032,0.00187,0.0,
3395452,1000,0.0,-0.0690,0.2019,-0.0470,-0.01391,-0.00468,0.00087,0.0,
3395472,1000,0.0,-0.0160,-0.0451,0.0430,0.00409,0.00332,0.00087,0.0,
3395492,1000,0.0,-0.4700,0.1869,-0.0150,-0.01291,-0.03768,-0.00013,0.0,
3395512,1000,0.0,0.0080,-0.0771,0.0460,0.00209,-0.00268,-0.00113,0.0,
3395532,1000,0.0,-0.0820,-0.0861,0.1980,0.00709,-0.00268,-0.00013,0.0,
3395552,1000,0.0,0.0720,-0.0941,0.1060,0.00909,0.00732,-0.00113,0.0,
3395572,1000,0.0,-0.0060,0.0289,-0.0850,-0.00491,0.00032,0.00187,0.0,
3395592,1000,0.0,0.1300,-0.0571,0.0300,0.00509,0.01232,-0.00113,0.0,
3395612,1000,0.0,0.2390,-0.1751,0.0020,0.01709,0.01432,-0.00513,0.0,
3395632,1000,0.0,-0.1320,0.1519,0.1190,-0.01091,-0.01268,-0.00013,0.0,
3395652,1000,0.0,-0.1060,-0.0031,-0.1270,0.00209,-0.01368,-0.00313,0.0,
3395672,1000,0.0,0.1920,-0.0351,0.1090,-0.00391,0.02132,0.00387,0.0,
3395692,1000,0.0,0.0680,-0.1181,0.0350,0.00909,0.00232,-0.00213,0.0,
3395712,1000,0.0,0.4010,-0.0091,0.0480,-0.00291,0.03032,0.00187,0.0,
3395732,1000,0.0,-0.5260,0.0629,0.0290,-0.00391,-0.03468,-0.00113,0.0,
3395752,1000,0.0,-0.1660,0.0989,0.1170,0.00209,-0.01968,-0.00213,0.0,
3395772,1000,0.0,0.0920,-0.1111,0.0300,0.00909,0.00432,-0.00013,0.0,
3395792,1000,0.0,0.1290,0.0069,-0.0240,0.00009,0.00832,-0.00013,0.0,
3395812,1000,0.0,-0.4500,0.1789,0.1580,-0.02091,-0.02868,0.00287,0.0,
3395832,1000,0.0,-0.0130,-0.0421,0.0290,0.00509,0.00032,0.00187,0.0,
3395852,1000,0.0,0.2300,-0.1481,0.1720,0.01209,0.01832,-0.00313,0.0,
3395872,1000,0.0,0.0090,0.0909,0.0100,-0.00091,0.00032,-0.00213,0.0,
3395892,1000,0.0,-0.1460,0.1779,0.0510,-0.01991,-0.01468,-0.00013,0.0,
3395912,1000,0.0,0.2800,-0.1611,-0.0420,0.01809,0.02332,-0.00413,0.0,
3395932,1000,0.0,-0.0560,0.2109,0.0090,-0.02091,-0.00168,0.00387,0.0,
3395952,1000,0.0,-0.4220,0.0349,-0.0950,0.00009,-0.03568,-0.00213,0.0,
3395972,1000,0.0,-0.0040,-0.1001,0.0480,0.00909,-0.00068,-0.00313,0.0,
3395992,1000,0.0,0.1740,-0.1411,0.0810,0.00709,0.01432,0.00187,0.0,
3396012,1000,0.0,-0.0530,0.1109,0.0530,-0.00491,-0.00268,0.00187,0.0,
3396032,1000,0.0,0.0350,0.0659,0.0540,-0.00791,0.00232,0.00287,0.0,
3396052,1000,0.0,-0.0770,-0.0061,0.0030,0.00009,-0.00468,-0.00113,0.0,
3396072,1000,0.0,0.0840,-0.0071,0.0530,0.00409,0.00332,-0.00213,0.0,
3396092,1000,0.0,0.0390,0.0769,-0.1390,-0.00591,0.00532,0.00487,0.0,
3396112,1000,0.0,-0.2450,0.1289,-0.0750,-0.01091,-0.02068,-0.00013,0.0,
3396132,1000,0.0,-0.0960,-0.0661,-0.0690,0.00309,-0.00868,0.00287,0.0,
3396152,1000,0.0,0.2480,-0.0261,-0.1300,0.00209,0.01932,-0.00013,0.0,
3396172,1000,0.0,-0.1350,0.1329,0.0350,-0.00391,-0.00868,-0.00213,0.0,
3396192,1000,0.0,-0.0530,0.0399,-0.0680,-0.00591,-0.00168,0.00087,0.0,
3396212,1000,0.0,-0.0310,0.0579,-0.0450,-0.00691,-0.00268,0.00287,0.0,
3396232,1000,0.0,0.5620,-0.2311,0.2180,0.01609,0.04532,0.00087,0.0,
3396252,1000,0.0,0.2670,-0.0841,-0.0010,0.01109,0.02032,-0.00013,0.0,
3396272,1000,0.0,-0.2410,0.1139,0.0070,-0.00591,-0.01768,-0.00213,0.0,
3396292,1000,0.0,-0.1170,-0.0751,0.1090,0.01209,-0.01568,-0.00413,0.0,
3396312,1000,0.0,0.0470,-0.0031,0.0170,0.00409,0.00632,-0.00013,0.0,
3396332,1000,0.0,0.0940,-0.0041,0.0560,-0.00291,0.00732,0.00187,0.0,
3396352,1000,0.0,-0.2950,0.1329,0.0310,-0.00891,-0.02768,-0.00013,0.0,
3396372,1000,0.0,0.1630,0.0569,0.1000,-0.00591,0.01332,0.00087,0.0,
3396392,1000,0.0,0.1020,-0.0031,0.1600,-0.00591,0.01032,-0.00013,0.0,
3396412,1000,0.0,0.0570,0.1849,0.0530,-0.01691,0.00432,0.00487,0.0,
3396432,1000,0.0,0.0250,0.0549,0.0810,-0.00391,0.00032,-0.00013,0.0,
3396452,1000,0.0,0.0580,-0.0541,0.1700,0.00609,0.00632,0.00087,0.0,
3396472,1000,0.0,0.1950,-0.1291,0.1080,0.01209,0.01332,-0.00213,0.0,
3396492,1000,0.0,-0.2190,0.0849,-0.0070,-0.00791,-0.01468,0.00287,0.0,
3396512,1000,0.0,0.2160,-0.0321,0.1330,0.00209,0.01832,0.00087,0.0,
3396532,1000,0.0,-0.2220,-0.0941,0.0780,0.00809,-0.01968,-0.00313,0.0,
3396552,1000,0.0,-0.0850,-0.0721,0.0180,0.00909,-0.00868,0.00087,0.0,
3396572,1000,0.0,0.1970,-0.0181,0.0290,-0.00191,0.01632,-0.00013,0.0,
3396592,1000,0.0,-0.1780,0.0739,-0.0380,-0.00391,-0.01168,-0.00113,0.0,
3396612,1000,0.0,-0.2360,0.0819,0.0340,-0.00691,-0.01768,-0.00013,0.0,
3396632,1000,0.0,0.2100,0.0529,0.0510,-0.00491,0.01932,-0.00013,0.0,
3396652,1000,0.0,-0.1760,0.3129,-0.0060,-0.03291,-0.00968,0.00687,0.0,
